# 源音频：P47-生理学本科教学及考研基础课 p47 感官2-视觉器官（折光）.m4a
# 时长：4966s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这节课咱们接着往下看一看这个视觉器官。
[00:47:20] 实际上你发现在医学上肺气肿
[00:47:23] 和COPD
[00:47:24] 是两个不同的病
[00:47:27] 一个人年龄大了以后老年肺气肿仅仅是肺袍表面弹得较有些微断裂
[00:47:31] 这样肺袍失去了正常
[00:47:33] 或者青年人该有的那种弹性回缩力
[00:47:36] 它会往开张不好回缩给专业数
[00:47:38] 静态顺应性增大
[00:47:41] 正是肺袍内部充其了
[00:47:42] 两个多
[00:47:43] 扣整一下是吧我青阴派到仙子同框寻
[00:47:46] 头脑度过高
[00:47:48] 力点系增宽隔肌下移这样一些表现
[00:47:50] 心血比变小
[00:47:52] 那么COPD是由于小气道堵塞
[00:47:55] 堵着肺袍气走不了了时间久了以后
[00:47:58] 憋憋憋憋
[00:48:00] 把肺袍把他抬得比较有些别端了
[00:48:03] 在COPD身上
[00:48:04] 肺袍的静态水平降低
[00:48:06] 可能是果
[00:48:08] 小气道阻力增高
[00:48:09] 是阴
[00:48:10] 但是要是到老年肺气肿身上
[00:48:12] 小气道没有什么变化
[00:48:14] 只是肺袍的
[00:48:16] 弹性回缩也低
[00:48:18] 气道阻力没有很大变化
[00:48:20] 所以我们越往下学习越发现好多好多东西
[00:48:24] 越来越细腻
[00:48:25] 这个课程我也是希望
[00:48:26] 拿那么一个
[00:48:28] 章节比较简单的这么一个内容呀
[00:48:30] 给同学们阐述一下
[00:48:32] 内在的很多
[00:48:33] 藏的东西
[00:48:35] 如果打三打四啊大二同学的大故事打三大东西听一下
[00:48:38] 临床要确诊一个病人是不是分气肿
[00:48:41] 拍熏片就OK了
[00:48:42] 是不是同桩训也OK
[00:48:45] 但是
[00:48:45] 临床要拍的一个病人是不是COPD
[00:48:48] 拍片子没有用
[00:48:49] 片子只能反应肺部的冲击量多不多
[00:48:52] 片子并看不到
[00:48:54] 小气道阻力增高没有
[00:48:55] 那么小气道阻力增不增高只能查谁
[00:48:58] 查肺部能测定
[00:48:59] 测疫苗率和疫苗量
[00:49:02] 这就细化开了
[00:49:04] 所以你慢慢学医学久了以后,知识成绩足够多呀,你就能听到周围人
[00:49:08] 怎么样在跟人胡说八道的
[00:49:10] 早期咱们听过都说
[00:49:11] 好有道理呀
[00:49:13] 说他对病人好有道理呀
[00:49:13] 后期发现不是那么回事
[00:49:16] 所以这儿讲到眼的调节再听一下
[00:49:19] 实际上你回头慢慢研究
[00:49:20] 眼调节是单向调节的
[00:49:23] 他有能力把焦点往前拉
[00:49:25] 他没有能力把焦点往后推
[00:49:28] 意识在这
[00:49:29] 那么这个眼调节使近乎的时候怎么调的
[00:49:33] 这个过程或者是内在内容有三个内容
[00:49:37] 第一个是静状体别的更突
[00:49:40] 第二个是瞳孔变小
[00:49:42] 第三个是哨语求回局
[00:49:44] 第三个是不静
[00:49:45] 刚才进来录课之前呀
[00:49:47] 我扫了一个微博
[00:49:48] 有一个同学叫苏州
[00:49:50] 我这都没有恶意,一会儿你要是在明年听到课的话
[00:49:53] 你刚才也跟我说今年你是不打算听了,你想学会再听课
[00:49:57] 你学会你还听课干嘛,你是来
[00:49:59] 界定我的课讲的够不够标准的
[00:50:02] 你要能学会
[00:50:03] 那么多提问
[00:50:04] 老师都没有恶意
[00:50:06] 你都不知道眼调节有三块,一个人做眼调的题目你不下个人掰不是
[00:50:11] 所以说你怎么跟人感慨的老师
[00:50:13] 体会一下
[00:50:14] 在生理节目上
[00:50:15] 情况下
[00:50:16] 我想让瞳孔变小一点,有几个办法
[00:50:19] 两个,我这会儿讲课这放台灯,Panasonic
[00:50:22] 第一个我可以把光线变强变弱
[00:50:24] 能看见强弱变化吧
[00:50:27] 我不需要动我的台灯位置
[00:50:29] 我只需要把光线变强变弱
[00:50:31] 我的瞳孔大小就会变化
[00:50:32] 人在晚上瞳孔很大
[00:50:34] 白天瞳孔很小
[00:50:35] 你对太阳看一下
[00:50:36] 睁见上瞳孔
[00:50:38] 第一个,第二个
[00:50:39] 我不需要改变光线强度
[00:50:41] 我只需要我这个脸
[00:50:42] 凑台灯近一点
[00:50:44] 远一点
[00:50:45] 瞳孔大小也会变化
[00:50:47] 物体离我的眼球远近
[00:50:49] 引发的瞳孔缩小
[00:50:52] 叫近反射
[00:50:53] 所以这个地方这个瞳孔调节注意
[00:50:55] 也得加个定义
[00:50:56] 瞳孔的近反射
[00:50:58] 说瞳孔调节就错了
[00:51:01] 物体拉远拉近
[00:51:03] 近反射
[00:51:04] 光线变强变弱
[00:51:06] 那个叫
[00:51:06] 瞳孔的对光反射
[00:51:09] 学一天一学都知道
[00:51:10] 一个人外伤,送到医院来
[00:51:13] 医生拿手机照眼球装眼,一转说
[00:51:16] 打电话,叫民政局拖起来
[00:51:18] 拉走,民政局拖哪里去了
[00:51:20] 火葬场
[00:51:20] 打电话叫
[00:51:22] 991,美国打中国是
[00:51:24] 120,叫120拉走
[00:51:27] 要北京的话就是999拉走
[00:51:30] 奇迹就是
[00:51:32] 对光反射
[00:51:34] 提前听一下
[00:51:36] 为什么物体拉近
[00:51:38] 瞳孔会缩小
[00:51:39] 为了我看东西看清楚
[00:51:41] 我怎么知道看的清楚不
[00:51:43] 所以反射中数呀
[00:51:44] 在视觉批评
[00:51:46] 在大脑
[00:51:47] 近反射的中数在大脑
[00:51:49] 对光反射,手电筒照一下,光线变强了
[00:51:52] 瞳孔对光反射
[00:51:54] 中数在中脑
[00:51:55] 对光反射如果消失
[00:51:58] 双侧交互都消失
[00:52:00] 单侧消失
[00:52:00] 或者双侧不动大不动圆等等
[00:52:03] 中脑有问题
[00:52:05] 到神经外科会研究一下
[00:52:07] 如果动眼神经出问题
[00:52:09] 可能是单侧对光反射障碍
[00:52:11] 如果动眼神经核桃出问题
[00:52:13] 双侧瞳孔
[00:52:14] 对光反射都出问题
[00:52:16] 我们还有更细的,到底是神经核桃的问题
[00:52:19] 还是神经纤维的问题
[00:52:21] 还是神经纤维的问题
[00:52:22] 所以你慢慢发现,读本科读硕士读博士
[00:52:25] 一直往上读
[00:52:26] 目的是干什么,把最初背的那个主语前面
[00:52:29] 加不同类型的定语
[00:52:30] 不同的语境
[00:52:32] 不同的条件
[00:52:33] 所以你发现这辈子学的不是主语
[00:52:36] 主语在小学就差不多学完了
[00:52:38] 那么哪一辈子学什么
[00:52:39] 学定语
[00:52:40] 白和白不一样
[00:52:41] 黑和黑不一样
[00:52:42] 漂亮和漂亮不一样
[00:52:44] 是吧,高和高不一样
[00:52:46] 低和低不一样,留相和留相
[00:52:48] 是姚敏高低一样吗
[00:52:49] 潘长江
[00:52:50] 是吧
[00:52:51] 和姚敏高低一样吗
[00:52:53] 类似于这样
[00:52:54] 从不同角度
[00:52:55] 找不出的参照系
[00:52:57] 学下去
[00:52:58] 慢慢长进的
[00:52:59] 我们也找不到教育本身,它的本质在哪里
[00:53:03] 那么学习就是很痛苦的事
[00:53:05] 一旦能明白在学什么
[00:53:07] 学习本身就很快着
[00:53:09] 所以说老开玩笑说so funny, so happy
[00:53:11] 就这个意思
[00:53:14] 第三条物体拉近的时候
[00:53:16] 两个野球会汇聚,也叫浮凑
[00:53:19] 两个野球往鼻子中间
[00:53:20] 凑
[00:53:21] 对呀
[00:53:22] Fox
[00:53:23] 这个意思
[00:53:24] 所以也要看进入的时候需要三大条件
[00:53:28] 把数字背下,一
[00:53:29] 进状体变通
[00:53:31] 二,瞳孔近反射,瞳孔变小
[00:53:33] 三,双眼球汇聚
[00:53:35] 二的三个过程实际上
[00:53:37] 都属于一个反射活动
[00:53:39] 所以近条件也可以叫做近反射是可以的
[00:53:43] 某种意义上讲
[00:53:44] 不管进状体变通
[00:53:46] 瞳孔缩小,双眼球汇聚
[00:53:47] 都是一个反射活动
[00:53:49] 这张课件描述了一下
[00:53:51] 在物体拉近之后,近状体怎么反射的
[00:53:54] 物相落在视网膜之后,交代在视网膜后面去了
[00:53:57] 那么看东西看不清楚
[00:53:58] 看不清楚,当它披层19区域
[00:54:01] 距离在上下
[00:54:02] 正后腋,是吧,正腋着
[00:54:03] 看不清楚以后
[00:54:05] 就通过披层中脑束
[00:54:08] 去下行支配中脑的
[00:54:10] 正中和
[00:54:11] 然后去正中和团里边有一个东野神经的复角暗合
[00:54:15] 复角暗合意味着
[00:54:17] 有弥走,复角感,秘宿的传输部分叫复角感
[00:54:20] 那么它就释放地址之后
[00:54:21] 这些难解
[00:54:22] 对吧,作用M受体
[00:54:23] 然后你往下读
[00:54:25] 这个结状肌收缩
[00:54:28] 收缩之后,结状肌收缩,圈就变小了,看不懂
[00:54:31] 这儿看不懂
[00:54:32] 看下一个图
[00:54:33] 看这个
[00:54:35] 在正常情况下,结状体
[00:54:38] 这个肌肉
[00:54:38] 松弛
[00:54:40] 设想一下
[00:54:40] 一个环形肌肉
[00:54:42] 越收缩圈越小
[00:54:44] 越舒张圈越大
[00:54:45] 那么圈大了会像自行车这个
[00:54:47] 我就是老说像这个自行车轮圈
[00:54:49] 是吧轮毂
[00:54:50] 里边有这个辅条
[00:54:51] 中间拉的是个小小小小蛋黄一样
[00:54:54] 这就是说的结状体
[00:54:55] 在这结状体
[00:54:56] 你脑补一下
[00:54:57] 这个圈变小的时候
[00:54:59] 这个小辅条
[00:55:00] 就没人拉了
[00:55:03] 辅条为什么能奔这么紧
[00:55:05] 是外面圈足够大
[00:55:06] 通过辅条
[00:55:08] 把结状体扯开
[00:55:12] 那么现在如果是动眼神经合团一放电
[00:55:15] 结状肌收缩
[00:55:16] 圈变小
[00:55:17] 你看这个地方辅条这么长
[00:55:19] 血液在这么长
[00:55:20] 这地方短了,短了以后
[00:55:22] 没人扯它
[00:55:23] 到这儿注意
[00:55:24] 核心
[00:55:25] 不行打了弹幕啥
[00:55:27] 在没人牵扯的时候
[00:55:29] 结状体
[00:55:30] 依靠自身的弹性
[00:55:32] 往回缩
[00:55:34] 这句话不用往弹幕上打,弹幕上打的是什么同学们
[00:55:38] 结状体
[00:55:40] 它的单向活动是往回缩的
[00:55:43] 它是往开
[00:55:45] 延展的
[00:55:46] 往回缩
[00:55:47] 结状体像肺一样
[00:55:49] 像肺脏一样
[00:55:50] 永远就有一个弹性的回缩力
[00:55:53] 到这儿听一个重点和细节
[00:55:55] 一个人年纪也大
[00:55:57] 经常弹性带去水平低了
[00:55:59] 弹性越来越差
[00:56:00] 那么经常提弹性查老年人
[00:56:02] 麻烦是什么
[00:56:03] 麻烦
[00:56:04] 不是不能往开展
[00:56:06] 是不会主动的
[00:56:08] 往回缩
[00:56:09] 年纪越大
[00:56:10] 越不往回缩
[00:56:11] 不往回缩
[00:56:12] 那么
[00:56:13] 也能力就越差
[00:56:14] 经常提
[00:56:16] 越靠着
[00:56:17] 是往后吗
[00:56:18] 拉不过来了
[00:56:20] 所以东西越近
[00:56:21] 光线越散射我就越看不见
[00:56:23] 我只好迫不
[00:56:26] 迫于无奈
[00:56:27] 我想说迫不及待
[00:56:28] 这句话是错的
[00:56:30] 迫于无奈
[00:56:31] 只好把东西拿远
[00:56:32] 最老爷爷看东西都这样看
[00:56:35] 都这样
[00:56:37] 这张表格就反映了不同年龄的时候
[00:56:40] 经常调节能力
[00:56:42] 调节能力
[00:56:43] 所以这就是咱们要背的著名的一个名字
[00:56:45] Mere Point
[00:56:46] 静点
[00:56:47] 就感受一下从1993年
[00:56:50] 从临床医生角度上拖下来考研调节到生理专业
[00:56:53] 当生理学老师
[00:56:55] 讲讲到现在也想一想小30个年头了
[00:56:58] 如果我的学生跟我学到三年了
[00:57:00] 同学们呀
[00:57:00] 什么叫生理专业
[00:57:01] 静点啊
[00:57:02] 一脸萌咪的样子
[00:57:04] 老师的那种心通
[00:57:06] 你懂不懂
[00:57:08] 静状体调节
[00:57:10] 焦点的能力有一定限度
[00:57:13] 这个限度可以用静点来描述
[00:57:15] 什么叫静点
[00:57:17] 就是经过静状体调节以后
[00:57:19] 人眼所能看清物体的最小距离
[00:57:23] 叫静点
[00:57:23] 那么静点越静说明静状体弹性越好
[00:57:26] 现在的弹性表现在什么
[00:57:28] 别的静状体
[00:57:29] 是依靠自身回缩力往回弹的
[00:57:31] 平时看语言
[00:57:33] 远古的时候
[00:57:33] 站的比较平
[00:57:35] 不是自己展开的
[00:57:36] 是被轩辕带扯开的
[00:57:39] 往开走是被人拉
[00:57:41] 往回缩是自己回
[00:57:43] 所以就像刚才看的这个视频图
[00:57:44] 这就是看近物了
[00:57:46] 自己弹回来了
[00:57:47] 看远古的时候
[00:57:48] 接壤机松弛
[00:57:49] 轩辕带绷紧
[00:57:50] 再把静状体
[00:57:51] 拉开
[00:57:53] 一放手
[00:57:54] 就缩回来
[00:57:55] 年纪越大一放手
[00:57:56] 越不往回缩
[00:57:57] 越不往回缩
[00:57:59] 静点就越远
[00:58:00] 所以整个这个内容
[00:58:01] 核心在哪里呀
[00:58:03] 在静点
[00:58:03] 我就有时候在想
[00:58:05] 同学说老师
[00:58:06] 你讲的课太难我听不懂
[00:58:07] 我讲的课太难静点你也听不懂
[00:58:09] 不是你听不懂
[00:58:10] 是你就没打算真正的学会点东西
[00:58:14] 哪个人长得野的从这玩下看啊
[00:58:16] 十岁时候我的静点是8.8个厘米
[00:58:19] 20岁的时候10.4
[00:58:20] 30岁的时候12.8
[00:58:21] 40岁50岁60岁60岁的时候83.3
[00:58:24] 70岁的时候100
[00:58:25] 就一米一元
[00:58:26] 你要看个东西啊
[00:58:28] 你胳膊没有一米长你就看不见怎么办老爷也带了花鸡吧
[00:58:33] 要现在一看
[00:58:34] 有手机后解单了
[00:58:35] 自行网打
[00:58:36] 放大一个字号
[00:58:37] 24号不行28号
[00:58:38] 36号
[00:58:39] 68号
[00:58:42] 这就叫著名的静点
[00:58:45] 而这你要听的难度是什么
[00:58:47] 结状体
[00:58:48] 是结状机
[00:58:50] 利用血液代
[00:58:51] 或者通过血液代
[00:58:53] 把它给扯开的
[00:58:54] 看静谱的时候结状体只需要收缩
[00:58:57] 血液代松弛没人扯它
[00:58:59] 结状体像个小鸡蛋一样看
[00:59:01] 就缩回来了
[00:59:02] 就完事了
[00:59:03] 这就叫静点
[00:59:04] 嗯
[00:59:05] 这要争取看懂啊
[00:59:06] 往回缩是主动的
[00:59:08] 往外拉
[00:59:09] 是被动的
[00:59:10] 被谁拉开的
[00:59:11] 被结状体积通过血液代
[00:59:14] 把它拉开的
[00:59:16] 这样它要弹性降低的时候
[00:59:18] 那就会发生老花眼
[00:59:19] 就这个意思
[00:59:22] 第二个是
[00:59:24] 瞳孔的近调节
[00:59:25] 近反射
[00:59:27] 正常的瞳孔直径是在1.5到8.0个毫米直接在波动的
[00:59:31] 8.0毫米就应该挖个厘米吧
[00:59:34] 你晚上你要是光线很暗你看每个人眼球瞳孔都很大
[00:59:37] 你小狗狗瞳孔就很大白天光线很强
[00:59:40] 瞳孔就很小
[00:59:41] 那么瞳孔结构一看就像一盘的向日葵一样
[00:59:44] 实际上这里面就是所谓的
[00:59:46] 结状体积
[00:59:47] 结状积
[00:59:48] 结状积中间通过渲染带
[00:59:50] 这画的这些渲染带
[00:59:51] 哎你看这画的非常漂亮非常真实啊
[00:59:54] 这些渲染带
[00:59:55] 把这个中间的瞳孔呀
[00:59:57] 给它控制实际上这种问题也是这样控制的
[01:00:00] 也是这样控制的
[01:00:01] 那么这个里面你仔细看你会发现什么
[01:00:04] 你会发现这个
[01:00:05] 围绕瞳孔
[01:00:07] 由
[01:00:07] 两圈肌肉
[01:00:09] 两圈
[01:00:10] 一圈是外面的一个
[01:00:12] 腹式胀肌肉
[01:00:13] 一圈是里边这个
[01:00:15] 环形环形的肌肉咱们叫阔尾肌
[01:00:18] 腹式胀肌
[01:00:18] 散大肌
[01:00:19] 这个是咱们学生理学这一节的一个细节
[01:00:22] 外面这个大肌肉
[01:00:23] 腹式胀肌是谁支配戴
[01:00:25] 是交感神经
[01:00:27] 中间这个环形阔尾肌
[01:00:29] 是弥足神经
[01:00:30] 所以因为肌肉是个环形你脑补一下
[01:00:32] 弥足神经兴奋的时候释放一些胆结
[01:00:35] 通过M数的肌肉收缩
[01:00:37] 效果
[01:00:37] 呼吸、血果消化
[01:00:38] 觉得越多越发现
[01:00:40] M数体会让
[01:00:41] 平滑肌收缩
[01:00:44] M数体比如说
[01:00:45] 气管平滑肌
[01:00:47] β2数体气道平滑肌出张
[01:00:50] 弥足通过M3数体气道平滑肌收缩
[01:00:52] 消化系统也是这样
[01:00:54] 那么这样的好,弥足神经兴奋的时候环形肌一收缩
[01:00:57] 把瞳孔就拉小了
[01:00:59] 所以瞳孔缩小
[01:01:00] 是弥足
[01:01:01] 通过环形肌
[01:01:02] 胆结M数体实现的
[01:01:04] 那么交感神经兴奋的时候通过α数体去压上上限速
[01:01:07] 这个旧长的是辐射辐射上的
[01:01:09] 这个肌肉你注意到这得讲个细节了
[01:01:12] 学完解剖你明白
[01:01:13] 一块肌肉起码有两个点
[01:01:16] 一个叫定点
[01:01:18] 一个叫动点
[01:01:19] 我老给我学生讲课说你脑补一下胳膊上的肌肉叫弓二头
[01:01:22] 弓二头肌
[01:01:23] 定点是越过咱们的结关节
[01:01:26] 甚至到了咱们这个
[01:01:27] 整个胸锁关节头到这个地方
[01:01:29] 很长一个头
[01:01:30] 这是定点
[01:01:31] 动点
[01:01:33] 动点在咱们的
[01:01:34] 肘关节下方
[01:01:36] 那么这会儿肌肉收缩的时候是动点往近点
[01:01:39] 动的活动
[01:01:40] 这点方向移动
[01:01:41] 我胳膊就曲折了
[01:01:43] 动点静点
[01:01:45] 肌肉收缩总是从一头向左或向右看起
[01:01:48] 你们借我试试往中间手没有
[01:01:51] 他们脑补一下
[01:01:52] 弓二头肌如果动点和定点
[01:01:54] 缓一下
[01:01:55] 转换一下
[01:01:56] 反一下
[01:01:57] 把肩关节这儿作为动点
[01:01:59] 把肘关节下方作为定点
[01:02:00] 肌肉一收缩
[01:02:02] 能往自己手上靠
[01:02:03] 有时候讲话讲的比较多
[01:02:05] 实际上真正的列到深层次武术
[01:02:08] 就是这样的
[01:02:09] 动点静点
[01:02:10] 转换
[01:02:11] 我和你打架你抢我东西
[01:02:13] 我没你劲儿大我比你瘦
[01:02:16] 我抢是把你拉到我怀里拉不动
[01:02:18] 但我能去你的怀里找我的手
[01:02:20] 武术上叫肩出头把一
[01:02:23] 别人收缩时把胳膊往肩关节方向收
[01:02:26] 列过武术收缩的时候是肩关节往手打起
[01:02:29] 手
[01:02:30] 肩打
[01:02:31] 我说你下听啊
[01:02:34] 这目的是给你听一下肌肉有两个点
[01:02:36] 定点
[01:02:37] 和动点
[01:02:38] 那么浮上的这个瞳孔的
[01:02:40] 肌肉
[01:02:41] 三大节
[01:02:42] 外圈是定点
[01:02:43] 内圈是动点
[01:02:45] 所以家里肌肉收缩怎么收缩从内往外
[01:02:47] 这每一个都往外一收缩把这个圈就像扒大窗帘一样
[01:02:51] 把它开门缝看它外面有东西没有
[01:02:54] 这样
[01:02:57] 物体拉筋的时候
[01:02:58] 瞳孔会缩小
[01:03:00] 这个缩小活动
[01:03:01] 像刚才看
[01:03:02] 肌脏体
[01:03:03] 扁突一样也是个反射活动
[01:03:06] 批层从我这个
[01:03:08] 中道正中和下来以后动也是凝合团把自己结状肌
[01:03:11] 同时
[01:03:12] 就会引发这个环形的
[01:03:13] 痛苦会去收缩
[01:03:15] 同工均质能开解你开通过上个蓝色的
[01:03:18] 这都空大了
[01:03:19] 我清楚看的通
[01:03:21] 他是跟着你让你一起走
[01:03:26] 近反射
[01:03:28] 所以这写的一个说
[01:03:29] 近反射通过反射活动的发射
[01:03:32] 已经让你了解的反射通用相似
[01:03:34] 不同之处
[01:03:34] 是效应器
[01:03:36] 那么近反射的效应器是谁
[01:03:38] 是通过的环形
[01:03:39] 过去
[01:03:40] 谁指的你走通过单解和M
[01:03:43] 以至于学到内
[01:03:44] 科学的时候知道
[01:03:47] 其实学完生理学就知道
[01:03:49] 农药中毒有机的农药OPRI
[01:03:51] 他什么东西
[01:03:52] 他是一个不可逆的
[01:03:54] 代解指湄的一个
[01:03:55] 抑制剂
[01:03:57] 那么他抑制掉以后
[01:03:59] 导致
[01:04:00] 在突出后膜上
[01:04:01] 和受体结合过的单解
[01:04:04] 没法被单解指湄清除单解指湄被农药破坏掉了
[01:04:07] 那么以至于抑制和受体失去反馈作用
[01:04:11] 瞳孔这你看到M受体了
[01:04:13] 农药中毒的
[01:04:15] 患者
[01:04:15] 他的
[01:04:16] 孔
[01:04:17] 农药中毒患者
[01:04:18] 像针头那么小
[01:04:21] 人们叫针尖让
[01:04:23] 瞳孔
[01:04:23] 这就是内科学药理学生的
[01:04:25] 著名的
[01:04:26] 农药中毒的
[01:04:28] 针尖让瞳孔
[01:04:29] M样
[01:04:30] 效应
[01:04:32] 针尖让瞳孔
[01:04:34] 把大汗淋漓
[01:04:36] 学完了在现在一掌中就知道了
[01:04:38] 人体的温热发汗
[01:04:39] 汗腺
[01:04:40] 是交感神经支配没错
[01:04:42] 但交感神经支配汗腺的时候
[01:04:44] 释放的可不是虚假声
[01:04:46] 而是一些单解
[01:04:47] M受体
[01:04:49] 所以农药中毒的患者一个是全身大汗淋漓
[01:04:51] 一身白毛汗
[01:04:53] 一个是
[01:04:54] 针尖让瞳孔
[01:04:55] 通过针尖让瞳孔的词
[01:04:57] 能听明白
[01:04:58] 瞳孔缩小
[01:04:59] 是尼祖神经
[01:05:01] 就是副交感神经核导
[01:05:02] 通过单解和M受体实现的
[01:05:05] 也不防
[01:05:06] 不湿
[01:05:07] 是一个好的思考方法
[01:05:09] 换句话说
[01:05:10] 阿托品
[01:05:11] 咱们医学生大二的小朋友大三以上知道了
[01:05:14] 大二小朋友第一次接触药物就在这
[01:05:17] M受体
[01:05:18] M受体拮抗剂
[01:05:20] 阿托品
[01:05:22] 用阿托品之后阻断M受体活动
[01:05:24] 就会导致瞳孔散大
[01:05:26] 另一种拿来眼光推进
[01:05:28] 就是这样实现的
[01:05:30] 阿托品
[01:05:31] 散痛
[01:05:33] 农药中毒
[01:05:34] 缩痛
[01:05:36] 这样的
[01:05:36] 环形睽胃剂
[01:05:39] 那么进法是意义是什么
[01:05:41] 瞳孔缩小一点
[01:05:42] 将来物体拉近以后光泄进入眼球的时候呀
[01:05:45] 光泄量少一点
[01:05:47] 这样的话
[01:05:48] 就会减少咱们成像时候
[01:05:50] 这个像的球面相差
[01:05:53] 和色相差
[01:05:54] 所以像球面相差色相差这么多年作为老师讲一句就讲不常量
[01:05:58] 我记得同学们说过灭手课说过
[01:06:01] 说这还是去年
[01:06:02] 而且2021
[01:06:03] 2019年啊
[01:06:04] 我记得在北京在北四环风刮村学院
[01:06:07] 雪尔桥旁边
[01:06:09] 雪尔桥西边
[01:06:10] 一百来米
[01:06:10] 路北
[01:06:11] 在雪尔路这边在录这个生理学的课程的时候
[01:06:15] 正好录课室的那个
[01:06:17] 应该是主管
[01:06:20] 破破破
[01:06:21] 跟破字聊天他说你看他这个
[01:06:24] 我这是一套新的
[01:06:25] 设备啊我来给你看一下
[01:06:27] 这个咱们录像的时候镜头摄像机镜头手机镜头
[01:06:30] 接下来咱们这个同桶
[01:06:32] 是一坨呀
[01:06:33] 是个圆的
[01:06:34] 但是你要拍这个录客的画面
[01:06:36] 你脑补一下
[01:06:37] 是个长方形的16比9
[01:06:38] 也可以是方的4比3
[01:06:40] 你体会一下
[01:06:41] 你镜头本身咱们借过手机的镜头中间凸
[01:06:44] 旁边有点薄
[01:06:45] 他是个板球面的镜头
[01:06:47] 这个镜头呀
[01:06:48] 你要录成一个方的一个16比9的画面
[01:06:51] 我拿手在这给你还你看一下
[01:06:53] 这样就发现四个角呀
[01:06:55] 在镜头边缘
[01:06:57] 在镜头边缘的时候光线进去的时候
[01:06:59] 他在表面上就有点散射
[01:07:01] 那么不用想象镜头边上
[01:07:03] 这个光线的颜色
[01:07:05] 色彩对比
[01:07:06] 明暗度亮度
[01:07:08] 和球面中间成像这一块
[01:07:11] 就不一样
[01:07:13] 就不一样
[01:07:14] 这样的话你收的这个画面也大呀
[01:07:17] 那么画面周边这个颜色呀成像的清晰度包括角度等等
[01:07:21] 和重点
[01:07:22] 中间去比
[01:07:23] 他这种
[01:07:23] 往外拉斜的那个
[01:07:27] 眼射
[01:07:28] 就更严重
[01:07:29] 我要是这么大的镜头
[01:07:32] 只去中间这一小点
[01:07:35] 取下来之后
[01:07:36] 我看得清楚
[01:07:38] 所以实际上大家这个在物理学上叫什么
[01:07:40] 叫他们摄像师专业
[01:07:42] 水平角
[01:07:43] 球面相差
[01:07:44] 和色相差
[01:07:45] 所以这个地方咱们讲这么啰嗦
[01:07:47] 你听一下说什么叫球面相差
[01:07:49] 就是你镜头本身这个球面
[01:07:51] 这个球面生活最长见识
[01:07:53] 是咱们
[01:07:53] 门上按的那个
[01:07:54] 猫眼
[01:07:55] 我说
[01:07:56] 窍门谁呀我外卖顺分的
[01:07:58] 你拿着斧头干嘛
[01:08:00] 你不是买了一把斧头
[01:08:01] 这孙子是大姐的
[01:08:02] 就这样你从猫眼里边看着你发现
[01:08:05] 他脸对着猫眼还给你看的时候
[01:08:07] 鼻子是放大的
[01:08:08] 离镜头近的地方
[01:08:10] 画面就大
[01:08:11] 镜头远的地方画面就小
[01:08:13] 接下来咱们玩那个游戏叫哈哈镜一样
[01:08:15] 瞳孔缩小是为了减弱
[01:08:18] 成像式的
[01:08:19] 哈哈镜
[01:08:20] 效应
[01:08:21] 我大概这样讲明白了
[01:08:23] 所以镜反正的目的
[01:08:25] 镜反正的目的
[01:08:26] 是改善成像质量
[01:08:28] 那么我拿强光数据来从照一看一球你瞳孔缩小干嘛
[01:08:31] 是防止光线太亮
[01:08:33] 两下子的狗眼
[01:08:35] 是保护视网膜
[01:08:37] 不比过强的光线
[01:08:39] 着伤
[01:08:41] 所以再听一下
[01:08:42] 身体情况下
[01:08:43] 让瞳孔缩小有两个不同的办法
[01:08:46] 一个是把物体拉近
[01:08:48] 一个是把光线变强
[01:08:49] 物体拉近之镜反射为啥
[01:08:52] 我的瞳孔要小一点
[01:08:53] 小点以后成像的时候更真实
[01:08:55] 减少一些虚光
[01:08:58] 达到一个美颜的效果
[01:09:00] 那么光线变强,瞳孔为什么缩小
[01:09:03] 光线
[01:09:04] 太强
[01:09:05] 瞳孔小一点,减少镜眼的光线量
[01:09:07] 防止视网膜被过强的光线
[01:09:10] 给烧坏
[01:09:11] 两下子的狗眼
[01:09:14] 都看起来是瞳孔缩小
[01:09:16] 但生命意义并不相同
[01:09:19] 而且刚才讲
[01:09:20] 对光反射的中枢
[01:09:22] 光线变强
[01:09:23] 在中脑
[01:09:24] 看看这人还活着没
[01:09:25] 生命中极
[01:09:26] 还放电波
[01:09:27] 那么
[01:09:28] 物体拉近
[01:09:29] 瞳孔缩小
[01:09:30] 反射中枢
[01:09:31] 在大脑
[01:09:32] 生理意义
[01:09:34] 各不相同
[01:09:35] 我想这样我应该讲明白了
[01:09:37] 谁要听懂了不妨打个弹幕上
[01:09:39] 原来不唱的弹幕,后面我想了想
[01:09:41] 弹幕是个好东西
[01:09:42] 同学们都听课呀
[01:09:43] 把自己的感受和疑惑打在弹幕上
[01:09:46] 就把弹幕变成一个
[01:09:47] 火的论坛
[01:09:49] 后来者有个借鉴作用
[01:09:51] 你还别说反正这个免费课
[01:09:53] 咱们一起来把它作为一个平台来学习呗
[01:09:55] 这个能听懂的话打个弹幕上我不啰嗦了啊
[01:09:58] 你要是能够通过多内科学和药理学
[01:10:02] 把M效应
[01:10:03] 不是阿托品这个鱼针能够中毒
[01:10:06] M效应大海林林和
