# 源音频：P09-生理学本科教学及考研基础课 p09 肌细胞的收缩1.m4a
# 时长：6571s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:08] 好,同学们,咱们接下来拿一个整段的时间来学一学细胞这一章第四节,肌细胞的收缩。
[00:45:45] 100个是40
[00:45:46] 如果是100个囊袍最少吧
[00:45:49] 就会让机器膜膜
[00:45:52] 从-90毫伏
[00:45:53] 40毫伏
[00:45:54] 一下变到-50
[00:45:55] 而阈电位是-70
[00:45:57] 所以实际上正常的中板电力
[00:46:00] 对于骨骼机器膜来说
[00:46:01] 都属于以上刺激
[00:46:03] 说是不是浪费了
[00:46:05] 不浪费
[00:46:06] 一旦我们也吃错药了
[00:46:08] 疲劳了
[00:46:09] 各种各样异常情况下
[00:46:10] 骨骼机器膜的信奉性
[00:46:12] 比平时低一点
[00:46:13] 正常骨骼机器膜
[00:46:15] 按道理说20毫伏刺激足够了
[00:46:17] 如果正好病了
[00:46:18] 需要30毫伏
[00:46:18] 其实我最少也给你40毫伏
[00:46:21] 负你点
[00:46:22] 你从这开始嘛
[00:46:23] 我发现人体的各种功能
[00:46:25] 都有所谓的储备
[00:46:27] 20毫伏是吧
[00:46:28] 20毫伏够
[00:46:29] 对吧
[00:46:29] 我给你40
[00:46:30] 余点
[00:46:31] 留下你自己拿着花
[00:46:32] 就这个意思
[00:46:33] 这个意思
[00:46:35] 所以当然
[00:46:36] 你要不施加刺激的时候
[00:46:38] 在终板膜上
[00:46:39] 也能看到自发出现的微中板叠位
[00:46:42] 所以一般本科生不考这么细
[00:46:45] 阿尔法神经元放电一下
[00:46:47] 集中释放一二百个囊泡
[00:46:49] 阿尔法神经元没放电
[00:46:50] 我不管他在那搁着
[00:46:52] 我记录一下
[00:46:53] 你发现过一会儿
[00:46:54] 咳三差五的
[00:46:55] 他也偶尔释放你两个囊泡
[00:46:56] 这种基础的背景释放
[00:46:59] 像说背景音乐
[00:47:00] BGM
[00:47:02] 背景音乐
[00:47:03] 音乐
[00:47:03] 这个背景释放有什么意义呢
[00:47:06] 有
[00:47:06] 有
[00:47:06] 有
[00:47:06] 有
[00:47:06] 有
[00:47:06] 有
[00:47:06] 有
[00:47:07] 有
[00:47:07] 肌肉时刻保持一个最低水平的收缩
[00:47:09] 维持一个姿势
[00:47:11] 一个基本的激张力
[00:47:12] 所以说
[00:47:13] 网上说葛优摊
[00:47:15] 哎呀累的
[00:47:15] 沙发一躺
[00:47:17] 摊软
[00:47:18] 那个摊的时候
[00:47:19] 就在那么软的时候
[00:47:20] 肌肉也有点小小收缩
[00:47:22] 所以实际上你能发现
[00:47:24] 就像这个汽车
[00:47:25] 你不跑的时候
[00:47:26] 点着火
[00:47:27] 突突突突突
[00:47:28] 它有七八百转
[00:47:28] 你才有三斜转
[00:47:30] 哇
[00:47:30] 跑出去了
[00:47:31] 哎
[00:47:31] 运动神经兴奋的时候
[00:47:33] 相对于汽车转速三斜转
[00:47:35] 运动神经不兴奋的时候
[00:47:36] 它也有
[00:47:37] 七八百转
[00:47:38] 机器得着着
[00:47:39] 突突突突
[00:47:40] 着着
[00:47:40] 证明人活着
[00:47:41] 这些概念
[00:47:42] 咱慢慢听
[00:47:43] 到这本书快学完的时候
[00:47:45] 你就发现
[00:47:46] 咱们讲的词
[00:47:47] 人体的活动
[00:47:48] 在很多时候
[00:47:49] 是有所谓的
[00:47:50] 基础
[00:47:51] 紧张性的
[00:47:52] 基础紧张
[00:47:54] Basic
[00:47:54] 基础的
[00:47:56] 嗯
[00:47:56] 一种Tense
[00:47:57] 一种紧张
[00:47:58] 所以神经肌肉接头处
[00:48:02] 这个传递过程
[00:48:03] 电
[00:48:03] 化学电
[00:48:04] 就这个样子
[00:48:05] 你只是读读书呀
[00:48:06] 不太能顺
[00:48:07] 那么
[00:48:08] 就像
[00:48:09] 刚才
[00:48:09] 刚才举了很多例子一样
[00:48:10] 神经肌肌头
[00:48:11] 不光是生理学学习的要点
[00:48:13] 为啥考试老考你
[00:48:14] 这在这临床工作中
[00:48:16] 设立的范围很广
[00:48:18] 这个课件上
[00:48:19] 没有写很多
[00:48:20] 就写了一个
[00:48:20] 统建度和α阴环摄度
[00:48:23] 我记得
[00:48:23] 二十年考业
[00:48:24] 和一几年考职业一
[00:48:25] 还在考这个α阴环摄度
[00:48:27] 这个和统建度一样
[00:48:28] 干嘛
[00:48:28] 它能和主板膜
[00:48:30] 就是N27受体结合
[00:48:31] 结合之后呀
[00:48:32] 受体不兴奋
[00:48:33] 就算前膜
[00:48:35] 你再释放抵制
[00:48:36] 后膜不兴奋
[00:48:37] 主板膜也没有电位
[00:48:39] 最后肌肉就不会收缩了
[00:48:40] 所以一旦一个人
[00:48:42] 被α阴环摄咬了
[00:48:43] 不同类型的蛇
[00:48:45] 它的蛇毒不一样
[00:48:47] 你像这个属于神经毒素
[00:48:48] 还有一些蛇
[00:48:49] 比如说就属于溶血毒素
[00:48:51] 咬了之后
[00:48:51] 这种红细胞就破了
[00:48:53] 溶血毒素
[00:48:55] 它不一样
[00:48:55] 所以蛇和蛇
[00:48:56] 什么祥伟蛇
[00:48:57] 野蹄王蛇
[00:48:59] α阴环摄
[00:49:00] 什么还有什么金
[00:49:01] 我不知道
[00:49:01] 因为金环蛇
[00:49:03] 好像好像一种是有
[00:49:04] 反正这个α阴环摄
[00:49:06] 是这样
[00:49:07] 一个恩恶心受体的健康剂
[00:49:09] 它和咱们工作中
[00:49:11] 常用的统建毒
[00:49:12] 什么工作
[00:49:13] 麻醉工作
[00:49:14] 给人做手术
[00:49:15] 肌肉绷得很紧
[00:49:16] 你切不开
[00:49:16] 这叫急松剂
[00:49:18] 都是在终板膜上
[00:49:21] 发挥作用的
[00:49:21] 另外咱们还刚才讲了
[00:49:24] 一个有机的农药动毒
[00:49:24] 是把胆结纸霉破坏了
[00:49:26] 破坏掉以后
[00:49:27] 胆结纸霉要破坏了
[00:49:28] 那么胆结在接头处
[00:49:30] 和恩恶心受体结合
[00:49:31] 它就是
[00:49:32] 这个结离不下来
[00:49:33] 能结合了以后没人管
[00:49:35] 它一直在那结合自己
[00:49:36] 大量聚集
[00:49:37] 就会发生
[00:49:38] 中板裂围
[00:49:39] 过于频繁
[00:49:40] 肌肉过于兴奋
[00:49:41] 就持续的收缩
[00:49:43] 抽搐
[00:49:43] 抽筋
[00:49:44] 这个时候可以用
[00:49:45] 胆结纸霉的复性剂
[00:49:47] 复活药
[00:49:48] 叫解冰病
[00:49:49] 临床含氯氯
[00:49:50] 解冰病
[00:49:51] 这个样子
[00:49:53] 胆结不光是在这
[00:49:54] 你往后面学
[00:49:55] 胆结还有M型受体
[00:49:57] 第二节是不是学过
[00:49:58] 所以农药动毒以后
[00:49:59] 你看这个肌肉抽搐
[00:50:01] 在内科学上
[00:50:02] 叫N样效应
[00:50:03] N样性受体
[00:50:04] 实际上农药动毒以后
[00:50:05] 还有所谓的M样效应
[00:50:07] 这本初学完
[00:50:08] 就会
[00:50:08] 叫针尖样瞳孔
[00:50:10] 瞳孔非常小
[00:50:11] 大汗淋漓
[00:50:12] 针尖样瞳孔
[00:50:14] 都属于M样效应
[00:50:16] 因此说
[00:50:17] 这个神经机接头
[00:50:18] 是咱们刚刚
[00:50:19] 接触生理学的时候
[00:50:20] 一个极大的知识的
[00:50:22] 汇合处
[00:50:22] 我喜欢把一大堆
[00:50:24] 知识的汇合处
[00:50:25] 叫做节点
[00:50:26] 我喜欢把一篇内容
[00:50:27] 从哪个地方开始读
[00:50:29] 叫切入点
[00:50:30] 学习注意
[00:50:31] 你不可能一下
[00:50:33] 全部学会
[00:50:33] 你先找一个
[00:50:34] 能学会的地方
[00:50:35] 学进去
[00:50:36] 登堂入室
[00:50:37] 进去
[00:50:38] 进去以后
[00:50:39] 再横向联系
[00:50:40] 切入点
[00:50:42] 是手段
[00:50:43] 节点
[00:50:44] 是目的
[00:50:45] 神经机接头的地方
[00:50:46] 是个节点
[00:50:48] 刚才看了一下
[00:50:48] 二氧化热赌
[00:50:50] 看了一下
[00:50:51] 铜键赌
[00:50:52] 这属于后摩的
[00:50:53] 实际上
[00:50:54] 咱们就看这个
[00:50:55] 代解质酶
[00:50:56] 这是代解质酶了
[00:50:58] 农药
[00:50:59] 是不可逆的
[00:51:00] 破坏代解质酶
[00:51:01] 临床上咱们还在用什么
[00:51:03] 新斯蒂敏
[00:51:03] 一个肠原药
[00:51:04] 新斯蒂敏
[00:51:05] 是个
[00:51:06] 可逆性的代解质酶
[00:51:08] 一直进
[00:51:08] 我抑制一部分代解质酶
[00:51:10] 抑制一部分
[00:51:11] 那么胆解在接头处
[00:51:13] 就微微有点聚集
[00:51:15] 你理解这个意思
[00:51:15] 胆解是被代解质酶破坏的
[00:51:18] 我把你的代解质酶
[00:51:19] 给你改掉一半
[00:51:19] 那么你的胆解
[00:51:21] 就必须是高一倍
[00:51:22] 高了以后
[00:51:23] 刺激中白
[00:51:24] 刺激后膀的能力
[00:51:25] 就强一点
[00:51:26] 肌肉输出的就大一点
[00:51:28] 那么新斯蒂敏能干嘛
[00:51:30] 新斯蒂敏
[00:51:30] 能拿来治疗
[00:51:31] 重症
[00:51:32] 肌肉无力
[00:51:33] 你看
[00:51:33] 这就药理学和内科学了
[00:51:35] 新斯蒂敏
[00:51:36] 是一个
[00:51:37] 可逆的代解质酶抑制剂
[00:51:39] 有机的农药OPI
[00:51:40] 是一个不可逆的抑制剂
[00:51:42] 吃了之后
[00:51:43] 太兴奋
[00:51:44] 新斯蒂敏可以吃剂量
[00:51:45] 你可以打一针
[00:51:46] 打两针
[00:51:47] 吃半片
[00:51:48] 吃一片
[00:51:48] 通过控制剂量
[00:51:49] 来控制肌肉的输出力
[00:51:51] 这是代解质酶
[00:51:53] 咱们教材九版书
[00:51:54] 这包括八版书
[00:51:55] 在接头前膜着也会行
[00:51:57] 比如说
[00:51:58] 肉毒干菌毒素
[00:51:59] 肉毒干菌毒素
[00:52:01] 中毒以后
[00:52:02] 前摸就不释放抵制了
[00:52:04] 肌肉就不会收缩
[00:52:05] 肉就瘫痪了
[00:52:07] 另外
[00:52:08] 这还有其他一些东西
[00:52:09] 你比如说
[00:52:10] 比方说有一种毒素
[00:52:11] 叫什么呀
[00:52:12] 叫黑寡妇
[00:52:14] 一种毒蜘蛛
[00:52:15] 黑寡妇毒蜘蛛
[00:52:16] 咱们教材也写了
[00:52:18] 这个玩意儿中了毒以后
[00:52:19] 让前摸这个抑制
[00:52:20] 不需要改变自己
[00:52:22] 就瞎给人释放
[00:52:23] 精卵毒素
[00:52:26] 当然还有人更损
[00:52:28] 给他弄一点毒寡妇黑蜘蛛
[00:52:30] 和黑寡妇毒蜘蛛
[00:52:32] 老实说
[00:52:33] 黑寡妇毒蜘蛛
[00:52:35] 这个小激素
[00:52:37] 这个毒素
[00:52:38] 打二组
[00:52:39] 打二组之后
[00:52:40] 你前摸内部
[00:52:40] 不是有很多包含胆菌囊泡吗
[00:52:43] 我给你打一点毒素
[00:52:44] 你把囊泡啪
[00:52:45] 就消耗完了
[00:52:46] 月光组烧包火
[00:52:48] 抑制释放完之后
[00:52:49] 合成不了了
[00:52:50] 你还释放不过了
[00:52:52] 利用这个手段
[00:52:53] 抑制耗解方法
[00:52:55] 把气质的脏腻降下来
[00:52:56] 这个方法也有用
[00:52:58] 毒寡妇黑蜘蛛
[00:53:00] 所以前摸
[00:53:01] 是吧
[00:53:01] 街头见血
[00:53:02] 男街指眉
[00:53:03] 后摸受体
[00:53:05] 这个地方哪哪都是故事
[00:53:06] 前摸有所谓的毒感情毒素
[00:53:08] 前摸有所谓的毒感情毒素
[00:53:09] 毒寡妇黑蜘蛛
[00:53:10] 后摸黑阿尔法因患蛇
[00:53:12] 还有什么铜剑毒
[00:53:14] 单戒指眉
[00:53:15] 还有有机的农药
[00:53:16] 还有心思低眠
[00:53:17] 可能这会儿你听它太多了
[00:53:19] 但是你注意同学
[00:53:20] 你学完神经生理学
[00:53:22] 要不你再等一等
[00:53:23] 学完药理学
[00:53:24] 你就发现
[00:53:25] 神经积极的好
[00:53:26] 哪哪都是故事
[00:53:28] very very
[00:53:29] 多的
[00:53:30] 汪汪多的story
[00:53:31] 这是个知识的节点
[00:53:34] 哪怕你一下没背下来
[00:53:36] 你起码知道
[00:53:36] 在生理学的细胞
[00:53:38] 这一章第四节
[00:53:39] 精细胞周说
[00:53:40] 神经接头
[00:53:41] 是个有故事的章节
[00:53:44] 有故事
[00:53:45] 总之在神经接头处
[00:53:50] 咱们讲了半天
[00:53:51] 想阐述一个东西
[00:53:53] 前摸如果想释放抵制
[00:53:55] 核心思想在哪里
[00:53:57] 必须有盖内流
[00:53:58] 盖离子才是启动
[00:54:00] 神经肌肉接头处
[00:54:02] 兴奋传递的偶联因素
[00:54:04] 第二个
[00:54:06] 前摸才会释放抵制
[00:54:08] 后摸才长受体
[00:54:09] 神经肌肉接头处
[00:54:11] 这个信号转导
[00:54:12] 只能从前摸
[00:54:13] 到后摸
[00:54:14] 现在可能还不知道
[00:54:15] 圣经意义
[00:54:16] 你起码背一下
[00:54:17] 神经肌结头处
[00:54:19] 兴奋的传导
[00:54:20] 信号转导
[00:54:21] 是从前摸到后摸
[00:54:22] 单向传递的
[00:54:24] 而且传递完之后
[00:54:26] 如果后摸终板膜
[00:54:27] 这个地方定位不舒服
[00:54:29] 它能改变前摸
[00:54:30] 抵制释放不
[00:54:31] 不能
[00:54:31] 前摸的抵制释放不释放
[00:54:34] 是盖来控制
[00:54:35] 后摸控制不了
[00:54:37] 所以我们在这儿
[00:54:38] 当故事听一下
[00:54:39] 神经肌肉接头处
[00:54:41] 是一个单向
[00:54:42] 开放的
[00:54:44] 通讯
[00:54:44] 那么前摸释放
[00:54:46] 多号抵制
[00:54:46] 是前摸的概述了算
[00:54:48] 和后摸
[00:54:49] 一点关系没有
[00:54:49] 不管后摸再着急
[00:54:51] 前摸都那儿释放
[00:54:53] 所以没法从后摸
[00:54:55] 向前摸
[00:54:56] 发出一个反馈信息
[00:54:57] 神经肌结头处
[00:54:59] 是单向开放的通讯
[00:55:01] 而不可能是反馈
[00:55:03] 不是避合黄路
[00:55:05] 这样的话
[00:55:07] 神经肌结头处
[00:55:08] 咱们这个知识
[00:55:09] 就想稍微踏实一点
[00:55:10] 这是这一节的
[00:55:12] 一个神经结头的话题
[00:55:14] 我们下期再见
[00:55:15] 中半叠位
[00:55:16] 它这幅度足够大
[00:55:17] 作为一个点火装置
[00:55:19] 一个打火机
[00:55:20] 就能把周围正常的机器
[00:55:22] 我们给它点燃
[00:55:23] 产生动叠位
[00:55:24] 那么兴奋
[00:55:25] 星火传承
[00:55:27] 就传下去
[00:55:27] 这会儿先放下
[00:55:29] 咱们看这一节的第二个话题
[00:55:31] 骨骼鸡细胞怎么收缩的
[00:55:33] 这个组培学上会讲细胞
[00:55:35] 在生理学这个地方
[00:55:36] 细胞生理学
[00:55:37] 或者是这个生理学的细胞部分
[00:55:39] 咱们再来研究一下微细结构
[00:55:41] 骨骼鸡的基本构造
[00:55:44] 是所谓的基源性
[00:55:45] 纤维
[00:55:45] 一个骨骼鸡细胞内部
[00:55:47] 有很多条基源纤维
[00:55:48] 基源纤维
[00:55:50] 你看人家画了几个视野图
[00:55:51] 我就看
[00:55:52] 像个大石子
[00:55:53] 里边石头子
[00:55:53] 缝好多格
[00:55:54] 基间格
[00:55:55] 里边有很多基源纤维
[00:55:57] 这基源纤维
[00:55:58] 就有所谓的肌小节的概念了
[00:56:00] 基源纤维怎么构成的
[00:56:02] 是粗基丝和细基丝
[00:56:03] 每个鸡细胞内部
[00:56:06] 都含有上千条的基源纤维
[00:56:08] 而一条基源纤维
[00:56:10] 像这视野图所示
[00:56:12] 都是粗基丝和细基丝构成的
[00:56:15] 这个视野图的粗基丝
[00:56:17] 画得非常规矩
[00:56:19] 我讲课一直讲
[00:56:20] 同学
[00:56:21] 你要把粗细基丝拿来
[00:56:23] 脑补一下这个画面
[00:56:25] 打个比方
[00:56:26] 举个例子
[00:56:27] 一直讲课说句话
[00:56:28] 一切不能举例子的医学
[00:56:31] 就通通耍流氓
[00:56:32] 那么粗基丝细基丝
[00:56:34] 我要举个例子
[00:56:35] 怎么举
[00:56:35] 注意
[00:56:35] 我这样说
[00:56:36] 你不能拿两根筷子
[00:56:38] 或两根吸管来比
[00:56:39] 不行
[00:56:40] 这个粗细基丝怎么比
[00:56:42] 你才合适
[00:56:43] 拿两把牙刷
[00:56:44] 说老师
[00:56:45] 我拿两个洗牙刷
[00:56:45] 我说
[00:56:46] 可以
[00:56:46] 咋别吵架
[00:56:47] 你想
[00:56:48] 你把牙刷和一根筷子
[00:56:51] 区别在哪里
[00:56:52] 或者一根吸管
[00:56:52] 吸管是光光的
[00:56:54] 牙刷是前面有一段
[00:56:56] 有刷毛
[00:56:57] 要一个牙刷是粗基丝
[00:56:59] 另一个牙刷是细基丝
[00:57:00] 你脑补一下
[00:57:01] 你两个牙刷离得太远
[00:57:03] 刷毛互相接触不了
[00:57:04] 离得太近
[00:57:05] 刷毛又互相错过了
[00:57:08] 所以你想
[00:57:08] 两个牙刷的刷毛接触
[00:57:10] 必须得保证
[00:57:11] 两个牙刷的距离
[00:57:12] 不远
[00:57:13] 也不近
[00:57:14] 这个地方
[00:57:15] 在这一节
[00:57:16] 给个名字
[00:57:16] 叫最适的初长度
[00:57:19] optimal length
[00:57:21] 最恰当
[00:57:22] 最适初长度
[00:57:24] 多长是合适
[00:57:25] 咱们认为
[00:57:26] 一个肌小节长度
[00:57:27] 在2.0到2.2个微米
[00:57:29] 这个长度最合适
[00:57:31] 先听一下
[00:57:32] 一会就用到了
[00:57:33] 那么粗基丝
[00:57:34] 怎么接触的
[00:57:35] 在生理学这个地方
[00:57:36] 是实际上应该说
[00:57:38] 组培学上
[00:57:39] 有个明确说法
[00:57:40] 你还记得
[00:57:40] 古古级和新级
[00:57:41] 是横纹级
[00:57:43] 它有明亚学特的横纹
[00:57:44] 为什么明亚学特
[00:57:45] 你一看就明白了
[00:57:46] 明亚学特
[00:57:46] 明亚学特的横纹级
[00:57:46] 为什么暗
[00:57:48] 因为这个地方长的是粗基丝
[00:57:49] 你看画的像小牙刷一样
[00:57:51] 凸起的很多小凸起
[00:57:52] 这个凸起
[00:57:53] 你们学习过
[00:57:54] 就叫横桥
[00:57:55] 实际上你发现
[00:57:57] 这个粗基丝
[00:57:58] 中间连在M线上
[00:57:59] M线这个附近的粗基丝
[00:58:02] 是没有横桥的
[00:58:03] 横桥在外面这一段才有
[00:58:05] 其实细极丝也是一样
[00:58:06] 如果细极丝
[00:58:09] 和粗基丝的太近
[00:58:11] 穿到M线
[00:58:13] 和这个横桥中间
[00:58:14] 到这儿去了
[00:58:15] 它就接触不上了
[00:58:16] 它就过不去
[00:58:17] 它就光的
[00:58:17] 没有
[00:58:18] 粗基丝所在部位
[00:58:21] 显微镜下看
[00:58:22] 透亮度低
[00:58:23] 叫暗带
[00:58:24] 中间靠M线连着
[00:58:26] 细极丝
[00:58:26] 因为基丝细
[00:58:28] 光线一照射
[00:58:29] 透亮度高
[00:58:30] 所以显微镜下一看
[00:58:31] 亮一点
[00:58:32] 叫明带
[00:58:33] 那么细极丝空间
[00:58:35] 是靠Z线连的
[00:58:37] Z线
[00:58:38] 这个地方
[00:58:39] 咱们有个示意图
[00:58:40] 两条Z线之间
[00:58:42] 这个结构
[00:58:43] 我们在生理学上
[00:58:44] 就称之为一个基节
[00:58:46] 或一个肌小节
[00:58:48] 这个结构
[00:58:48] 肌小节是五颗基细胞
[00:58:50] 结构和功能的基本单位
[00:58:52] 那么肌小节怎么构成
[00:58:54] 你看一下
[00:58:55] 是一个完整的暗带
[00:58:56] 加两个半条的明带
[00:58:58] 来构成的
[00:59:00] 这个样子
[00:59:01] 我印象中
[00:59:05] 这个底下还有示意图
[00:59:06] 这儿没画
[00:59:06] 实际上咱们就要在这儿
[00:59:08] 回顾一个说法
[00:59:09] 比如说
[00:59:10] 这是记录在书章的时候
[00:59:11] 一条暗带这么长
[00:59:13] 两条明带这么长
[00:59:15] 那么记录怎么收缩的
[00:59:16] 这个地方我记得
[00:59:17] 原来可见有个示意图
[00:59:18] 我给删掉了
[00:59:19] 没注意
[00:59:19] 没注意
[00:59:19] 没注意
[00:59:20] 实际上
[00:59:20] 所谓的记录收缩
[00:59:21] 你知道
[00:59:22] 叫sliding theory
[00:59:23] 叫滑行理论
[00:59:24] 就这个粗基斯
[00:59:26] 几基斯呀
[00:59:27] 它的长度不变
[00:59:28] 记录收缩完了以后
[00:59:29] 只是细基斯和粗基斯
[00:59:32] 相对运动一下
[00:59:33] 把细基斯插到粗基斯之间去
[00:59:36] 记录收缩的时候
[00:59:39] 肌小节会变短
[00:59:40] 怎么变短
[00:59:41] 两个人线往一起靠一下
[00:59:43] 这样的话
[00:59:45] 收缩完之后
[00:59:47] 粗细基斯
[00:59:48] 你看现在
[00:59:48] 就有点重叠度
[00:59:50] 收缩完之后
[00:59:51] 细基斯来到这了
[00:59:53] 收缩会改变
[00:59:56] 粗细基斯的重叠程度
[00:59:59] 收缩
[01:00:00] 舒张
[01:00:01] 收缩
[01:00:03] 舒张
[01:00:03] 两个Z线距离它近了
[01:00:05] 远了
[01:00:06] 近了远了
[01:00:07] 但是你分开看
[01:00:08] 细基斯是这么长
[01:00:09] 粗基斯也这么长
[01:00:10] 它们长度不变
[01:00:11] 它们只是相对运动了一下
[01:00:13] 因此体会一下
[01:00:15] 记录收缩的时候
[01:00:17] 按的长度不变
[01:00:20] 明的会变短
[01:00:21] 为什么
[01:00:22] 因为
[01:00:23] Z线往M线靠了一下
[01:00:26] 而这个按带中间这一块
[01:00:27] 有时候人们给个名字
[01:00:29] A时代
[01:00:30] A时代
[01:00:31] 会缩短
[01:00:32] 所以这同学纠结了
[01:00:33] 大二的时候
[01:00:34] 我给同学们本科生讲课
[01:00:35] 平时一直工作讲课
[01:00:37] 老师老师
[01:00:38] 你说的我也能理解
[01:00:39] Z线往M线一靠
[01:00:42] 记录就缩短了
[01:00:43] 对呀
[01:00:44] 所以你说有个麻烦老师
[01:00:45] 这个Z线往这个M线一靠
[01:00:48] 是不是从这一边
[01:00:49] 把细基斯就从这边拉出来
[01:00:51] 会不会
[01:00:51] 不会
[01:00:53] 脚步一下咱们班级
[01:00:55] 这个春天秋天
[01:00:56] 搞个运动会
[01:00:58] 春季运动会
[01:00:58] 是吗
[01:00:59] 冬季运动会运动会
[01:01:00] 咱们做一个集体舞
[01:01:01] 光波体操
[01:01:02] 一般这个光波体操做完之后
[01:01:04] 准备退场了
[01:01:04] 同学们向左前看起
[01:01:06] 一体会
[01:01:07] 肌肉怎么收缩呢
[01:01:08] 你把这胳膊伸出来
[01:01:09] 收缩
[01:01:10] 这公二头肌
[01:01:11] 你总是从一头向里头向
[01:01:13] 向左看起
[01:01:14] 向左看起
[01:01:15] 肌肉怎么收缩的
[01:01:16] 首先是
[01:01:17] 这是M M M
[01:01:19] Z线
[01:01:20] Z线
[01:01:22] 肌肉收缩出来
[01:01:22] 同学们向左看起
[01:01:23] M在这不要动
[01:01:25] 就向他看起
[01:01:26] 他班长向班长看起
[01:01:28] 这个M线靠
[01:01:29] M线靠
[01:01:30] 大比方
[01:01:31] 班级集体活动
[01:01:33] 女生男生
[01:01:34] 女生男生
[01:01:35] 女生男生
[01:01:36] 女生
[01:01:36] 说大家
[01:01:38] 集体集合
[01:01:40] 准备退场
[01:01:41] M向M靠
[01:01:44] Z向M靠
[01:01:46] 在Z线
[01:01:47] 向这条M线靠的时候
[01:01:50] 这个M线
[01:01:51] 又靠到这条Z线了
[01:01:52] 依次类推
[01:01:53] 它往它上面靠
[01:01:54] Z线靠
[01:01:54] 它往它上面靠
[01:01:55] 大家之间互相都紧凑了
[01:01:57] 拉开距离设作
[01:01:59] 广播体操做完了
[01:01:59] 来向中看起
[01:02:01] 它都在中间了
[01:02:02] 来向左看起
[01:02:03] 左边
[01:02:03] 向右看起
[01:02:04] 去右边
[01:02:05] 你见过谁
[01:02:05] 向两头看起的
[01:02:06] 你还退场不
[01:02:07] 哎呦
[01:02:08] 所以这地方你想多了
[01:02:09] 为什么老师有时候讲一句话说
[01:02:11] 我们总是读的太少
[01:02:13] 想的还太多
[01:02:13] 你想多了
[01:02:14] 你就脑补一下
[01:02:15] 我这个班做完广播体操了
[01:02:17] 向第一排
[01:02:18] 左边同学
[01:02:19] 大高个子
[01:02:19] 上大个儿看起
[01:02:20] 大家哗哗哗哗
[01:02:22] Z线
[01:02:22] M线
[01:02:23] Z线
[01:02:23] M线
[01:02:24] 都往上重叠
[01:02:25] 所以不用纠结说老师
[01:02:26] 这个Z线靠这个M线近
[01:02:28] 靠这个M线近
[01:02:30] 靠这个M线近
[01:02:31] 也不会
[01:02:31] 首先M和M靠一靠
[01:02:33] 你往哪头靠
[01:02:33] 你往哪头靠
[01:02:34] 也靠得太近
[01:02:35] 对不对
[01:02:36] M和M靠
[01:02:37] Z和Z靠
[01:02:38] 大家都靠
[01:02:39] 每个肌小节都缩短
[01:02:41] 你还解为一块肌肉里边
[01:02:42] 说一号三号肌小节收缩
[01:02:44] 二号四号休息
[01:02:45] 你没那事
[01:02:45] 二不是
[01:02:46] 大家一起靠
[01:02:47] 所以不要纠结了
[01:02:48] 这是肌肉的一个微细结构
[01:02:51] 出一极丝
[01:02:52] 你要打开组培训
[01:02:53] 要无聊一下
[01:02:54] 你会发现
[01:02:55] 每一条出一枝周围
[01:02:56] 在肌肉
[01:02:57] 我拿前面这个
[01:02:58] 拿这个是一头梭花
[01:02:59] 这个水头尽管看起来
[01:03:01] 不是我要说的意思
[01:03:02] 但差不太多的意思
[01:03:03] 如果假如
[01:03:04] 实际上不是
[01:03:05] 只是一条肌圆线位
[01:03:06] 假如只是一条出一枝
[01:03:08] 假如
[01:03:09] 那么出一枝周围
[01:03:10] 有几条细枝丝
[01:03:11] 就不需要回线
[01:03:12] 出一枝周围
[01:03:13] 有六条细枝丝
[01:03:14] 一二三四五六
[01:03:16] 六条
[01:03:17] 你要是在这个地方
[01:03:18] 再画一条出一枝丝
[01:03:19] 一二三四五六
[01:03:21] 你一会儿没事了
[01:03:22] 你拿笔画一下
[01:03:23] 你先画一条出一枝丝
[01:03:25] 点六个点
[01:03:26] 一二三四五六
[01:03:27] 旁边再画个出一枝丝
[01:03:28] 这刚才就有两个了
[01:03:30] 一二三四五六
[01:03:32] 再画一个出一枝丝
[01:03:33] 一二三四五六
[01:03:33] 你会发现
[01:03:34] 一条出一枝丝周围
[01:03:36] 有六条细枝丝
[01:03:38] 一条细枝丝周围
[01:03:39] 有三条出一枝丝
[01:03:41] 骨骼肌细胞上
[01:03:44] 出一枝丝的比例
[01:03:45] 非常稳定
[01:03:46] 出一枝丝比值
[01:03:48] 二比一
[01:03:49] 你一会儿没事了
[01:03:50] 拿纸画一下
[01:03:51] 我这懒得没给你画
[01:03:52] 不行我看看
[01:03:53] 回头歇着无聊
[01:03:54] 我拿一张空白课卷给你画
[01:03:55] 一条出一枝丝圆圈周围
[01:03:58] 六个小圆圈
[01:03:59] 然后接着你记录一数
[01:04:01] 里边很多出一枝丝
[01:04:02] 再往旁边再画个出一枝丝
[01:04:03] 再数个六个
[01:04:04] 把原来两个就凑进去
[01:04:06] 再往这画个出一枝丝
[01:04:07] 已经有四个了
[01:04:07] 再画两个
[01:04:08] 就发现
[01:04:09] 三个出一枝丝
[01:04:10] 包裹一个细枝丝
[01:04:11] 六个细枝丝
[01:04:12] 包裹一个出一枝丝
[01:04:14] 出一枝丝
[01:04:15] 在记录的横截面积上
[01:04:17] 非常标准
[01:04:18] 二比一
[01:04:20] 结构是很稳定的
[01:04:22] 这是大体这么一个
