# 源音频：P70-生理学本科教学及考研基础课 p70 内分泌-第五节（肾上腺）.m4a
# 时长：3465s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:18] 好同学们,就像前面咱们谈过内分泌这个系统呀,东西特别杂,特别碎,特别多。
[00:39:47] 叫乳腺癌,
[00:39:49] 乳腺癌今天为止,
[00:39:50] 咱们有一个值得手段,
[00:39:52] 叫做内辅理的替代疗法,
[00:39:54] 嗯,
[00:39:55] 比如说,
[00:39:56] 塔玛西芬,
[00:39:57] 塔玛西芬,
[00:39:58] 这个小药,
[00:39:59] 咱们一直在用,
[00:40:00] 更年期之前的时候,
[00:40:02] 可以用这个药,
[00:40:03] 那么更年期之后怎么办?
[00:40:05] 更年期之后,
[00:40:06] 卵巢不蜂蜜雌激素了,
[00:40:08] 但是因为天内雄基素,
[00:40:10] 它还会转化成蜂蜜雌激素,
[00:40:12] 所以阻断这个途径,
[00:40:14] 就需要换一个药,
[00:40:15] 叫方向作美的抑制剂,
[00:40:17] 雄基素要转化为雌激素的话,
[00:40:19] 需要方向,
[00:40:19] 方向美来产业,
[00:40:21] 嗯,
[00:40:22] 来去做,
[00:40:23] 所以更年期之前用塔玛西芬,
[00:40:26] 更年期之后,
[00:40:27] 用来去做,
[00:40:29] 一旦读过外科学以后,
[00:40:30] 你提高的可能不是乳癌的治疗,
[00:40:33] 反而加深的是生理学的学习,
[00:40:36] 所以这本书整个快要讲完了,
[00:40:38] 作为老师还得感慨一下,
[00:40:39] 你只有把这么多书都读完之后,
[00:40:41] 你才能提获的那句话,
[00:40:43] 叫做他山之石,
[00:40:45] 可以攻玉,
[00:40:46] 听这个可没有听懂没关系,
[00:40:48] 学的东西太少,
[00:40:49] 你再往前学,
[00:40:50] 所以世界上就同样这一门课,
[00:40:51] 大二,
[00:40:52] 大三,
[00:40:52] 大四,
[00:40:53] 大五,
[00:40:53] 乃至业绩上和博士毕业以后,
[00:40:55] 再听这门学课,
[00:40:56] 他的感受是完全不一样的,
[00:40:58] 所以说想一想,
[00:40:59] 不是学生太low,
[00:41:00] 也不是老师讲的太难,
[00:41:02] 是咱们自己沉淀不够,
[00:41:04] 因此之所以一直强调学习的三不缺,
[00:41:07] 第一步,
[00:41:08] 你要时刻准备着他山之石,
[00:41:10] 可以攻玉,
[00:41:11] 学科界的相互印证,
[00:41:13] 来加深我的一个知识掌握,
[00:41:16] 第二个叫做好读书不求圣经,
[00:41:18] 你没有读过外科学的乳癌的治疗,
[00:41:20] 你发现为了对抗体内雌激素的这个情况,
[00:41:23] 我又要用汤姆西芬,
[00:41:24] 我又要用这个来起作,
[00:41:26] 我到底是,
[00:41:26] 是在干嘛,
[00:41:27] 这在发现这身体学上,
[00:41:28] 雌激素有两个来源,
[00:41:30] 来自卵巢的和来自外周胸激素转化而来,
[00:41:34] 这更年期前,
[00:41:35] 更年期后,
[00:41:36] 这叫好读书不求圣经,
[00:41:39] 先往前走,
[00:41:40] 到有一天突然就明白了,
[00:41:42] 哦,
[00:41:42] 这样的就明白了,
[00:41:43] 嗯,
[00:41:44] 这么个样子,
[00:41:45] 知道咱们把医学学的台式就会用,
[00:41:48] 所以说地产第三重镜就比较有意思了,
[00:41:50] 叫做从来不需要想起,
[00:41:53] 永远也不会忘记,
[00:41:57] 踏山之石,
[00:41:57] 可以共鸣,
[00:41:59] 好读书不求圣经,
[00:42:01] 从来不需要想起,
[00:42:02] 永远也不会忘记,
[00:42:04] 那天我看同学们在鼻子上后面感慨说,
[00:42:07] 因为莫非你想同时讲这个生理学,
[00:42:09] 内科学外科学导学,
[00:42:10] 对了,
[00:42:11] 讲个导学课还需要看什么课件啊,
[00:42:14] 就讲这个课,
[00:42:14] 把课件给你们看,
[00:42:16] 有时候还把你们看,
[00:42:17] 有同学有能教字,
[00:42:18] 所以说课件啊,
[00:42:19] 字体大小什么,
[00:42:20] 我还改一改,
[00:42:21] 其实有时候懒得不想改它,
[00:42:22] 改个这儿干嘛,
[00:42:23] 我还讲,
[00:42:24] 讲明白就算了,
[00:42:25] 嗯,
[00:42:25] 往下看啊,
[00:42:26] 所以这样的皮质激素的分泌调节,
[00:42:28] 咱们就讲明白了,
[00:42:29] 就是这一条生产铁皮质轴,
[00:42:31] 从上往下促进,
[00:42:33] 由下而上,
[00:42:34] 复盘为一,
[00:42:35] 下缺脑的CRH,
[00:42:38] 线平体的ACTH,
[00:42:40] 和生产铁皮质,
[00:42:41] 主要是氢化合体松,
[00:42:42] 皮质醇,
[00:42:44] 这些东西,
[00:42:45] 少量皮质酮,
[00:42:46] 因此往下大概读一下吧,
[00:42:48] 既然打开了,
[00:42:49] 第一个就CRH,
[00:42:50] 中国高铁,
[00:42:51] 它的作用,
[00:42:52] 嗯,
[00:42:53] 当机体受到有害刺激,
[00:42:55] 那么下缺脑分泌的,
[00:42:56] CRH,
[00:42:57] 包括ADH,
[00:42:58] ADH主要来自于屎膀核,
[00:43:00] 你还记得神奇通记啊,
[00:43:01] 视上核,
[00:43:02] 屎膀核,
[00:43:02] 一个泌乳素,
[00:43:04] 一个,
[00:43:05] 哎呀,
[00:43:05] 口雾,
[00:43:06] 一个缩工素,
[00:43:07] 一个考量药剂素,
[00:43:08] 病理情况下就叫做VP了,
[00:43:10] 叫做加压素了,
[00:43:11] 所以ADH来自于屎膀核,
[00:43:13] 那这样的话,
[00:43:13] 缩工素,
[00:43:14] 主要来自于视上核,
[00:43:17] 视上核和屎膀核,
[00:43:18] 所以那天有同学在微博后面问,
[00:43:21] 说这个哎呀,
[00:43:21] 这个下的这个小题目该怎么做呀,
[00:43:23] 老师就不读书,
[00:43:24] 说话都给你表明了,
[00:43:26] 下去脑,
[00:43:27] 两个大细胞生育,
[00:43:28] 一个视上核,
[00:43:29] 一个屎膀核,
[00:43:30] 这个地方给你写,
[00:43:30] 你看一下啊,
[00:43:31] 屎膀核如果分泌ADH的话,
[00:43:33] 剩下那个就分泌谁了,
[00:43:34] 分泌这个缩工素了呗,
[00:43:36] 早期叫催产素,
[00:43:38] 嗯,
[00:43:38] 出自在垂体后夜,
[00:43:39] 这样的,
[00:43:41] 那么它经过垂体蒙埋系统的运输,
[00:43:43] 要是ADH的话,
[00:43:45] 就是通过下去脑垂体输了,
[00:43:48] 到垂体后夜去,
[00:43:49] 这样的话,
[00:43:50] 分别作与泄出一些的ACTH,
[00:43:53] 细胞盲上CH的R1,
[00:43:55] 就第一型的CH受体,
[00:43:57] 和ADH,
[00:43:59] V1B,
[00:44:00] 所以你发现这个实际上,
[00:44:02] 咱们有时候不讲那么细,
[00:44:04] ADH受体两种,
[00:44:05] 一种长在血管壁上,
[00:44:06] 一种长在特别是内随部肌管的管壁上,
[00:44:11] V1,
[00:44:12] V2,
[00:44:12] V1,
[00:44:12] V2,
[00:44:13] 这样的受体,
[00:44:14] 又分为V1A,
[00:44:15] V1B,
[00:44:16] 亚型,
[00:44:17] 那么通过这个方式,
[00:44:19] 促进ACTH的,
[00:44:20] 合成和分泌,
[00:44:21] CH,
[00:44:23] 对CH本身,
[00:44:24] 也具有复返回调节,
[00:44:26] 就像甲断腺主,
[00:44:26] 我们那儿讲,
[00:44:27] 这是下去脑对下去脑自己调节,
[00:44:29] 我们称之为超短反馈,
[00:44:31] 血出体如果对下去脑产生反馈了,
[00:44:33] 叫短反馈,
[00:44:35] 那么剩下一些皮质功能,
[00:44:36] 对于血出体和下去脑产生反馈,
[00:44:38] 叫长反馈,
[00:44:39] 所以长的,
[00:44:40] 短的,
[00:44:41] 超短的,
[00:44:43] 这是短的,
[00:44:44] 你下去脑自己这个,
[00:44:44] 你看这个地方,
[00:44:45] 叫什么,
[00:44:45] 这标上叫超短,
[00:44:48] 垂体对于下去脑,
[00:44:51] 激素对于下去脑和垂体,
[00:44:53] 叫长,
[00:44:53] 长,
[00:44:54] 短,
[00:44:55] 超短,
[00:44:56] 就这么个意思,
[00:44:57] 听过就OK了,
[00:44:58] 反过去,
[00:45:00] ACTH的作用,
[00:45:01] 血出体分泌的ACTH,
[00:45:03] 与食尿间皮质,
[00:45:04] 细胞膜号的受体结合,
[00:45:06] 通过CMPDL性式的模式,
[00:45:08] 促进糖皮质激素合成和释放,
[00:45:10] 所以这个地方注意,
[00:45:11] 和甲断腺一样,
[00:45:11] 你不该穿好,
[00:45:13] 糖皮质激素是一个脂溶性的激素,
[00:45:15] 脂肪激素,
[00:45:16] 它的作用机制是,
[00:45:18] 这个基因比较大学说,
[00:45:20] 但是它的合成分泌,
[00:45:22] 从垂体怎么来的,
[00:45:23] 它从上下皮质怎么来的,
[00:45:25] 它的合成分泌,
[00:45:26] 是来自垂体的ACTH,
[00:45:28] 作用到剩下些皮质的细胞膜上,
[00:45:31] 来促进糖皮质塑合成,
[00:45:33] 所以糖皮质激素,
[00:45:34] 是基因比较大,
[00:45:35] ACTH是DL性式,
[00:45:37] 这可不敢弄乱,
[00:45:38] 因为你知道神经系统的激素,
[00:45:40] 大多数都属于钛类激素,
[00:45:42] 钛类都属于蛋白类的,
[00:45:44] 它DL性式的话,
[00:45:45] 是溶性的,
[00:45:46] ACTH,
[00:45:47] 不但刺激糖皮质激素的分泌,
[00:45:49] 也刺激树膀带,
[00:45:51] 和膀带细胞的生长发育,
[00:45:52] 激素生长作用,
[00:45:54] 营养作用,
[00:45:56] ACTH也具有一定的促进,
[00:45:58] 黑素细胞产生黑色素的作用,
[00:46:01] 所以为什么说,
[00:46:03] 皮质功能低下,
[00:46:04] 癌症生病的患者会色素,
[00:46:06] 局部的色素成果,
[00:46:07] 皮肤皱褶处,
[00:46:09] 小关节,
[00:46:09] 液腺,
[00:46:10] 嘴唇,
[00:46:11] 这些地方,
[00:46:11] 长黑色,
[00:46:13] 长得就像从来不洗手似的,
[00:46:15] ACTH对CRH分泌,
[00:46:17] 也具有负反规格,
[00:46:18] 刚才说了,
[00:46:19] 叫做,
[00:46:19] 短反馈途径,
[00:46:21] 嗯,
[00:46:21] 两个,
[00:46:22] 所以这个视频,
[00:46:23] 我大概画了一下,
[00:46:24] ACTH作用的皮质酮一,
[00:46:26] 就,
[00:46:26] 你大概,
[00:46:27] 你翻开脚先看看,
[00:46:27] 我就不啰嗦了,
[00:46:28] 它主要是通过第二性式方式,
[00:46:30] 发挥作用的,
[00:46:31] 就不啰嗦了,
[00:46:31] 翻过去,
[00:46:33] 那么,
[00:46:34] 第三个,
[00:46:34] 就糖皮激素的作用,
[00:46:36] 在分泌调节过程中,
[00:46:37] 它主要是有效性的负反馈了,
[00:46:39] 糖皮激素对下丘脑和血液体,
[00:46:41] 有负反馈的调节作用,
[00:46:43] 长期大剂量使用糖皮激素的时候,
[00:46:45] 由于负反馈存在,
[00:46:46] ACTH分泌减少,
[00:46:48] 患者往往可能会出现,
[00:46:49] 激素不但有信息表达作用,
[00:46:52] 还有什么,
[00:46:52] 营养作用,
[00:46:53] 讲很多次了,
[00:46:54] 所以这样病人的皮质会萎缩,
[00:46:56] 因此停药,
[00:46:57] 应该逐渐减量,
[00:46:59] 这是咱们大二学生,
[00:47:00] 学完内分泌之后,
[00:47:02] 知道,
[00:47:02] 讲看患者体内TNCHV,
[00:47:04] 知道为什么大剂量使用糖皮激素,
[00:47:06] 不能突然停药,
[00:47:08] 这两个内容,
[00:47:08] 都不是在其他学科学的,
[00:47:10] 都是生理学,
[00:47:12] 所以讲这些东西,
[00:47:12] 老师你讲难了,
[00:47:13] 不是,
[00:47:15] 应该是一个标准的,
[00:47:17] 大二的生理学课程,
[00:47:18] 说那这样我考研还能看不,
[00:47:20] 你连标准的大二课程都不会,
[00:47:23] 你考什么研,
[00:47:23] 你不都在玩的不是,
[00:47:25] 你参加省斗都不行,
[00:47:26] 你要打奥运会,
[00:47:27] 看不过法度还不够标准,
[00:47:29] 这没恶意啊,
[00:47:30] 没恶意,
[00:47:31] 下丘脑,
[00:47:33] 线出体,
[00:47:34] 肾上腺皮质皱,
[00:47:36] 由上而下促进,
[00:47:37] 由下而上负反馈,
[00:47:39] ACTH更应该叫做,
[00:47:40] 促肾上腺糖皮质激素,
[00:47:43] 更恰当一点,
[00:47:44] 嗯,
[00:47:45] 这张图也非常有意思,
[00:47:46] 叫做什么呀,
[00:47:47] 叫做糖皮质激素的分泌节律,
[00:47:51] 受到下丘脑视交叉上和肾中的调控,
[00:47:54] 所以CRH,
[00:47:55] ACTH,
[00:47:55] 糖皮质激素都呈现昼夜节律性,
[00:47:58] 所以讲到这地方总是很感慨,
[00:48:00] 你能大概目测一下,
[00:48:02] 这是凌晨四点,
[00:48:03] AM上午,
[00:48:05] 这是早上八点,
[00:48:06] 这是到中午十二点,
[00:48:07] 早餐左右,
[00:48:08] 你能发现世界上八点半的九点前后呀,
[00:48:11] 我们体内的ACTH水平,
[00:48:12] 包括糖皮质素水平是最高的,
[00:48:15] 所以,
[00:48:15] 讲到这个地方总是不由得感慨,
[00:48:17] 感慨维大利亚的毛主席,
[00:48:19] 维大利亚的领袖毛主席,
[00:48:20] 五年到苏联,
[00:48:22] 这个参加斯大林的苏二十大的时候,
[00:48:25] 正好去看望在苏联留学的那批留学生,
[00:48:28] 就卸在咱们国内这批中间的院士,
[00:48:31] 各个行业里边造导弹的,
[00:48:33] 造原子弹的,
[00:48:34] 造氢弹的,
[00:48:35] 造核潜艇的,
[00:48:36] 造航母的这批工程师,
[00:48:38] 就是当年那批留学生,
[00:48:40] 毛主席给他们在苏联莫斯科讲话的,
[00:48:42] 莫斯科大学,
[00:48:43] 说同学们呀,
[00:48:44] 世界是你们的,
[00:48:46] 也是我们的,
[00:48:47] 但归根结底,
[00:48:49] 还是你们的,
[00:48:51] 因为你们就像早上八九点钟太阳,
[00:48:53] 希望集团在你们身上,
[00:48:55] 这倒好,
[00:48:55] 我背一下王德勇的语录,
[00:48:56] 王德勇的讲话,
[00:48:57] 背一下就感慨,
[00:48:58] 能不能记下来,
[00:48:59] 我们一天之内,
[00:49:01] 我们的机体的功能,
[00:49:03] 机能最旺盛的时候,
[00:49:04] 是早上八点半到九点左右,
[00:49:07] 事实上到了午后的话,
[00:49:08] 在中午十二点以后,
[00:49:09] 两点钟以前,
[00:49:10] 也有小的高峰,
[00:49:11] 但这个高峰没有早上这个高,
[00:49:13] 所以,
[00:49:13] 然后就一路向西,
[00:49:14] 越来越低,
[00:49:15] 到早上四五点钟,
[00:49:16] 机能最低,
[00:49:17] 所以现在咱们做临床医生以后,
[00:49:19] 你发现早上四五点钟,
[00:49:20] 一个人最困,
[00:49:21] 因为ACT度水平最低,
[00:49:23] 人抵抗力呀,
[00:49:24] 免疫力呀,
[00:49:25] 各个方面,
[00:49:25] 包括精力是最差的时候,
[00:49:27] 也是一个患者最容易出风险的时候,
[00:49:30] 所以医生不容易,
[00:49:32] 总是在人最困乏的时候,
[00:49:34] 病房的意外的事情最多,
[00:49:37] 所以这个社会指责一个老师,
[00:49:39] 指责一个医生,
[00:49:40] 其实是极其没有道理的,
[00:49:42] 不知道什么时候,
[00:49:43] 这社会,
[00:49:43] 变得很可笑,
[00:49:44] 一批外行去指教,
[00:49:47] 指责内行的工作,
[00:49:49] 你说我要说句话,
[00:49:50] 说你懂个屁呀,
[00:49:51] 他说你看不起人,
[00:49:52] 你说我要看得起你的话,
[00:49:54] 是不是在污污你自己的智商呀,
[00:49:58] 我们连专业课都不掌握,
[00:50:00] 我们给人讲素质,
[00:50:02] 你说的素质在哪里,
[00:50:04] 一个医生除了不会看病,
[00:50:05] 什么都会,
[00:50:06] 就叫素质吗,
[00:50:09] 学有所成,
[00:50:10] 所有选用,
[00:50:12] 在什么时间,
[00:50:14] 干什么事,
[00:50:15] 尊老爱幼,
[00:50:16] 长幼,
[00:50:17] 有序,
[00:50:18] 就是一个最好的状态,
[00:50:20] 我们干嘛非要在专业课,
[00:50:23] 在专业课学习之外,
[00:50:24] 给人讲素质教育,
[00:50:26] 你的意思是,
[00:50:27] 要不讲素质的话,
[00:50:28] 就掩盖不了你无知的那个样子,
[00:50:30] 是不是,
[00:50:32] 这个世界上最无知的就是素质教育,
[00:50:36] 知道知识这个单词怎么写,
[00:50:38] now I age,
[00:50:40] 通过学习,
[00:50:41] 通过掌握知识,
[00:50:43] 我能知道我的认知的边缘在哪里,
[00:50:44] 否则我总以为我就是世界中心,
[00:50:47] 赵本山先生说的话,
[00:50:49] 你到底是太阳,
[00:50:49] 地球凭什么绕着你转,
[00:50:52] 我相信教育的本质,
[00:50:54] 就是让一个年轻人认识到,
[00:50:57] 寸有所长,
[00:50:58] 尺有所短,
[00:51:00] 长着对年轻人叫末世,
[00:51:05] 末期少年穷,
[00:51:06] 但是年轻时候也要谦虚谨慎,
[00:51:09] 多掌握知识,
[00:51:11] 掌握到一定的高度,
[00:51:12] 去重新看待世界,
[00:51:14] 所以我的亲学生们知道我一句话,
[00:51:17] 如果我的心不够大,
[00:51:19] 世界再大,
[00:51:20] 干我屁事,
[00:51:21] 不是世界有多大,
[00:51:23] 是我的心有多大,
[00:51:24] 我自己的世界才能有多大,
[00:51:27] 不是吗?
[00:51:29] 不管它呢,
[00:51:30] 就当我感慨一下,
[00:51:32] 世界皮质的东西这么多,
[00:51:34] 这一块还有点东西叫世界随制,
[00:51:36] 随制实际上,
[00:51:37] 咱们在胸怀系统讲的很详细了,
[00:51:41] 交感,
[00:51:41] 世界随制系统也在一起,
[00:51:42] 随着应激反应,
[00:51:44] 那么世界随制干嘛的?
[00:51:46] 随制基础的合成与代谢,
[00:51:48] 就像这个图里面画的示意图,
[00:51:49] 它有什么烙链算强化镁,
[00:51:51] 是吧,
[00:51:52] 多巴图作铭这些东西,
[00:51:53] 转化,
[00:51:54] 交感人性兴奋,
[00:51:55] 通过接线结尾,
[00:51:56] 通过释放一些单解,
[00:51:58] 作用到N型受体,
[00:52:00] 对吧,
[00:52:00] 然后多巴的一个β强化铭,
[00:52:03] 你把多巴胺往下走,
[00:52:04] 从这地方开始,
[00:52:05] 烙链算开始,
[00:52:06] 写印算到细胞膜内,
[00:52:07] 变成多巴,
[00:52:08] 变成多巴胺,
[00:52:08] 变成去甲生长性素,
[00:52:10] 去甲生长性素,
[00:52:10] 然后还能进一步变成这个生长性素,
[00:52:13] 这个样子,
[00:52:13] 嗯,
[00:52:15] 所以有体内的单氧化铭MAO,
[00:52:17] 和甲基转为铭,
[00:52:18] 或者转化为COMT,
[00:52:20] 作用而灭火,
[00:52:21] 这是代谢,
[00:52:23] 那么甚至随之使以生长性素和这分泌为主的,
[00:52:27] 交感神经则是以去甲生命压剂的,
[00:52:29] 匈牙切冻讲的很细,
[00:52:31] 说这两个东西一个生压药,
[00:52:32] 一个强性药,
[00:52:33] 差在哪里,
[00:52:34] 差在一个β二受体,
[00:52:36] 如果匈牙切冻你忘了,
[00:52:37] 你赶快回去读,
[00:52:38] 你明明到内科学医学试个细胞,
[00:52:40] 你就跑不了了,
[00:52:41] 所以讲课讲一句话说,
[00:52:43] 明明β受体组织剂在临床上是一个很好的降压药,
[00:52:47] 如果拿它和一个钙拮抗剂,
[00:52:49] 小本地品,
[00:52:50] 这CCB去配合,
[00:52:51] 这种降压的方案就很完美,
[00:52:53] 一个很好的降压药,
[00:52:55] 降压的方案,
[00:52:56] 但是β受体组织剂,
[00:52:58] 仿的一个四个细胞流,
[00:52:59] 这么一个高血压怀着什么事,
[00:53:01] 它不但不降压,
[00:53:02] 它还生压,
[00:53:03] 所以世界就这么奇葩,
[00:53:05] 慢慢慢慢通过学医学医定主义,
[00:53:07] 在这个世界上,
[00:53:09] 没有什么事情不可以例外,
[00:53:11] 医学更是如此,
[00:53:12] 这个地方我就不啰嗦,
[00:53:14] 都说,
[00:53:14] 它不难,
[00:53:15] 讲了很多次,
[00:53:17] 所以有关肾上腺和去甲烧血素的作用,
[00:53:19] 咱们讲了很多了,
[00:53:20] 为什么一个生压一个强心,
[00:53:22] 因为肾上腺素在周围血管上,
[00:53:24] 不但作用α受体,
[00:53:26] 也作用β二受体,
[00:53:27] 通过α受体缩血管,
[00:53:29] 通过β二受体,
[00:53:30] 舒张血管,
[00:53:31] 所以肾上腺素就是附成缩呀,
[00:53:33] 作用完之后,
[00:53:34] 因为有一些血管在收缩,
[00:53:36] 有一些血管在舒张,
[00:53:38] 所以对心脏的外周组织来说,
[00:53:40] 总的变化,
[00:53:41] 不大,
[00:53:42] 那么它就主要通过β一受体强心了,
[00:53:44] 而去甲烧它不作用β二,
[00:53:46] 它只作用α一和β一,
[00:53:50] 所以这样的话,
[00:53:51] 本来,
[00:53:52] 它对β一受体是有心脏作用的,
[00:53:54] 要强心,
[00:53:55] 你干嘛叫做生压药,
[00:53:57] 因为我要给它一打去甲烧,
[00:53:59] 去甲烧上腺素,
[00:54:01] 它通过刺激外周血管收缩,
[00:54:02] 通过交感缩血管线位,
[00:54:04] 足力一升高,
[00:54:05] 血压一升高,
[00:54:05] 就必然会牵动人体的动物反射,
[00:54:09] 通过动物反射,
[00:54:11] 就容易把心率给压制,
[00:54:12] 要慢一下,
[00:54:13] 所以你这要听个细节,
[00:54:16] 这要听个细节,
[00:54:17] 去甲烧在离体情况下,
[00:54:19] 把心脏拿到体外,
[00:54:21] 它是有强心作用的,
[00:54:22] 但在这情况下,
[00:54:23] 你一打去甲烧,
[00:54:24] 它生压之后,
[00:54:26] 心率就没有兴奋起来,
[00:54:28] 反而解慢了,
[00:54:29] 不是去甲烧对心脏不兴奋,
[00:54:32] 而是去甲烧对心脏的兴奋作用,
[00:54:34] 没有去甲烧对血管兴奋作用大,
[00:54:36] 那么血管兴奋生压之后,
[00:54:38] 通过动物反射,
[00:54:40] 就把心脏的活动给压抑,
[00:54:42] 表现为心率解慢,
[00:54:46] 所以熊华小冬讲过这,
[00:54:47] 复习一下,
[00:54:48] 这就是咱们卡的一个现象,
[00:54:50] 临床上给人一吃消耗的离平降压,
[00:54:53] 他心率就加快,
[00:54:54] 一打去甲烧生压,
[00:54:56] 他心率就解慢,
[00:54:57] 他我们这藏了一个东西,
[00:54:59] 斗功反射,
[00:55:01] 所以用药以后的心率变化,
[00:55:03] 我们称之为反射性的心率加快,
[00:55:06] 或反射性的心率解慢,
[00:55:10] 这样把它掌握下来就OK了,
[00:55:11] 嗯,就OK了,
[00:55:12] 下面这个什么神经机动,
[00:55:16] 比起焦虑,
[00:55:16] 机动它不焦虑,
[00:55:17] 这个咱们就先不研究了,
[00:55:19] 这个内容太复杂,
[00:55:20] 也就不了了,
[00:55:21] 认识总和平滑肌,
[00:55:22] 圣上邪道就舒张了,
[00:55:23] 嗯,
[00:55:25] 去压生就是收缩它不一样,
[00:55:27] 但是非认识的平滑肌,
[00:55:28] 实际上它就是这个收缩的,
[00:55:30] 它来上是要作用,
[00:55:31] 这个这个表格写的有点乱,
[00:55:33] 我懒得没改它,
[00:55:35] 围绕这个地方就讲一个,
[00:55:36] 就是你把这个圣上邪道去压生的作用,
[00:55:38] 刚才我已经描述一遍了,
[00:55:39] 这里边如果有点不清楚,
[00:55:41] 重点是掌握谁就OK了,
[00:55:43] 掌握循环系统里边,
[00:55:44] 为什么一个生压,
[00:55:46] 一个强行,
[00:55:47] 就好了,
[00:55:47] 嗯,
[00:55:50] 圣上邪随之激素的分泌调解,
[00:55:52] 其实也讲了很多次了,
[00:55:53] 就是交感神经,
[00:55:55] 交感神经通过N一型液解受体,
[00:55:57] 用接线线位置配板,
[00:55:59] 这样去影响圣上邪随之的分泌,
[00:56:01] 但除此之外的话,
[00:56:02] 作为这么重要一个东西,
[00:56:03] 包括STH啊,
[00:56:04] 它们的激素啊,
[00:56:05] 包括随之细胞内部的这个生长线素,
[00:56:08] 包括自身的反馈,
[00:56:10] 随之内部的多巴胺和去甲神经增高等等,
[00:56:13] 也都会去影响圣上邪随之分泌,
[00:56:15] 但显然这么一个影响,
[00:56:17] 咱们说,
[00:56:18] 使于交感神经影响最明显著的,
[00:56:20] 就是著名的应激反应,
[00:56:22] 能拿动源,
[00:56:23] 交感,
[00:56:24] 圣上邪随之系统,
[00:56:26] N一型液解受体,
[00:56:27] 接线线位,
[00:56:29] STH的影响不奇怪,
[00:56:30] 因为刚才刚刚学完圣上邪随之这一块,
[00:56:32] 你发现,
[00:56:33] 应激和应激其实是混杂了一起,
[00:56:35] 共同发挥作用的,
[00:56:37] 只是一个因,
[00:56:37] 圣高血糖能拿动源为主,
[00:56:40] 一个以激素,
[00:56:41] 抑制炎症细胞,
[00:56:42] 是把减少有害物质的刺激,
[00:56:44] 以它为主,
[00:56:45] 所以,
[00:56:46] 一个是后勤保障,
[00:56:48] 一个是作战部队,
[00:56:49] 但他们是互相配合的,
[00:56:51] 这样的话,
[00:56:52] 咱们就很简单的重复一下,
[00:56:54] 交感,
[00:56:55] 圣上邪随之系统,
[00:56:57] 又叫做能量动源,
[00:57:00] 又叫做应激反应,
[00:57:02] 有这么一个概念就好了,
[00:57:05] 所以这样的话,
[00:57:05] 大概圣上邪皮质的,
[00:57:07] 或者应该说,
[00:57:08] 圣上邪的内蜂蜜,
[00:57:09] 就这么多,
[00:57:10] 你也发现了,
[00:57:11] 里边内容非常,
[00:57:13] 博杂,
[00:57:14] 博杂,
[00:57:15] 但是又非常重要,
[00:57:15] 没有办法,
[00:57:16] 所以至少你能听下来,
[00:57:18] 满月的水牛背呀,
[00:57:19] 苦心呀,
[00:57:20] 爱悲生呀,
[00:57:21] 为什么长期大家使用糖皮激素,
[00:57:22] 不能突然停药呀,
[00:57:24] 他为什么说,
[00:57:24] ACTH应该叫做,
[00:57:25] 醋上邪糖皮质激素,
[00:57:27] 而不应该叫,
[00:57:27] 醋上邪皮质激素,
[00:57:29] 那么椰皮质素去哪里了,
[00:57:30] 在RAS,
[00:57:32] 有这么一个概念,
[00:57:32] 这块长得就还好,
[00:57:34] 这样的话,
[00:57:35] 咱们整个内蜂蜜这个章快结束了,
[00:57:37] 还剩下最后一小块,
[00:57:38] 就是有关胰岛的内蜂蜜,
[00:57:41] 咱们接着往下看,
