# 源音频：P52-生理学本科教学及考研基础课 p52 神经系统3.m4a
# 时长：2886s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们上节课咱们简单的留了着突触之间的传递和神经肌肉接头处这种传递的一同点
[00:43:50] 咱们要专门关注一下
[00:43:51] 叫生理学里边
[00:43:52] 你要学习这张内容
[00:43:53] 必须要掌握的
[00:43:54] 四大氨基酸抵制
[00:43:56] 第四大类还有
[00:43:58] 钛类
[00:43:59] 钛类非常常见
[00:44:00] 想象到调节钛
[00:44:01] 血管生亚素
[00:44:03] 催产
[00:44:04] 就要
[00:44:04] 所以
[00:44:04] 就要
[00:44:04] 缩工素
[00:44:05] 还塑体态
[00:44:06] 有化学态
[00:44:06] 塑体态
[00:44:07] 阿片肽
[00:44:08] 脑肠态
[00:44:09] 心房钠尿肽
[00:44:10] 是吧
[00:44:11] 降解素
[00:44:11] 精香化的
[00:44:12] 心肝胃等等
[00:44:12] 态类
[00:44:13] 漂领类
[00:44:14] 腺肝
[00:44:15] ADP
[00:44:15] 这都是作为
[00:44:16] 抵制存在的
[00:44:17] 还有气体的
[00:44:18] 一氧化碳
[00:44:18] 一氧化碳
[00:44:19] 煤气动毒
[00:44:20] 一氧化碳
[00:44:21] 嗯
[00:44:21] 脂类
[00:44:22] 化生素基酸和
[00:44:23] 切的这个野生物
[00:44:24] 切的一些素类的
[00:44:25] 还有神经类固醇
[00:44:27] 等等
[00:44:27] 所以这是一个
[00:44:28] 最常见的
[00:44:29] 抵制的一个分类方法
[00:44:31] 就是按照化学性质来分类
[00:44:34] 再下来这个词
[00:44:37] 咱们前面谈过一次
[00:44:39] 有关抵制的共存
[00:44:40] 早年咱们认为
[00:44:41] 一个神经元的前模
[00:44:43] 一般只合成和释放
[00:44:44] 一种抵制叫
[00:44:45] 代尔原子
[00:44:46] 后面发现不是
[00:44:47] 最经典一个案例
[00:44:48] 就是唾液腺
[00:44:49] 所以这边同学们
[00:44:50] 打开书里
[00:44:51] 稍微仔细注意一下
[00:44:52] 一般我们谈到一个
[00:44:54] 植物神经的功能支配
[00:44:56] 比如说对于心脏
[00:44:58] 交感神经兴奋
[00:44:59] 逆转神经抑制
[00:45:01] 气道平滑肌
[00:45:02] 一样
[00:45:03] 交感神经通过
[00:45:04] β二受体
[00:45:05] 让气道平滑肌舒张
[00:45:06] 弥子神经兴奋
[00:45:08] 通过m3受体
[00:45:09] 让气道平滑肌收缩
[00:45:10] 所以一个植物神经支配
[00:45:12] 往往是双重支配
[00:45:14] 并相互解抗的
[00:45:16] 直到你读到
[00:45:17] 消化神经学
[00:45:18] 唾液腺这
[00:45:19] 你发现唾液腺
[00:45:20] 也是交感和
[00:45:21] 弥子双重支配的
[00:45:22] 但是它就不解抗
[00:45:23] 这个喝完酒之后
[00:45:25] 弥子神经兴奋为主
[00:45:27] 蜂蜜大量稀薄的唾液
[00:45:29] 跑步以后
[00:45:30] 交感神经兴奋为主
[00:45:32] 蜂蜜少而粘稠
[00:45:34] 说不一个多一个少
[00:45:35] 一个多一个少
[00:45:36] 可不是一个兴奋
[00:45:38] 一个抑制
[00:45:38] 多的是因为
[00:45:40] 弥子神经兴奋以后
[00:45:41] 蜂蜜的唾液
[00:45:42] 是以水为主
[00:45:43] 所以量多
[00:45:44] 那么跑步以后
[00:45:46] 交感神经兴奋
[00:45:47] 唾液蜂蜜不是少了
[00:45:48] 是交感神经兴奋
[00:45:49] 另一种兴奋方式
[00:45:51] 是有机物多
[00:45:53] 它不单止是量少
[00:45:55] 它根本就是稠
[00:45:56] 所以交感的神经兴奋
[00:45:59] 表现为稠
[00:46:00] 弥子的神经兴奋
[00:46:01] 表现为
[00:46:02] 多
[00:46:03] 弥子和交感神经兴奋
[00:46:05] 都会刺激唾液分泌的
[00:46:08] 神经兴奋
[00:46:09] 增加
[00:46:10] 一个增加
[00:46:11] 无机物水和盐
[00:46:13] 一个增加有机物
[00:46:15] 盐蛋白
[00:46:16] 为什么就会这样
[00:46:18] 因为它
[00:46:19] 递质共存了
[00:46:22] 唾液腺中
[00:46:23] 交感神经兴奋的时候
[00:46:24] 不但释放去甲胜
[00:46:25] 还有神经胎外
[00:46:27] 有所修好效应
[00:46:28] 弥子神经兴奋的时候
[00:46:29] 不但释放胆子
[00:46:30] 还释放什么
[00:46:30] 修好活性肠胎
[00:46:32] 又扩修好
[00:46:33] 效应
[00:46:33] 所以递质共存
[00:46:34] 这个案例很有意思
[00:46:36] 所以一定打开书去读一下
[00:46:38] 它通过改变
[00:46:39] 绣管输出书章
[00:46:40] 来调节唾液分泌的量的多少
[00:46:42] 同时还改变质
[00:46:44] 以分泌是无机为主的
[00:46:46] 还是有机为主的
[00:46:48] 第五条在这里
[00:46:49] 还要简单提一个内容
[00:46:51] 叫地质的代谢
[00:46:51] 前面提到过
[00:46:52] 包括合成
[00:46:53] 储存
[00:46:54] 释放
[00:46:55] 降解
[00:46:56] 再摄取
[00:46:57] 再合成
[00:46:58] 所以力血瓶也就是影响了
[00:47:00] 前膜充摄取的地质
[00:47:01] 不让它
[00:47:03] 及时的进入囊泡内部
[00:47:05] 而被煤把它降解掉了
[00:47:07] 所以达到一个地质的耗节
[00:47:09] 地质释放完之后
[00:47:11] 约翰·邦人家是雄华往复的
[00:47:12] 一边释放
[00:47:13] 一边充摄
[00:47:14] 充摄收上去完了以后
[00:47:15] 进入囊泡再释放
[00:47:16] 再充再释放
[00:47:17] 他这样是只释放
[00:47:19] 出了去完了以后
[00:47:20] 回不到囊泡
[00:47:21] 给消耗在马路上
[00:47:23] 回不去了
[00:47:24] 那么将来
[00:47:25] 不能及时的增加新的地质
[00:47:27] 前膜就没有地质可以释放
[00:47:29] 这就是力血瓶的地质耗节作用
[00:47:32] 研究到生理学
[00:47:33] 里边写的不详细
[00:47:34] 所以这就是学习的能力了
[00:47:36] 也是学习的态度
[00:47:37] 说老师给我想力血瓶地质耗节
[00:47:39] 怎么耗节的
[00:47:40] 打开要你写第九版
[00:47:41] 关键三版要你写第九版
[00:47:42] 哦
[00:47:43] 这就给我写力血瓶
[00:47:45] 如何耗节地质的
[00:47:47] 谈安养化美
[00:47:48] 这就明白了
[00:47:50] 而不是要听图说
[00:47:51] 他吓死了
[00:47:52] 地质怎么会耗节啊
[00:47:54] 我就没见我的地质耗节啊
[00:47:56] 这就坏掉
[00:47:56] 就不是记不住
[00:47:58] 是选择性的
[00:48:00] 不相信
[00:48:01] 这是很糟糕的事
[00:48:03] 嗯
[00:48:03] 嗯
[00:48:04] 嗯
[00:48:04] 嗯
[00:48:05] 嗯
[00:48:06] 嗯
[00:48:07] 嗯
[00:48:08] 嗯
[00:48:09] 嗯
[00:48:10] 嗯
[00:48:11] 嗯
[00:48:12] 嗯
[00:48:13] 嗯
[00:48:14] 嗯
[00:48:15] 嗯
[00:48:16] 嗯
[00:48:17] 嗯
[00:48:18] 嗯
[00:48:19] 嗯
[00:48:20] 嗯
[00:48:21] 嗯
[00:48:22] 嗯
[00:48:23] 嗯
[00:48:24] 嗯
[00:48:25] 嗯
[00:48:26] 嗯
[00:48:27] 嗯
[00:48:28] 嗯
[00:48:29] 嗯
[00:48:30] 嗯
[00:48:31] 嗯
[00:48:32] 嗯
[00:48:33] 嗯
