# 源音频：P56-生理学本科教学及考研基础课 p56 神经系统7-痛觉.m4a
# 时长：3651s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课咱们在感觉传入这一块呀,谈了一下特异和非特异投射系统。
[00:45:37] 什么叫疑患
[00:45:38] 嗯
[00:45:39] 汇聚学说认为啊,就像是一图花的一样
[00:45:42] 是一图花,两个是一图
[00:45:44] 汇聚学说认为
[00:45:45] 病变的内脏
[00:45:47] 和体表的一些感觉呀
[00:45:49] 在传入到脊髓后脚,你还记得感觉传入是脊髓后脚进来的
[00:45:53] 因为传出是脊髓前脚
[00:45:55] 侧脚的话是脚感
[00:45:57] 那么
[00:45:58] 体表一个结构
[00:46:00] 和一个内脏的结构,它的感觉传入时候
[00:46:02] 汇聚学说认为是脊髓后脚同一个神经元
[00:46:06] 就这个神经元
[00:46:08] 既能接受体表的
[00:46:09] 感觉通绝传入
[00:46:10] 也能接受病变内脏
[00:46:12] 它当然是同一个神经元
[00:46:13] 那么到了这个神经元之后,你叫它对策
[00:46:15] 也是前两个系统上行
[00:46:17] 到臼脑
[00:46:18] 第一第二类核桃
[00:46:20] 然后到脑的皮层,在腋耳区
[00:46:21] 它这么一个走形方式
[00:46:23] 配图这系统
[00:46:24] 这样就有一个问题,什么问题呀
[00:46:26] 不管是体表这个地方受到一个伤害
[00:46:29] 疼痛了
[00:46:30] 还是内脏这个地方比如化脓了
[00:46:33] 这么一个病变
[00:46:34] 是通过同一个神经元的脊髓后脚上行的
[00:46:37] 加上大脑的感觉
[00:46:38] 当脑皮层接受的时候
[00:46:39] 当脑皮层在这
[00:46:40] 它接受的是这个神经元放电
[00:46:42] 那么这个神经元
[00:46:43] 到底是病变的内脏刺激我放电的
[00:46:46] 还是体表被刀子咬了一下,被噎头烫了一下
[00:46:49] 引发我放电
[00:46:50] 当脑皮层分辨不了
[00:46:52] 分辨不了可是亿万年的进化和生活工作过程中
[00:46:56] 那显然体表你受伤害的机会
[00:46:58] 走路时候脑袋被蚊狂磕了一下
[00:47:00] 是吧
[00:47:01] 手指头被开水烫了一下
[00:47:03] 是吧,被狗咬了一口等的类似于这样
[00:47:06] 体表受伤害的几率
[00:47:07] 变成了一个脑袋的运动
[00:47:08] 对内脏受伤害几率高
[00:47:09] 所以当脑皮层经常老接受到体表这个信号传入
[00:47:13] 时间久了
[00:47:14] 这一次就不是体表是内脏病了
[00:47:16] 还是这个神经元放电
[00:47:18] 当脑皮层一开始他放电说又是脑袋被蚊子夹了
[00:47:21] 这个孩子
[00:47:22] 走路不小心把脑袋往门上冲
[00:47:24] 他这样
[00:47:25] 所以什么意思你体会一下
[00:47:27] 按照汇聚学说理解的话
[00:47:29] 明明内脏病了
[00:47:31] 我大脑怎么感觉是
[00:47:33] 肩膀疼
[00:47:35] 他实在是一种错觉
[00:47:37] 他老以为这肩膀有肩膀疼
[00:47:38] 肩肉眼了
[00:47:39] 他是一种错觉
[00:47:41] 汇聚学说的核心你不信备注一下
[00:47:44] 写到弹幕上
[00:47:45] 汇聚学说核心是
[00:47:47] 胆囊病的时候我肩膀怎么会疼
[00:47:49] 因为他肩膀
[00:47:50] 是错觉他以为是肩膀疼
[00:47:53] 他以为是肩膀有问题
[00:47:55] 其实不是是胆囊病
[00:47:57] 这是汇聚
[00:47:58] 易化是
[00:48:00] 胆囊疼的时候
[00:48:01] 我怎么这个肩膀疼呀
[00:48:02] 易化学说认为
[00:48:04] 必必那叫胆囊
[00:48:05] 他的脊椎后脚是个神经元
[00:48:07] 是专门管胆囊的
[00:48:09] 但是他比较讨厌是
[00:48:11] 他除了给脊椎后脚神经元放点以后
[00:48:12] 你看他一个侧肢
[00:48:14] 他还干扰一下别人他自己不舒服他不让别人
[00:48:17] 我胃疼得睡不着你也别睡你陪我说话
[00:48:19] 他这样
[00:48:20] 他以这个突出现意化的方式比如说
[00:48:23] 就把用他肩膀的这个感觉
[00:48:25] 理化了一下
[00:48:27] 这意化一下不一样神经元处于高度敏感的状态
[00:48:30] 你比如说我换了点星毛衣
[00:48:33] 我不是说换点星毛衣,我毛衣好几年了
[00:48:35] 打比方
[00:48:36] 星毛衣终归和我皮肤接触一点毛毛的这样
[00:48:39] 就很不舒服
[00:48:41] 什么意思
[00:48:42] 按照会计学说我的胆囊病的时候
[00:48:45] 可是我觉得是肩膀疼
[00:48:47] 是错觉跟肩膀那啥关系
[00:48:49] 按照意化学说是不是肩膀确实有问题
[00:48:52] 是胆囊病变的时候
[00:48:53] 除了感觉胆囊疼以外
[00:48:56] 他突出现意化方式
[00:48:58] 把右侧肩膀的神经元性分析给他提高了
[00:49:01] 这样就可能会把肩膀什么比如说
[00:49:03] 你再往那一拍
[00:49:04] 把这个轻轻拍打一个很
[00:49:07] 轻易一个甚至
[00:49:08] 很暧昧的动作
[00:49:09] 没事干
[00:49:10] 喜欢拍拍人家肩膀,摸摸人家头发,摔摸人家耳朵
[00:49:12] 其实有时候能不能说
[00:49:14] 男女授受不亲,我没别的意思
[00:49:17] 我觉得
[00:49:18] 同学们同事们在一块互相拍拍打打的
[00:49:21] 偶尔一下也不是说就不可以,毛病太大了
[00:49:25] 但是这些事得拍人家一下
[00:49:26] 我老觉得,我不知道你们怎么看,弹幕啥别打了,这没意思
[00:49:30] 先行一场
[00:49:31] 道德讨论道德道不必要
[00:49:33] 但是我老觉得是不是还是
[00:49:34] 有话就说
[00:49:36] 还是这样比较好一点保持一个
[00:49:39] 小小的
[00:49:40] 小距离
[00:49:41] 我们这讲是这个
[00:49:43] 胆囊这个感觉升级也不讲究
[00:49:45] 你说你疼就疼,往上传吧
[00:49:47] 他没事拍拍别人的肩膀
[00:49:49] 结果最后造成这个
[00:49:50] 肩背部的感觉升级也性能也太高
[00:49:53] 然后结果感觉就过敏
[00:49:56] 所以这样把一个空调一个很舒服的风吹过来
[00:49:59] 吹得我疼了一下是吧
[00:50:01] 或者是别人很
[00:50:03] 很善意的一个提起拍拍肩膀,哥们醒醒醒醒
[00:50:07] 就这么一拍
[00:50:08] 你拍死老子了
[00:50:09] 实际上异化学说是
[00:50:11] 肩膀确实有问题了
[00:50:14] 肩膀
[00:50:14] 把一个信号给放大
[00:50:16] 成痛觉信号
[00:50:18] 这是异化
[00:50:20] 是把信号放大了
[00:50:22] 汇聚
[00:50:23] 是错觉了
[00:50:24] 这是本质
[00:50:26] 再说一遍
[00:50:27] 按照汇聚学说
[00:50:29] 一个神经元关两个地方
[00:50:31] 这两个地方不管谁有病他都放电
[00:50:33] 产生错觉
[00:50:34] 误解了
[00:50:35] 异化是确实是肩膀和胆囊是两个神经元
[00:50:40] 但是
[00:50:40] 两个神经元之间有存在的一些侧直连接
[00:50:44] 一个突出切异化的方式
[00:50:46] 一个兴奋的时候
[00:50:47] 拖个电杯的
[00:50:49] 另一个兴奋性提高
[00:50:50] 这样另一个兴奋性提高
[00:50:52] 提高是提高
[00:50:53] 有没有任何刺激也不放电
[00:50:55] 但是他信号提高了以后
[00:50:56] 他容易把正常信号
[00:50:58] 给放大成痛觉信号
[00:51:01] 所以你放心了没有
[00:51:02] 异化学说麻烦
[00:51:03] 最终还是在肩膀上
[00:51:06] 尽管你敏感性很高
[00:51:08] 我就不摸你肩膀你怎么不疼呀
[00:51:10] 他是把摸了一下
[00:51:12] 变成
[00:51:13] 鸡打了一下
[00:51:14] 他自己把感觉给放大了
[00:51:16] 什么意思讲了这么多
[00:51:18] 咱们总结听看能不能听懂啊
[00:51:20] 汇聚学说的时候
[00:51:22] 肩膀压根就没啥关系是错觉
[00:51:25] 你动不动它
[00:51:27] 它都得疼
[00:51:28] 异化是
[00:51:30] 肩膀过于敏感
[00:51:32] 过于敏感是你容易把各种各样的
[00:51:35] 触牙
[00:51:35] 是吧
[00:51:36] 温度
[00:51:37] 风吹
[00:51:38] 都放大给痛
[00:51:39] 弄不动你把你保护起来你也就不疼了
[00:51:41] 所以异化学
[00:51:43] 说中规
[00:51:44] 和肩膀是有关系
[00:51:45] 汇聚学说和肩膀就没关系
[00:51:47] 注意这个结论
[00:51:48] 这个是真正学打的弹幕啥
[00:51:51] 你来旁边同学我点名你喜欢吗但我还写这东西
[00:51:53] 这个他写下来
[00:51:54] 按照汇聚学说
[00:51:56] 胆囊病变的时候肩膀疼
[00:51:58] 和肩膀没关
[00:51:59] 按照异化学说胆囊疼的时候肩膀疼和肩膀是有关的
[00:52:03] 他只是肩膀和各种性好却放大成痛
[00:52:06] 那么这样的话我要是给肩膀打个麻醉药你体会
[00:52:09] 按照这个理论给肩膀打个麻醉药
[00:52:12] 按理论是
[00:52:13] 肩膀打了麻醉药按照异化学说
[00:52:16] 给你麻醉了你什么性好也接受不到你不会疼
[00:52:19] 这是异化
[00:52:20] 按照汇聚的话
[00:52:22] 肩膀有没有病反正我觉得你疼你就是疼我说你疼你必须疼
[00:52:25] 他是个错觉所以你打不打麻醉药不满意
[00:52:28] 但是教材第9版书我没仔细翻好像这儿慢慢删了
[00:52:32] 按照原来45678版
[00:52:35] 12345678的
[00:52:36] 教材上这会写一句话
[00:52:38] 说你从理论上
[00:52:40] 推理过去看一下
[00:52:41] 汇聚学说
[00:52:43] 是个错误
[00:52:44] 打不打麻醉药
[00:52:45] 不影响肩膀疼
[00:52:46] 异化学说是一个放大的原理
[00:52:49] 打了麻醉药之后麻住你你也就不会疼了
[00:52:51] 这是个结论啊
[00:52:52] 按照这个结论咱们使用一个实验
[00:52:55] 咱们找一个切实通的案例
[00:52:57] 给他把肩膀打个麻醉药
[00:52:59] 结果打完之后你猜结果怎么样打完之后很纠结
[00:53:02] 打完之后轻症的就不疼了
[00:53:05] 重症肩膀疼的还疼
[00:53:07] 就是在胆囊病
[00:53:08] 胆囊病变引发肩膀疼的时候
[00:53:10] 打个麻醉药
[00:53:11] 肩膀疼的不厉害打麻醉药就不疼了
[00:53:14] 疼的厉害打麻醉药也要疼
[00:53:16] 最后书上这样说了一句话
[00:53:17] 书上说
[00:53:19] 由这个实验的结果
[00:53:21] 轻症不疼了重症还疼
[00:53:22] 得出一个结论
[00:53:25] 说
[00:53:26] 汇聚学说
[00:53:28] 因为打了不疼了
[00:53:29] 看来这个错觉是不对的
[00:53:31] 汇聚学说
[00:53:32] 能解释后者
[00:53:35] 就是重症打了还疼
[00:53:37] 不能解释前者
[00:53:39] 轻的打了怎么不疼了
[00:53:40] 异化学说
[00:53:41] 能解释前者
[00:53:43] 不能解释后者
[00:53:44] 异化是把一个信号放大一旦麻醉药就不应该疼了
[00:53:47] 一打轻症确实不疼了
[00:53:48] 所以把这个解释了
[00:53:49] 但解释不是重的打了怎么还疼
[00:53:52] 汇聚能解释后者
[00:53:54] 异化能解释前者
[00:53:57] 两个学说各能解释
[00:54:00] 打了麻醉药以后
[00:54:01] 轻症肩膀不疼重症肩膀还疼
[00:54:03] 这个观察事实的一半
[00:54:07] 所以今天为止咱们在阐述
[00:54:09] 切磋痛的时候
[00:54:12] 汇聚和异化学说
[00:54:13] 还在同时使用
[00:54:15] 类似于这样的东西感觉奇怪咱们讲
[00:54:17] 我一个人的
[00:54:18] 视觉颜色形成
[00:54:20] 三元色
[00:54:21] 我们从视网膜
[00:54:23] 能接受三个不同波场
[00:54:26] 就是波场的三组光线
[00:54:28] 红绿蓝
[00:54:29] 来解释视网膜存在三类
[00:54:31] 视频细胞
[00:54:32] 这是三元色学说的理论依据
[00:54:34] 也得到很多视野认识
[00:54:36] 但是我们就解释不了其他比如说为什么白色视野最大
[00:54:39] 绿色视野最小
[00:54:41] 所以说三元色学说基础上
[00:54:43] 还存在着对比色
[00:54:45] 或者叫四元色学说
[00:54:46] 这个地方刚才我
[00:54:47] 我讲的比较啰嗦应该你也听懂
[00:54:49] 后续学说是个错觉错觉的话打不那么最好就得很
[00:54:53] 最后打了以后重症还疼
[00:54:54] 说明汇聚没毛病
[00:54:55] 轻症不疼了
[00:54:56] 汇聚解释不了
[00:54:57] 异化是仅仅是肩膀这个信号
[00:55:00] 放大上痛绝了
[00:55:01] 我跟你码的你没信号了你不疼了呗
[00:55:04] 结果一码以后轻症确实不疼
[00:55:05] 所以这个异化能解释
[00:55:07] 但重症还疼
[00:55:08] 异化解释不了
[00:55:09] 这两个学说一个解释后者不能解释前者
[00:55:11] 一个解释前者
[00:55:13] 不能解释后者
[00:55:14] 不管是谁听到这个课要听懂的话不妨打在弹幕上
[00:55:18] 解释一下什么叫做能解释后者不能解释前者
[00:55:21] 什么解释前者不能解释后者
[00:55:23] 写了讨论者评论者也可以
[00:55:25] 因为这个内容
[00:55:27] 就需要智商了
[00:55:30] 我们一下说吧
[00:55:32] 切着通的汇聚和异化学说这个图呀
[00:55:35] 影子于堪能教授的第20版的
[00:55:38] 医学生理学概论
[00:55:40] 医学生理学概论
[00:55:42] 所以他还有一本书叫
[00:55:43] Clinical Medical
[00:55:45] Odry
[00:55:45] 叫临床医用生理学
[00:55:47] 那本书属于生理学界的一个经典的著作
[00:55:50] 现在我没注意两年一版的话
[00:55:52] 应该30来版
[00:55:53] 我读硕士时候
[00:55:55] 读过第18版的几张内容
[00:55:58] 第18版
[00:55:59] 这么多年没有再借过一本书
[00:56:01] 自己没有去过国外没买过买他们我听小姐老师话挺贵的
[00:56:05] 一切都到这
[00:56:06] 国内好像一直没有这本书
[00:56:08] 英文叫Clinical Medical
[00:56:11] 所以有钱给领导们配了奥迪
[00:56:13] 有钱给投资国
[00:56:14] 买一本1000多美元的
[00:56:17] 灵狂医用生理学
[00:56:19] 这是我原来的一些信息
[00:56:21] 你也可能觉得信息改观了
[00:56:23] 所以我看那天讲的那个阅读里的
[00:56:25] 这个
[00:56:26] 小钢珠
[00:56:28] 这是一批恨国党在网上下载写字,我没调查也就还专门说了一下
[00:56:32] 所以同学们在B站喊喊善意给我指出
[00:56:34] 恨国调查来讲太刚不锈
[00:56:37] 就可以做这个不锈钢的钢珠了
[00:56:39] 这个技术咱们是有的
[00:56:40] 咱们都能做火箭能做导弹
[00:56:42] 能做登月和等火星车
[00:56:44] 是做的好事
[00:56:45] 做个阅读里还是没有压力的
[00:56:48] 所以谈到这儿,别让我说错了
[00:56:50] 再对回来是对的
[00:56:52] 对回来是错了就得认账
[00:56:55] 我专门拿这么一点时间来解释一下
[00:56:57] 经典的
[00:56:58] 牵涉痛的
[00:56:59] 混取和一划学说
[00:57:01] 争取这个地方它不是个考点
[00:57:04] 争取通过这么一个稍微复杂的语言的结构
[00:57:08] 帮助咱们增加一个定理
[00:57:10] 和判断临床
[00:57:11] 性质未明的一些问题的这种
[00:57:14] 判断力
[00:57:15] 就是你怎么判断
[00:57:16] 这个事业结论
[00:57:17] 和理论之间的这种
[00:57:19] 差异
[00:57:20] 什么叫假说什么叫学说
[00:57:23] 那么混聚学的本质
[00:57:25] 是弹囊病的时候结保它
[00:57:27] 压根是个错觉
[00:57:29] 一划学说是弹囊病的时候
[00:57:31] 结保这个信号容易放大
[00:57:33] 痛去
[00:57:34] 所以说混聚学说
[00:57:36] 与结保无关
[00:57:37] 一划学说
[00:57:38] 是与结保有关的
[00:57:40] 这样咱们就有点提高
[00:57:43] 那么到这儿为止的话应该说
[00:57:45] 神经上就是第三阶内
[00:57:46] 基本上就搞一段落了
[00:57:48] 整个神经生理学的
[00:57:50] 知识结构的构成和权重比上看
[00:57:53] 就是比例大小上看
[00:57:55] 第四节
[00:57:56] 神经系统对
[00:57:57] 自食和运动的调节
[00:57:59] 是咱们整个这一章最核心又是难度最大的一个内部
[00:58:03] 篇幅非常大
[00:58:04] 所以咱们今天来一个专门的话题
[00:58:06] 去研究一下第四节
[00:58:08] 神经系统
[00:58:09] 对自食和运动的调节
[00:58:10] 提前咱们讲一句话
[00:58:12] 说如果说
[00:58:14] 自食和运动这两个里边我学一个的话
[00:58:16] 那么在神经生理学上对第四节内容来说
[00:58:20] 我们显然几乎我们的关心点
[00:58:23] 着重点
[00:58:24] 都在
[00:58:24] 姿势的条件
[00:58:26] 姿势
[00:58:27] 然后按照角色的顺序
[00:58:29] 按照着人行动的结构从脊髓到脑
[00:58:32] 脊髓是吧
[00:58:33] 眼髓脑干中脑这样一点往上走
[00:58:36] 到大脑皮层
[00:58:38] 所以大脑皮层
[00:58:39] 再往下还有
[00:58:40] 皮层下
[00:58:41] 小脑呀
[00:58:42] 肌体生理结构这样一些结构
[00:58:44] 整个的知识结构构成的比较复杂
[00:58:47] 不光是对于大二的小朋友学生理学
[00:58:49] 可能到了大四大五
[00:58:51] 甚至研究生毕业之后
[00:58:52] 再听这一节内容
[00:58:53] 还是有很大压力的
[00:58:55] 所以提前咱们打个预防针
[00:58:57] 在打开讲第四节之前
[00:58:58] 你心里要清楚
[00:58:59] 这一节讲的
[00:59:00] 重点讲的是谁
[00:59:02] 是姿势
[00:59:03] 而不是运动
[00:59:05] 这样的
[00:59:06] 在谈到这一节的时候有一个内容咱们得提前看一下
[00:59:09] 就是一谈运动和姿势
[00:59:11] 运动和传出
[00:59:12] 你就想起来咱们一直在复习一个内容
[00:59:14] 运动传出在哪管的
[00:59:15] 脊髓前脚
[00:59:16] 阿尔法贝塔哈嘎姆
[00:59:17] 三组圣经运
[00:59:19] 你是不是能够真正听懂
[00:59:21] 第一个词
[00:59:22] 叫运动传出的最后公共
[00:59:25] 实际上咱们在前面
[00:59:27] 这个神约的连接方式
[00:59:29] 第二节
[00:59:30] 突如其来谈过
[00:59:31] 圣经运业之间有单线式连接
[00:59:34] 连接或者连接方式
[00:59:35] 单线式的
[00:59:37] 聚合式的
[00:59:38] 伏散式的
[00:59:39] 咱们说伏散式的更多存在于
[00:59:41] 感觉传入通路
[00:59:42] 聚合式的更多
[00:59:44] 存在于运动传出通路上
[00:59:46] 实际上你要从学完第四节
[00:59:48] 内容看过去
[00:59:49] 几岁前就一个阿尔法神经元放一下电
[00:59:51] 他会接触到零零总总的上上下下的很多很多神经元的
[00:59:55] 调控
[00:59:55] 什么皮层脊髓束小脑几岁数前听几岁数网络几岁数
[01:00:00] 红核几岁数等等等等
[01:00:02] 条条
[01:00:04] 大陆
[01:00:04] 通罗马
[01:00:05] 罗马城
[01:00:06] 是谁罗马城
[01:00:07] 就是这些
[01:00:09] 阿尔法
[01:00:09] 运动神经元
[01:00:11] 是这
[01:00:12] 所以到阿尔法运动神经元的时候在运动神经元之前
[01:00:15] 别人早经过千万次的
[01:00:17] 开会
[01:00:18] 交流沟通研讨各种各样方法
[01:00:20] 最后一下子就到阿尔法
[01:00:22] 开始活动
[01:00:23] 到这,所以到了阿尔法以后就动不了了
[01:00:26] 因此把它叫做运动传出的
[01:00:28] 最后公路
[01:00:29] 所以最先叫有三种神经元
[01:00:31] 阿尔法
[01:00:32] β和γ
[01:00:33] 有这样一个基本
[01:00:35] 前提
[01:00:36] 和一个基本的一个准备以后
[01:00:39] 咱们就正式打开开始学
[01:00:41] 第四节
[01:00:42] 神经系统
[01:00:43] 对自制和运动条件
[01:00:45] 第三节到这告一段落
[01:00:47] 咱们下来就
[01:00:47] 看第四节
