# 源音频：P58-生理学本科教学及考研基础课 p58 神经系统9-牵张反射.m4a
# 时长：2422s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 嗯,好,同学们,咱们接着往下看啊。
[00:40:01] 再总结一下
[00:40:02] 我想让肌缩感受到自己兴奋
[00:40:04] 感受到自己兴奋
[00:40:06] 有两个办法
[00:40:07] 一拉长肌肉
[00:40:08] 二刺激伽脈
[00:40:09] 那么得个结论出来
[00:40:10] 刺激伽脈是借借兴奋感受装置的
[00:40:13] 前拉肌肉是直接刺激的
[00:40:15] 能把这句话听明白
[00:40:16] 我们就可以往下走了
[00:40:17] 咱们往下看
