# 源音频：P25-生理学本科教学及考研基础课 p25 呼吸-第一节（肺通气的动力）.m4a
# 时长：2998s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:01] 同学们大家好,我是生理教育室的刘东宝老师,非常高兴能够在课堂上和同学们见面。
[00:42:22] 就拿不起来了
[00:42:22] 这个时候怎么拿好呢
[00:42:24] 你把杯子在桌面滑一下
[00:42:26] 滑到桌子边上
[00:42:27] 为什么
[00:42:28] 这个杯子底下不行
[00:42:29] 有点水
[00:42:30] 把它和桌面一密分
[00:42:32] 一开
[00:42:33] 开始杯子水热
[00:42:34] 密分的时候
[00:42:36] 杯子底下的这点空气是热的
[00:42:38] 一会儿杯子的水放凉了
[00:42:39] 热量能缩
[00:42:41] 那杯底底下的这点空气凉了以后
[00:42:43] 就负压了
[00:42:44] 等于是
[00:42:45] 大企业把杯子压在桌子上
[00:42:47] 粘紧了
[00:42:47] 你拔不下来
[00:42:48] 把球的时间
[00:42:49] 但是你能滑掉
[00:42:52] 你胸膨的做个实验看看
[00:42:56] 相对运动非常容易
[00:42:58] 因为下面有一滴水
[00:42:59] 但是你拔还拔不起来
[00:43:01] 所以既有润滑作用
[00:43:04] 又有贴附作用
[00:43:07] 你生活中一脑补一抹
[00:43:08] 你拿一个
[00:43:10] 拿一个密闭特别好的
[00:43:11] 一个特别光滑的桌面
[00:43:13] 你这样
[00:43:13] 你就随便拿一个很薄的
[00:43:14] 比如一个小镜子
[00:43:16] 女生拿一个面很光的一个东西
[00:43:18] 一个烟盒
[00:43:19] 吐口口水
[00:43:21] 吐口滴一滴水
[00:43:22] 把它往桌子上一搁
[00:43:23] 一看你再拔
[00:43:24] 拔不起来
[00:43:25] 为什么
[00:43:26] 你把它一搁这层水
[00:43:27] 把这个小盒子和桌面直接这个空气排掉以后
[00:43:30] 大企业把盒子压在桌面上
[00:43:33] 但是你把这个盒子桌子上往边滑的时候
[00:43:37] 很润滑
[00:43:37] 体会这个劲
[00:43:39] 这就是浆液的作用
[00:43:41] 一润滑
[00:43:42] 二贴附
[00:43:43] 那么一旦我们这个罐头皮破了
[00:43:45] 把火罐拔不了
[00:43:46] 这是很糟糕的事
[00:43:48] 所以林川叫起胸
[00:43:49] 因此说这体会一下
[00:43:51] 我长个胸儿枪干嘛
[00:43:53] 胸儿枪负责以负压的方式
[00:43:56] 把胸壁和肺脏紧密的功能性的
[00:44:00] 偶连在一起
[00:44:02] 没有胸儿枪的时候
[00:44:03] 肺脏和胸壁就各是各的
[00:44:06] 有了它以后
[00:44:07] 胸壁走
[00:44:08] 肺脏也得走
[00:44:10] 越大走
[00:44:11] 我也走
[00:44:12] 胸膜枪负压
[00:44:13] 是胸壁和肺脏运动之间的
[00:44:16] 偶连因子
[00:44:18] 是它把他俩人联系起来的
[00:44:21] 对了
[00:44:22] 就像刚才讲过
[00:44:27] 胸内压
[00:44:27] 在呼吸运动过程中
[00:44:29] 通气过程中
[00:44:30] 压力是发生变化的
[00:44:31] 但不管怎么样
[00:44:32] 它永远是负的
[00:44:33] 刚才讲过
[00:44:34] 因为肺脏在出生以后
[00:44:36] 没有胸口的发育速度快
[00:44:38] 所以人越生长发育
[00:44:40] 肺脏
[00:44:40] 越被胸壁拉的往外张
[00:44:43] 它越想往回缩
[00:44:44] F对于FKX
[00:44:45] 吸气膜的时候
[00:44:46] 大概循环负压是
[00:44:47] 负5到负10个毫米
[00:44:49] 呼气膜的时候
[00:44:50] 负3到负5个
[00:44:51] 那么胸内压力
[00:44:53] 怎么样产生
[00:44:54] 刚才说了
[00:44:54] 就是那个胡克定律
[00:44:55] 肺脏被胸壁往外拉
[00:44:59] 肺脏也不想被人往外拉
[00:45:01] 所以肺脏往肺膜方向回缩
[00:45:03] 胸壁又把肺脏往开拉
[00:45:05] 那么这样肺脏胸壁之间
[00:45:07] 产生了一个相互的分离
[00:45:10] 但是又分不开
[00:45:12] 腹压吸引着
[00:45:13] 因此说体会一下
[00:45:14] 胸内压
[00:45:15] 十点胸膜腔里边这个压力
[00:45:17] 等于谁呀
[00:45:18] 等于肺内压
[00:45:20] 减去肺脏弹性回缩力
[00:45:22] 但是只要保持气道通畅
[00:45:24] 那么肺内压和大气压永远相同
[00:45:26] 所以有些时候咱们说
[00:45:28] 简单理解一点
[00:45:29] 胸内压就等于负的
[00:45:31] 肺的弹性回缩力
[00:45:33] 这也好理解
[00:45:34] 刚才解释了半天
[00:45:34] 你胸壁拉着肺脏向往外走
[00:45:37] 那么你越把肺往开拉
[00:45:38] 那么肺脏这个
[00:45:39] F对于FKX
[00:45:40] 越往回抽
[00:45:41] 那么肺脏
[00:45:42] 咳嗽
[00:45:44] 喷嚏
[00:45:45] 冰气
[00:45:46] 用力
[00:45:48] 呼气
[00:45:49] 就是刚才说那个VASAR
[00:45:51] VAL
[00:45:52] SALVA
[00:45:53] VASAR
[00:45:54] 就是拉屎钻拳头
[00:45:56] 憋气
[00:45:57] 那个动作
[00:45:58] 都会让肺内压显著增高
[00:46:00] 可以成立正压
[00:46:01] 注意这不是生理情况的
[00:46:02] 这是特殊情况
[00:46:03] 那么我这个胸内压
[00:46:05] 胸内
[00:46:06] 胸膜腔腹压
[00:46:07] 有什么好处
[00:46:09] 因为这个腹压吸引拉着肺脏往开走
[00:46:11] 肺脏不好往开走
[00:46:12] 所以一拉它
[00:46:13] 肺脏内部就拉出
[00:46:14] 腹压来
[00:46:15] 维持腹压
[00:46:16] 维持肺脏扩张
[00:46:17] 第二个
[00:46:18] 第二个
[00:46:21] 肺脏有两头
[00:46:23] 一头在肺门上
[00:46:25] 一头在胸壁上
[00:46:26] 胸壁把肺脏腹压吸引着
[00:46:29] 肺脏向往后缩不回去
[00:46:30] 它就
[00:46:31] 这头缩不回去
[00:46:32] 它就看看肺门这边行不行
[00:46:33] 您发现了
[00:46:34] 两边都有肺
[00:46:34] 右肺
[00:46:36] 向往外走
[00:46:37] 左肺
[00:46:38] 也向往外走
[00:46:38] 两个肺脏
[00:46:40] 你学过解剖
[00:46:41] 在胸口这边是谁
[00:46:42] 中间是纵格
[00:46:44] 是心包
[00:46:45] 心脏
[00:46:45] 大胸脏
[00:46:46] 大胸脏
[00:46:46] 大胸脏
[00:46:46] 等等
[00:46:46] 你发现了
[00:46:47] 你越吸气
[00:46:48] 肺脏被拉得远开
[00:46:49] 拉得开
[00:46:50] 肺脏不舒服
[00:46:51] 向往回缩
[00:46:52] 一缩
[00:46:53] 两个肺脏中间连着肺门
[00:46:54] 连着纵格
[00:46:55] 那么他俩人都向往回缩
[00:46:57] 谁受害了
[00:46:58] 纵格
[00:46:59] 被两个肺脏
[00:47:00] 给五马分尸了
[00:47:02] 胸怀系统专门学过
[00:47:03] 越吸气
[00:47:04] 三目角色的123页
[00:47:06] 吸气时
[00:47:07] 由于中心静脉下降
[00:47:09] 中微静脉血液会增加
[00:47:12] 那么什么叫中心静脉
[00:47:13] 位于胸腔内的大静脉
[00:47:15] 或有心房压力
[00:47:16] 我越吸气
[00:47:17] 肺脏越向往回缩
[00:47:19] 但是我缩不回来
[00:47:20] 两边被胸臂
[00:47:21] 腹压吸引的缩不回来
[00:47:22] 那我就从肺门这想招
[00:47:24] 一想招
[00:47:25] 它往开
[00:47:25] 一缩
[00:47:26] 你看两个数
[00:47:27] 一缩
[00:47:28] 纵格
[00:47:29] 大静脉
[00:47:30] 就被外向牵引了
[00:47:33] 这一牵引
[00:47:33] 大静脉里边血压
[00:47:35] 就下降了
[00:47:36] 而这个纵格
[00:47:37] 胸腔里边大静脉
[00:47:38] 我们说叫中心静脉压
[00:47:40] 所以这么一个吸引
[00:47:41] 吸气的时候
[00:47:42] 顺手
[00:47:45] 把中心静脉给抽回来了
[00:47:47] 我们每个人都是
[00:47:48] 一吸气
[00:47:50] 脖子上血都走了
[00:47:52] 脖子都吸了
[00:47:53] 但是将来
[00:47:54] 学到内外科学
[00:47:54] 发现有些病人
[00:47:55] 比如说
[00:47:56] 有一种比较缩窄性心包炎
[00:47:58] 他一吸气
[00:47:59] 他脖子就粗了
[00:48:00] 他和正常人不一样
[00:48:01] 我们给名字叫
[00:48:03] 库斯玛尔针
[00:48:04] 所以将来你发现
[00:48:06] 打二时候
[00:48:07] 学生理学
[00:48:07] 刚刚接触医学
[00:48:08] 还不好玩
[00:48:09] 越往后面学
[00:48:10] 病生
[00:48:11] 诊断
[00:48:12] 内科外科
[00:48:13] 你发现临床这个疾病是
[00:48:14] 千奇百怪
[00:48:16] 稀里糊涂
[00:48:17] 刚才我随便讲了一个
[00:48:18] 正常人一吸气
[00:48:19] 脖子就吸了
[00:48:20] 塑料心包
[00:48:22] 心包积也化成一吸气
[00:48:23] 和咱相反
[00:48:24] 他越吸气
[00:48:24] 他脖子越粗
[00:48:25] 所以临床人也给了个名字
[00:48:27] 叫库斯玛尔针
[00:48:28] 这样的你发现特别好玩
[00:48:30] 不管他了
[00:48:30] 反正我讲这么多
[00:48:31] 给你听一下
[00:48:32] 通过读教材
[00:48:33] 一般是三页
[00:48:34] 呼吸运动
[00:48:36] 改变静脉挥流
[00:48:37] 你能发现
[00:48:38] 胸膜腔腹牙
[00:48:39] 有两个意义
[00:48:40] 第一个意义
[00:48:40] 帮助肺扩张
[00:48:42] 促进肺的通气
[00:48:43] 第二个意义
[00:48:44] 促进静脉和力挖挥流
[00:48:45] 这个字哪能读到
[00:48:48] 在循环系统
[00:48:49] 所以什么课程一开始说
[00:48:51] 越往后面学
[00:48:52] 知识的整合度越高
[00:48:54] 你学过的每一句话
[00:48:55] 在后面都要拿来用的
[00:48:57] 对了
[00:48:58] 自己慢慢体会到
[00:48:59] 学到呼吸力量
[00:49:00] 发现心肺是一家
[00:49:02] 你分不开
[00:49:02] 一个呼吸中气内部的
[00:49:07] 胸内压和肺内压变化
[00:49:08] 这不用管它了
[00:49:09] 前面咱们看过图
[00:49:10] 那肯定是越吸气
[00:49:12] 胸膜压力越负
[00:49:13] 但是肺内压力是先下降
[00:49:15] 后回升
[00:49:16] 因为气体慢慢流入
[00:49:18] 把肺内肉
[00:49:18] 困住了
[00:49:19] 空间填充了
[00:49:20] 填充之后
[00:49:21] 压力慢慢就回升了
[00:49:22] 回升到什么时候
[00:49:23] 在吸气过程中
[00:49:24] 肺内压和大气压相等了
[00:49:26] 没有压力差值了
[00:49:27] 没有动力
[00:49:28] 那么吸气就停止了
[00:49:30] 然后胸部就再往回压
[00:49:31] 肺内压再呼气
[00:49:32] 对了
[00:49:33] 肺内压就像刚才试一图看
[00:49:35] 是这样的
[00:49:36] 胸内压是这样的
[00:49:38] 肺里边气体是这样的
[00:49:41] 这一块不光是听
[00:49:43] 你还得琢磨琢磨
[00:49:45] 刚才谈了一下
[00:49:48] 肺通气的原理
[00:49:50] 和肺通气的动力
[00:49:52] 第二节和咱们该谈肺通气的阻力了
