# 源音频：P06-生理学本科教学及考研基础课 p06 细胞电1.m4a
# 时长：5671s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这儿简单看了几个有关静息电位的概念,
[00:45:23] 老师有用,
[00:45:24] 你设想一下,
[00:45:25] 正常的细胞膜两次甲膿阻差,
[00:45:27] 钠膿阻差,
[00:45:28] 是钠钾泵主动转运的一个结果,
[00:45:31] 一旦一个人心脏缺血,
[00:45:32] 心脚痛了,
[00:45:34] 心脏缺血,
[00:45:35] 心筋细胞代谢就没有ATP,
[00:45:37] 那么甲不断爬滑滑外漏,
[00:45:39] 形成紧急裂胃,
[00:45:40] 平时甲出去以后,
[00:45:42] 及时被钠钾泵就转回来了,
[00:45:44] 一旦一个心脚痛到患者心肌缺血,
[00:45:47] 钠钾泵不工作,
[00:45:49] 第一个咱们看钠钾泵会让我轻微的超级化,
[00:45:52] 现在如果心肌缺血,
[00:45:53] 心脚痛了,
[00:45:54] 钠钾泵不工作,
[00:45:56] 那么缺血区域心脏的一些细胞是不是就微微有点缺气化,
[00:46:00] 第一个,
[00:46:01] 第二个,
[00:46:02] 甲出去以后,
[00:46:03] 钠钾泵不工作,
[00:46:04] 把甲转不回来,
[00:46:05] 体会一下,
[00:46:06] 缺血的心肌细胞是处于高甲环境的,
[00:46:10] 这个甲平时出去以后,
[00:46:12] 钠钾泵直接崩溃了,
[00:46:13] 现在钠钾泵不崩了,
[00:46:14] 甲出去回不来,
[00:46:15] 所以越缺血严重,
[00:46:17] 膜外甲浓度相对越高,
[00:46:19] 膜内甲漏掉去了,
[00:46:20] 高甲让膜去几化,
[00:46:23] 还记得浓度还减小,
[00:46:25] 钠钾泵不工作,
[00:46:26] 让膜去几化,
[00:46:27] 听一个结论,
[00:46:28] 心脚痛的患者,
[00:46:30] 心脚痛的时候,
[00:46:32] 缺血的心肌细胞是处于去几化状态,
[00:46:36] 这句话可能听完之后两年之后你都忘了,
[00:46:39] 但到那个时候学到那一课学,
[00:46:41] 哎呀,
[00:46:41] 好像我记得,
[00:46:42] OK,
[00:46:43] 这就OK了,
[00:46:44] 这个骨骼基细胞去几化,
[00:46:46] 超几化,
[00:46:47] 无非是走路,
[00:46:48] 腿有没有劲,
[00:46:49] 心脏去几化,
[00:46:50] 超几化,
[00:46:50] 记住,
[00:46:51] 电弧都猛乱,
[00:46:52] 人要发生心理失常的,
[00:46:54] 是要死人的,
[00:46:55] 这样你就当故事听,
[00:46:57] 当故事就OK了,
[00:47:00] 一定要记这句话,
[00:47:01] 心脏严重缺血的时候,
[00:47:03] 缺血的心脏细胞是要发生去几化的,
[00:47:06] 说老师你给我讲进气裂胃干什么,
[00:47:08] 进气裂胃在临床工作中有用,
[00:47:10] 能救人一命的,
[00:47:12] 膜外甲,
[00:47:13] 膜外甲浓度,
[00:47:15] 高甲低甲,
[00:47:16] 膜对钠和甲相对通透,
[00:47:18] 以及钠甲泵的活动水平,
[00:47:21] 钠甲泵咱们学的这整整一节课进气裂胃结束了,
[00:47:25] 进气裂胃怎么产生的,
[00:47:26] 膜学说,
[00:47:27] 一,
[00:47:28] 浓度差驱动力,
[00:47:29] 二,
[00:47:29] 膜学的通透,
[00:47:30] 通透性,
[00:47:32] 离子学说里边并没有包含钠甲泵,
[00:47:34] 所以我多说一句话,
[00:47:36] 能掌握最好,
[00:47:37] 不掌握听过就完了,
[00:47:38] 体会一下,
[00:47:39] 进气裂胃产生过程中钠甲泵起作用了没有,
[00:47:42] 因为进气裂胃产生两个条件,
[00:47:44] 一,
[00:47:45] 浓度差,
[00:47:45] 二,
[00:47:46] 膜对甲通透,
[00:47:48] 钠甲泵没有参与,
[00:47:50] 但是钠甲泵的活动会改变你的进气裂胃,
[00:47:54] 所以我给它谨慎起个名字,
[00:47:56] 你体会一下,
[00:47:57] 钠甲泵只调解而不参与进气裂胃的,
[00:48:06] 钠甲泵只调解不参与这个样子的,
[00:48:14] 不管怎么样吧,
[00:48:16] 咱们上节课,
[00:48:17] 应该说比较详细的阐述了一下进气裂胃的产生,
[00:48:22] 以及不同的细胞膜进气裂胃绝对之为什么不一样,
[00:48:26] 和常见的通俗理解的影响进气裂胃的这么几个因素,
[00:48:32] 膜外的甲浓度,
[00:48:34] 膜对钠和甲的血液通透,
[00:48:36] 以及钠甲泵的一个辅助作用,
[00:48:39] 作用不太大,
[00:48:40] 但是有,
[00:48:40] 那么电活动这一块是咱们的生理学学习机器栏的一块,
[00:48:45] 又是所有的基础学科中唯一的,
[00:48:47] 谈电的这么一个学科,
[00:48:50] 电活动我们在大二还不明白,
[00:48:52] 大三之后每一个学科都离不开电活动,
[00:48:55] 所以它非常重要,
[00:48:56] 讲课的时候我总是语速很慢,
[00:48:58] 不敢快,
[00:48:59] 在细胞的电活动这一块,
[00:49:01] 我们准备学两个内容,
[00:49:03] 一个内容就刚才讲过的,
[00:49:05] RRP进气裂胃,
[00:49:07] resting potential,
[00:49:08] 另一个就是这个东西,
[00:49:10] AXIE potential,
[00:49:11] AP动作裂胃,
[00:49:12] 那么动作裂胃是个什么东西,
[00:49:14] 先往下读,
[00:49:15] 先看概念,
[00:49:16] 在进气裂胃的基础,
[00:49:17] 当细胞受到一个适当的刺激时,
[00:49:21] 膜裂胃可以发生迅速的,
[00:49:23] 可传播的一个波动,
[00:49:26] 这种膜裂胃的连续变化过程,
[00:49:29] 成为动作裂胃,
[00:49:31] 到这暂停体会一下,
[00:49:32] 如果说进气裂胃是一种状态,
[00:49:35] 是膜外征内附的激化状态,
[00:49:37] 是一种状态,
[00:49:39] 那么动作裂胃显然是一个过程,
[00:49:41] 是细胞膜这么一个裂胃,
[00:49:43] 刚才看我这个视频,
[00:49:44] 接受一个适当刺激后,
[00:49:47] 一个视频,
[00:49:47] 一个激化,
[00:49:48] 一个适当的这么一个刺激,
[00:49:50] 那么膜裂胃先发生趋激化,
[00:49:54] 再发生复激化的这么一个连续变化过程,
[00:49:58] 所以这一节课一开始为什么说,
[00:50:00] 咱们专门强调趋激化,
[00:50:02] 复激化,
[00:50:03] 复激化就是一个过程,
[00:50:04] 趋激化即使状态也是过程,
[00:50:06] 你这要用了,
[00:50:07] 嗯,
[00:50:07] 要用了,
[00:50:08] 在这个图上,
[00:50:09] 刚才看我这再看一下,
[00:50:11] 你发现接受刺激后呀,
[00:50:13] 膜裂胃先发生一个快速趋激化,
[00:50:17] 但复激化的后半段速度就慢了,
[00:50:19] 说的是怎么看出速度,
[00:50:21] 你看这个图,
[00:50:22] 横轴是0,
[00:50:23] 1,
[00:50:24] 2,
[00:50:24] 3,
[00:50:24] 4,
[00:50:24] 5单位是毫秒,
[00:50:25] 横轴是时间轴,
[00:50:27] 纵轴是膜裂胃多少多少毫幅,
[00:50:30] 你体会一下,
[00:50:31] 因为横轴是时间轴,
[00:50:33] 在这个图上,
[00:50:34] 这个线条越抖直,
[00:50:36] 越抖垂直,
[00:50:39] 那就表明单位时间膜裂胃变化幅度越大,
[00:50:43] 那么线条越平缓,
[00:50:45] 就代表,
[00:50:46] 呃,
[00:50:47] 就代表好几个毫秒了,
[00:50:48] 一共没变几个毫幅,
[00:50:51] 你看这个地方,
[00:50:51] 横轴时间就变了,
[00:50:53] 代表是个毫幅,
[00:50:54] 哎,
[00:50:55] 在这个电视力学图上呀,
[00:50:56] 记住,
[00:50:57] 从现在开始正式学电活动,
[00:50:59] 在电视力学里边,
[00:51:00] 如果不做特别说明的话,
[00:51:03] 横轴一般都是时间轴,
[00:51:05] 纵轴总是电流或电压,
[00:51:08] 这儿亲自看见了啊,
[00:51:09] 注意,
[00:51:10] 咱们说的这句话说,
[00:51:11] 不做特别说明,
[00:51:12] 是可以特别说明的,
[00:51:14] 加拿大兴基电这个地方,
[00:51:16] 叫它取消,
[00:51:16] 但我可能会拿出来给你看,
[00:51:18] 著名的,
[00:51:19] IV曲线,
[00:51:21] 叫电流电压关系曲线,
[00:51:23] 那是个特例,
[00:51:25] 其他咱们一般看得出的图呀,
[00:51:27] 都是横轴是时间轴,
[00:51:29] 纵轴是电流或电压,
[00:51:31] 要纵轴电流电压,
[00:51:32] 横轴时间的话,
[00:51:33] 那不用忙了,
[00:51:33] 一看图就发现,
[00:51:34] 这一段时间里边,
[00:51:36] 摩电力变化速度快,
[00:51:37] 这段时间里边,
[00:51:38] 变化速度慢,
[00:51:39] 我们在生理学上,
[00:51:41] 把动作电位过程中变化速度慢的这一段,
[00:51:43] 称之为后电力,
[00:51:45] 变化快的这一段,
[00:51:46] 称之为风电力,
[00:51:48] 像刀锋战士一样,
[00:51:49] 很锋利,
[00:51:50] 注意,
[00:51:51] 不是Summit煽风的锋,
[00:51:53] 而是锋利的锋,
[00:51:55] 因为就像一把刀子拿回来看,
[00:51:57] 韧,
[00:51:58] 很尖锐,
[00:51:59] 锋利强调尖,
[00:52:02] 而不是高,
[00:52:03] 对了,
[00:52:04] 那么在这地方开始给基本概念,
[00:52:08] 风电位,
[00:52:09] 是一个细胞能不能产生动作电位的标志,
[00:52:14] 其实你要给细胞摸一个电刺激呀,
[00:52:16] 细胞总是一个电的波动,
[00:52:18] 但有些细胞像这样一个神经细胞,
[00:52:20] 它会快速的一个趋激化,
[00:52:22] 复激化,
[00:52:23] 有风电位表达,
[00:52:24] 有些细胞刺激完以后,
[00:52:25] 摸电位一个缓慢变化,
[00:52:27] 所以说,
[00:52:27] 尽管所有细胞接触刺激以后,
[00:52:30] 都有电的变化,
[00:52:32] 但并不是所有细胞都能产生动作电位,
[00:52:36] 那么什么叫动作电位,
[00:52:37] 一定是产生了一个风电位出来,
[00:52:40] 因此你发现了没有,
[00:52:42] 这个地方很堂世界里边,
[00:52:43] 咱们学习很纠结,
[00:52:44] 老师我怎么理解它,
[00:52:46] 你这样体会一下,
[00:52:47] 假如说,
[00:52:48] 人体的一般细胞膜,
[00:52:50] 进气性化下,
[00:52:51] 膜两侧都有电位差,
[00:52:53] 叫进气电位,
[00:52:54] 但注意,
[00:52:54] 人体并不是所有细胞接触刺激,
[00:52:58] 都能产生动作电位,
[00:53:01] 那么生理学上甚至非常苛刻的,
[00:53:03] 把接触刺激以后,
[00:53:05] 能产生动作电位的细胞,
[00:53:07] 才叫做可信中细胞,
[00:53:09] excited,
[00:53:10] 觉得别人也信奉老师,
[00:53:12] 所以为了不产生歧义,
[00:53:14] 教材和欧威老师在编书的,
[00:53:16] 欧威教授还写一句话说,
[00:53:18] 把接触刺激以后,
[00:53:21] 能产生动作电位的细胞,
[00:53:23] 动作电位这个细胞,
[00:53:24] 称之为电可信奉细胞,
[00:53:28] 所以一般咱们通俗的,
[00:53:30] 在生理学上讲的,
[00:53:31] 可信奉细胞指的就是,
[00:53:33] 接触刺激能产生动作电位的细胞,
[00:53:36] 就三类,
[00:53:37] 什么这个基细胞,
[00:53:40] 骨骼基,
[00:53:42] 心基,
[00:53:42] 平滑基,
[00:53:43] 这些基础细胞接触刺激,
[00:53:45] 是能动作电位的基细胞,
[00:53:47] 第二个,
[00:53:47] 神经元,
[00:53:48] 脚踩元,
[00:53:49] 脚踩元,
[00:53:49] 它有时候写神经,
[00:53:50] 神经细胞其实不太恰当,
[00:53:52] 神经细胞里边还包含着神经胶质细胞,
[00:53:54] 容易产生歧义,
[00:53:56] 说了说我就没歧义,
[00:53:57] 没歧义是个好孩子,
[00:53:58] 容易歧义,
[00:53:59] 神经系统是神经元,
[00:54:02] 和神经胶质细胞构成的,
[00:54:04] 那么这地方为了不产生歧义,
[00:54:06] 逻辑上的东西,
[00:54:08] 第一类可信奉细胞,
[00:54:09] 基细胞,
[00:54:10] 肌肉的基,
[00:54:11] 包括骨骼基,
[00:54:13] 心基,
[00:54:14] 和平滑基,
[00:54:15] 第二类,
[00:54:15] 神经元,
[00:54:16] 这就不吵架了,
[00:54:17] 第三类,
[00:54:18] 内蜂蜜的腺体细胞,
[00:54:20] 比如甲状腺,
[00:54:21] 胰腺,
[00:54:22] 这些东西,
[00:54:23] 产生甲状腺缩呀,
[00:54:25] 胰岛缩呀,
[00:54:26] 胰高血糖缩呀,
[00:54:27] 这些东西,
[00:54:29] 这三类细胞,
[00:54:30] 腺体细胞,
[00:54:31] 肌细胞,
[00:54:32] 神经元,
[00:54:33] 我们称之为人体的三大可信奉细胞,
[00:54:36] 除此之外,
[00:54:37] 一般细胞接触刺激,
[00:54:39] 就不产生动作代位,
[00:54:42] 动作代位两个部分构成的,
[00:54:43] 接触刺激以后,
[00:54:44] 先是快速的膜代位变化,
[00:54:46] 叫风点位,
[00:54:47] 然后是缓慢变化,
[00:54:48] 叫后点位,
[00:54:49] 后点位有风两块,
[00:54:50] 你们看,
[00:54:50] 负后和正后,
[00:54:52] 我们一会儿详细给你解释,
[00:54:53] 这些往下读,
[00:54:55] 先听一句话,
[00:54:55] 风点位,
[00:54:56] 是一个细胞产生动作代位的标志,
[00:54:58] 那么给刺激以后是不是可信的细胞,
[00:55:00] 刺激一下看看,
[00:55:02] 有风点位就是了,
[00:55:03] 所以这样我们看,
[00:55:04] 找到了三类细胞,
[00:55:07] 作为一个细胞膜,
[00:55:09] 动作代位的话,
[00:55:10] 只是作为医学生,
[00:55:11] 百分之百都知道,
[00:55:13] 它有三大特征,
[00:55:14] 第一个,
[00:55:15] 全或无,
[00:55:16] all or none,
[00:55:17] how or none,
[00:55:19] 什么意思,
[00:55:19] 这个细胞只要接触刺激动作代位了,
[00:55:22] 它总是从自己的点位怕,
[00:55:23] 比如跳到下这个地方差不多,
[00:55:25] 挣50毫富,
[00:55:26] 说老师我到了挣30,
[00:55:27] 我后悔我回去了,
[00:55:28] 不,
[00:55:28] 你回不去,
[00:55:29] 其实到哪个地方,
[00:55:31] 你控制不了它,
[00:55:32] 一个正常细胞接触刺激,
[00:55:34] 要么就产生这么大一个动作代位,
[00:55:37] 要么就不产生,
[00:55:38] 说我产生半个,
[00:55:39] 我后悔了,
[00:55:40] 有点少了,
[00:55:41] 我再加一点,
[00:55:41] 不可以,
[00:55:42] 这就是不是就不是,
[00:55:43] 全或无,
[00:55:45] 那么从进系列为区区化开始,
[00:55:48] 到区区化结束,
[00:55:50] 接近或达到那的平衡列位,
[00:55:52] 这样一个过程,
[00:55:54] 走过的电位的幅度,
[00:55:56] 你们这是零到负70就70毫富,
[00:55:58] 加上我是正务是就120毫富,
[00:56:02] 我们把这个区区化的一个电位的变化,
[00:56:06] 这个差值称之为动作电位的幅度,
[00:56:11] 幅度大小,
[00:56:13] 幅度,
[00:56:13] 幅度,
[00:56:14] 幅度,
[00:56:14] 幅度,
[00:56:15] 从接触刺激开始,
[00:56:17] 到复机化结束,
[00:56:18] 所需要总的时间,
[00:56:20] 叫动作电位的时程,
[00:56:23] 时间的是严重程度的程,
[00:56:27] 和秒,
[00:56:29] duration,
[00:56:30] 幅度和时程,
[00:56:33] 一个同一个细胞,
[00:56:35] 不同情况下接触刺激的时候,
[00:56:37] 动作电位总是那么大,
[00:56:38] 要么刺激一下没反应,
[00:56:40] 要么刺激一下就那么大,
[00:56:41] 它不会产生了半个,
[00:56:42] 那不会,
[00:56:43] 所以这个特性叫全或无,
[00:56:44] 第二个,
[00:56:45] 一个细胞,
[00:56:46] 那么大,
[00:56:47] 一个细胞,
[00:56:47] 你不可能拿一个壳子把它套住给刺激,
[00:56:50] 你总是拿个小电解,
[00:56:52] 在细胞某某个地方刺激,
[00:56:54] 就像一个鸡蛋,
[00:56:55] 你脑补一下,
[00:56:56] 随便找个电刺激一下,
[00:56:57] 动作电位了,
[00:56:58] 动作电位就像一个火花,
[00:57:00] 你脑补这个好莱坞电影上,
[00:57:01] 这个核弹在海平上爆炸,
[00:57:03] 那个海上把那个波浪,
[00:57:05] 哗,
[00:57:05] 往周围推,
[00:57:06] 动作电位就是那样的,
[00:57:07] 它在细胞某的某个地方产生以后,
[00:57:10] 沿着模型周围传播,
[00:57:12] 直到把整个细胞某兴奋一下,
[00:57:14] 就结束了,
[00:57:15] 刺激一次只能产生,
[00:57:16] 说就过去后,
[00:57:18] 这个鸡蛋是个圆的,
[00:57:19] 我也毁了,
[00:57:20] 不会,
[00:57:20] 它传播一次,
[00:57:22] 这里边要注意特点是,
[00:57:24] 你不管这个刺激从哪开始的,
[00:57:26] 这个细胞某不管有多大,
[00:57:27] 它传完这一撮的过程中,
[00:57:29] 不管传到哪个地方你测一下,
[00:57:31] 它的幅度总是那么大,
[00:57:33] 大小不会变化,
[00:57:34] 所以它的传播过程中,
[00:57:36] 大小是不衰减的,
[00:57:38] 我们称之为可阔布性传播,
[00:57:41] 其实,
[00:57:42] 在某种意义上讲,
[00:57:43] 你从A点给你刺激,
[00:57:44] 传到B点的时候,
[00:57:45] 大小还是那么大,
[00:57:46] 你也可以把这个现象理解,
[00:57:48] 这就叫全货物,
[00:57:49] 不能说A点产生,
[00:57:50] 到了B点小了,
[00:57:51] 不会,
[00:57:51] 到B点大了,
[00:57:52] 不会,
[00:57:52] A点你刺激的时候,
[00:57:54] 多大一个变微,
[00:57:54] 到了B点,
[00:57:55] 到了C点,
[00:57:56] 到了D点,
[00:57:56] 到了E点,
[00:57:57] 它还是那么大,
[00:57:58] 它大小不变化,
[00:57:59] 所以你说可阔布传播,
[00:58:02] 就是全货物,
[00:58:03] 那没有问题,
[00:58:04] 我们不吵架,
[00:58:05] 但是我们这只是换个方式说,
[00:58:07] 不能因为传的远,
[00:58:09] 就小了,
[00:58:12] 有那么大细胞L是,
[00:58:13] 你试想想,
[00:58:14] 要腰这被人敲了一下,
[00:58:17] 坐骨生经,
[00:58:18] 插到脚S上去,
[00:58:19] 一米多长吧,
[00:58:20] 说我腿短啊,
[00:58:21] 80厘米,
[00:58:22] 这行吧,
[00:58:23] 这么长,
[00:58:24] 一个生性纤维,
[00:58:27] 周图,
[00:58:28] 哼长,
[00:58:29] 一米多长,
[00:58:30] 这么长,
[00:58:31] 传导时候也被美女衰竭,
[00:58:32] 对了,
[00:58:33] 这叫不衰竭传导,
[00:58:35] 第三个,
[00:58:35] 不能总和脉冲式发生的,
[00:58:38] 什么叫不能总和,
[00:58:39] 咱回来试一图我看,
[00:58:40] 就是如果我在这给个刺激,
[00:58:42] 细胞动作变微了,
[00:58:43] 那么一定注意,
[00:58:44] 在风电位之内,
[00:58:46] 你再给任何刺激,
[00:58:48] 细胞都不会动作变微,
[00:58:50] 这个到一会儿就讲到了,
[00:58:52] 称之为细胞膜的绝对不应吸,
[00:59:00] 细胞产生一次动作变微以后,
[00:59:03] 一定要在风电位之外再给刺激,
[00:59:05] 才可能产生第二次,
[00:59:07] 它不可能连续形分,
[00:59:09] 为什么呀,
[00:59:10] 一会儿就都学到了,
[00:59:11] 实际上在细胞这一章第一节学过,
[00:59:13] 一个点儿门口,
[00:59:14] 有一个点儿空空的脑通道,
[00:59:16] 它激活之后就失火,
[00:59:18] 其实绝对不应吸,
[00:59:20] 就是摩哈脑通道失火了,
[00:59:22] 这会儿可能咱们刚刚开始学,
[00:59:24] 知识前后还连贯不起来,
[00:59:26] 所以读的时间久了,
[00:59:27] 发现内外辅而物外,
[00:59:28] 那么大学科,
[00:59:30] 就是一门扩展版的生理学而已,
[00:59:34] 所以一直让我学生听,
[00:59:35] 学医学,
[00:59:36] 包括考研究生,
[00:59:37] 也就是入学考试,
[00:59:38] 职业医考试,
[00:59:39] 这个复习那么大学科怎么复习的,
[00:59:42] 一定是从生理学开始,
[00:59:44] 到生理学结束,
[00:59:46] 先不管它了,
[00:59:47] 这张课就反映一个重要的,
[00:59:49] 动机地位的三大特征,
[00:59:51] 风变位是动机地位产生的标志,
[00:59:54] 接着往下看,
[00:59:58] 那么进系地位是甲粒子通过下落通道外流产生的,
[01:00:03] 而且甲越外流,
[01:00:04] 电阻阻力越大,
[01:00:06] 所以甲粒子外流在作死,
[01:00:07] 越流就越不流,
[01:00:08] 这么个样子,
[01:00:09] 动机地位是如何产生的,
[01:00:11] 动机地位摩地位的波动,
[01:00:13] 也一样是离子跨摩流动,
[01:00:16] 所以到今天为止,
[01:00:17] 我们非常,
[01:00:17] 非常自信的在实验时空看到了,
[01:00:20] 为什么细胞某些产生一个去极化,
[01:00:23] 再产生一个复极化动机地位连续变化,
[01:00:25] 实际上我们今天知道事实,
[01:00:27] 一般的细胞去极化都是那内流产生的,
[01:00:31] 复极化都是甲外流,
[01:00:33] 就像上一节和反复反复强调的一样,
[01:00:36] 这个离子怎么按怎么摩还能流动,
[01:00:38] 就是一个带电离子的跨摩运输,
[01:00:41] 那么怎么流动,
[01:00:42] 它的方向和速度取决于两个点,
[01:00:44] 像机器列为一样,
[01:00:45] 一,
[01:00:46] 离子在摩两次,
[01:00:47] 二,
[01:00:48] 受到的驱动力,
[01:00:49] 离子在电荷的,
[01:00:51] 上节可学进气电位了,
[01:00:53] 所以体会一下,
[01:00:54] 那离子想从膜外流到膜内去,
[01:00:56] 就不单纯是你想象的十二三的浓度差,
[01:01:00] 进气电位外振内辐,
[01:01:03] 设想进气电位情况下,
[01:01:05] 哪有内流不但接受浓度差往里面推,
[01:01:08] 还有膜内负电荷的吸引,
[01:01:11] 所以刚才专门做过解释,
[01:01:14] 电场力在拿内流的时候是动力,
[01:01:17] 进气电位,
[01:01:18] 而电场力在假外流时候是阻力,
[01:01:21] 但如果一直内流,
[01:01:23] 膜越来越趋激化,
[01:01:25] 到零你还往里边流,
[01:01:27] 膜反激化了,
[01:01:29] 反激化情况下,
[01:01:30] 电位就成了那内流的阻力,
[01:01:34] 那的内流一定是在反激化那头被挡住的,
[01:01:39] 所以上节可说,
[01:01:40] 那的平衡电位是真的,
[01:01:42] 而假是外振内负,
[01:01:43] 假外流时候必须摸外振的才挡不假外流,
[01:01:47] 所以假的时候就摸而胜,
[01:01:49] 即是反激化的,
[01:01:51] 那内流的时候,
[01:01:52] 平衡电位就是反激化的,
[01:01:55] 哎,
[01:01:56] 驱动力,
[01:01:56] 驱动力这体会一下,
[01:01:58] 全称叫做电化学驱动力,
[01:02:01] 不但有浓度差,
[01:02:02] 还得加上电场力,
[01:02:03] 这是第一个,
[01:02:04] 第二个就是摸对该粒子通透,
[01:02:07] 所以上节可说这是打基础,
[01:02:08] 进气电位情况下,
[01:02:09] 假粒子外流进气电位,
[01:02:11] 那怎么就不内流呢?
[01:02:12] 那有12-13倍浓度差,
[01:02:13] 还加上电场力吸引,
[01:02:15] 因为假外流的时候不但有浓度差30倍,
[01:02:19] 还有假的通道,
[01:02:20] 那内流,
[01:02:21] 它需要的通道没有开放,
[01:02:24] 哪个通道?
[01:02:25] 提前被电压门控的那通道,
[01:02:28] 说你说电压门控就电压门控,
[01:02:30] 你是不是骗我啊老师?
[01:02:31] 因此说教材上在这个地方,
[01:02:33] 拿很大的几块篇幅来给你实验验证,
[01:02:39] 那的内流确实是电压门控的那通道,
[01:02:43] 所以咱们这一篇读起来非常难,
[01:02:45] 原因是什么?
[01:02:46] 科研原理都是在做博士以后,
[01:02:48] 开始用的技术,
[01:02:49] 而咱们现在本科生要对,
[01:02:51] 一定注意同学们,
[01:02:52] 东西内部你要偷懒,
[01:02:53] 直接背下来,
[01:02:54] 那你的续计划假外流复计划过,
[01:02:56] 但是如果你感兴趣它,
[01:02:57] very interesting,
[01:02:59] 那就听下来,
[01:03:00] 静下来听一听,
[01:03:01] 这个实验怎么设计的,
[01:03:03] 这一篇全是在讲实验室的设计和技术和原理,
[01:03:07] 嗯,
[01:03:11] 接下来咱们看这个东西内部产生的时候两个问题,
[01:03:15] 所以从细胞这章开始你发现了,
[01:03:17] 我们反复抢到一个话题,
[01:03:19] 什么话题?
[01:03:20] 通透性,
[01:03:21] 驱动力,
[01:03:21] 通透性,
[01:03:22] 驱动力,
[01:03:23] 一个物质想完成狂魔转运,
[01:03:25] 必须同时满足这两个条件,
[01:03:27] 就像刚刚咱们还在说,
[01:03:29] 为什么进气叠的性块假可以外流,
[01:03:32] 形成进气叠位,
[01:03:33] 而钠就不内流,
[01:03:34] 钠和假都有浓度差在模量测,
[01:03:37] 但是假不但有浓度差,
[01:03:39] 还有假漏通道,
[01:03:40] 它有通透性,
[01:03:41] 钠只有浓度差,
[01:03:43] 没有通透性,
[01:03:44] 因为钠有内流的点M空挡通道呀,
[01:03:47] 处于进吸状态,
[01:03:49] 它没开放,
[01:03:50] 换句话说,
[01:03:51] 你要能把通道打开,
[01:03:53] 那就可以内流,
[01:03:54] 在这儿咱们先不要考虑透性,
[01:03:56] 咱们先考虑驱动力,
[01:03:58] 驱动力其实刚才也讲过了,
[01:04:00] 你来读一下,
[01:04:01] 驱动力,
[01:04:02] 电化学驱动力,
[01:04:03] 假定进气叠位EM是负70个毫伏,
[01:04:07] 那么EK和ENA分别是负90,
[01:04:10] 整60,
[01:04:11] 是啊,
[01:04:12] 俺现在教的才是负95,
[01:04:13] 就是假频能内流,
[01:04:14] 那的话一般在整57左右,
[01:04:16] 整60就可以,
[01:04:17] 差不太多,
[01:04:18] 嗯,
[01:04:19] 这么个样子,
[01:04:20] 那么,
[01:04:21] 进吸电位情况下,
[01:04:22] 外振内负,
[01:04:23] 这个情况下,
[01:04:24] 假驱动力是什么样子的,
[01:04:26] 你还记得平衡电位四个字,
[01:04:28] 假驱动力是电场力和浓度差的待复合,
[01:04:33] 哎,
[01:04:34] 这个按照浓度差,
[01:04:36] 假定膜直对假通透,
[01:04:38] Nest公式算一下,
[01:04:40] 30倍浓度差情况下,
[01:04:42] 95个毫伏才能挡住它,
[01:04:45] 但现在膜电位是多少,
[01:04:46] 只有负70,
[01:04:49] 可见这个70毫伏,
[01:04:51] 这个小电场力,
[01:04:52] 就没有浓度差,
[01:04:53] 那个力量大,
[01:04:54] 在假外流过程中,
[01:04:56] 电场力是阻力,
[01:04:58] 浓度差是动力,
[01:05:00] 所以这样一看,
[01:05:01] 浓度差比较大一点,
[01:05:03] 还负一点,
[01:05:05] 因此,
[01:05:06] 算下来之后,
[01:05:07] 用假的浓度差,
[01:05:10] 减去假的电场力,
[01:05:14] 还多出20个毫伏来,
[01:05:16] 按这个公式看的话,
[01:05:17] 是1m减去1k,
[01:05:19] 就是膜的电位,
[01:05:21] 实际电位,
[01:05:22] 减去膜的平衡电位,
[01:05:24] 假的平衡电位,
[01:05:25] 负70减负90,
[01:05:27] 那呗,
[01:05:28] 还多20毫伏,
[01:05:29] 正的,
[01:05:30] 说我没看懂老师,
[01:05:31] 你接着往下看,
[01:05:32] 那现在什么样子,
[01:05:34] 那的平衡电位是正60毫伏,
[01:05:36] 现在膜电位多少,
[01:05:37] 负70,
[01:05:38] 正60负70,
[01:05:39] 差了整整130个毫伏,
[01:05:41] 整整130,
[01:05:44] 在外正内负负70毫伏情况下,
[01:05:48] 那的内流,
[01:05:49] 不但有浓度差在推,
[01:05:51] 还有电场力在进行,
[01:05:52] 电场力在吸,
[01:05:54] 刚才讲过很多次了吧,
[01:05:56] 你如果觉得数字差没法接受,
[01:05:58] 你先概念上接受一下,
[01:06:00] 你说,
[01:06:01] 在负70毫伏情况下,
[01:06:03] 假外流容易一点,
[01:06:04] 还是拿内流容易一点,
[01:06:06] 那的内流,
[01:06:07] 不但浓度差在往里边推,
[01:06:08] 电场力还在往里边吸,
[01:06:10] 而假外流,
[01:06:13] 浓度差是在往外推,
[01:06:14] 但电场打着说别出来,
[01:06:15] 玩玩堵着啊,
[01:06:16] 别出来,
[01:06:17] 电场是阻力,
[01:06:19] 浓度差是动力,
[01:06:20] 一个动力一个阻力,
[01:06:21] 而在负70毫伏情况下,
[01:06:22] 那的内流,
[01:06:23] 只有动力,
[01:06:24] 而没有阻力,
[01:06:26] 最初咱们学电也活动,
[01:06:28] 能这样理解,
[01:06:29] 中国也是件好事,
[01:06:30] 如果这个地方想进一步彻底听明白,
[01:06:34] 就是一定不易,
