# 源音频：P59-生理学本科教学及考研基础课 p59 神经系统10-去大脑僵直.m4a
# 时长：3600s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们上节课谈了一下一个简单的概念,叫古国机械量感受。
[00:42:47] 头部与颈部与气管的关系,
[00:42:51] 等等,
[00:42:52] 还有这个调节能力,
[00:42:53] 称之为,
[00:42:54] 迷路紧张,
[00:42:55] 紧紧张,
[00:42:58] 这样一些现象,
[00:42:59] 这就叫,
[00:43:00] 伽马僵持,
[00:43:01] 伽马缓路。
[00:43:05] 接着咱们再往下看一个小话题,
[00:43:09] 实际上在动物实验中看到的缺脏脑僵持这个现象,
[00:43:13] 在临床医学上也能看到,
[00:43:15] 临床而仍在发生颅内病变的时候,
[00:43:18] 其实,
[00:43:19] 一种是出现经典的缺脏脑僵持,
[00:43:21] 一种是还有更为复杂的,
[00:43:23] 表现更为复杂的,
[00:43:25] 所谓脾,
[00:43:26] 去脾层的僵持,
[00:43:27] 所以说想同学们学这个阶段的时候,
[00:43:29] 你慢慢体会一下,
[00:43:30] 从脊髓开始,
[00:43:32] 脊髓往上走,
[00:43:33] 盐水,
[00:43:34] 中脑,
[00:43:35] 基地生命结,
[00:43:36] 小脑,
[00:43:37] 再加上潜艇这些结构,
[00:43:39] 最后到大脑脾层,
[00:43:40] 脾层还有旧脾层和新脾层,
[00:43:43] 前额叶,
[00:43:44] 大概我们的动物学家也就人类和猴子,
[00:43:48] 这种灵障的动物,
[00:43:49] 大概差距差别,
[00:43:50] 额叶,
[00:43:51] 前额叶,
[00:43:52] 所以甚至你要是看一个老的电影,
[00:43:55] 叫From Hell来自地狱,
[00:43:57] 在更早18世纪19世纪这个样子吧,
[00:44:00] 英国有一些所谓的教派,
[00:44:03] 呃,
[00:44:04] 这些医生,
[00:44:05] 教会医生认为一个精神末裂的人是跟上鬼了,
[00:44:08] 跟上鬼了,
[00:44:09] 幽灵,
[00:44:10] 然后就通过毁损一个患者的额叶,
[00:44:13] 前额叶皮层,
[00:44:14] 来治疗精神末裂,
[00:44:16] 电影中这样反映的,
[00:44:17] 甚至历史上也这样反映过,
[00:44:19] 还有比这样更残忍一些,
[00:44:20] 甚至包括上一世纪,
[00:44:22] 就是20世纪末的时候,
[00:44:23] 还有人通过毁损皮层的边缘系统,
[00:44:26] 毁损一个人的情感中枢,
[00:44:28] 来达到所谓的戒毒的效应,
[00:44:31] 叫戒毒手术,
[00:44:32] 这些东西其实是极为,
[00:44:34] 极为,
[00:44:35] 哎哟,
[00:44:36] 我当老师的讲课实在不容易,
[00:44:38] 这个词我想一想,
[00:44:39] 叫不人道,
[00:44:40] 叫残忍,
[00:44:41] 大概因为这个事,
[00:44:42] 所以不是我一个人,
[00:44:43] 是我记得前两天我转了一个,
[00:44:45] 毕竟还转了一个,
[00:44:46] 呃,
[00:44:47] 蒙铁军教授讲话内容,
[00:44:48] 还说你开口闭口给人讲科学,
[00:44:51] 你说他科学是通常,
[00:44:52] 科学类似于这样的话题啊,
[00:44:54] 在阳光下,
[00:44:55] 多少罪恶,
[00:44:56] 假以科学的名义,
[00:44:57] 这样说大概就没有问题了,
[00:44:58] 当老师的这个这个网络实在措辞也是很严谨,
[00:45:01] 嗯,
[00:45:02] 学术观点不同吧,
[00:45:03] 不管他呢,
[00:45:04] 所以这样啊,
[00:45:05] 你通过这样一个漫画学习和积累,
[00:45:07] 听废话,
[00:45:08] 读书,
[00:45:09] 在听课做题,
[00:45:10] 就发现实际上一级中枢,
[00:45:12] 管一级运动和姿势,
[00:45:14] 脊髓管的最原始,
[00:45:16] 就管一个曲级反射,
[00:45:17] 对策升级反射,
[00:45:18] 最最复杂的就是扫把反射,
[00:45:20] 手拥抱反射,
[00:45:21] 这个节节活动,
[00:45:22] 哎,
[00:45:23] 到了这个加上脑干之后,
[00:45:24] 哎,
[00:45:25] 比如说这个视野动物就会搅红反张,
[00:45:27] 你姿势改变了,
[00:45:28] 你再往上走,
[00:45:29] 所以这个里边能看到,
[00:45:31] 这个视野图应该说是一个视野图,
[00:45:34] 这个小小视野图就非常好的形象的反应了,
[00:45:39] 临床上发生脾层下病变,
[00:45:42] 你注意啊,
[00:45:43] 这是在脾层,
[00:45:44] 这个地方脾层下失去联系,
[00:45:46] 它就要比中脑上下丘之间失去联系位置再高一点,
[00:45:49] 缺道的僵直是在中脑这发生病变发生的,
[00:45:52] 上下丘之间,
[00:45:53] 去脾层下,
[00:45:54] 那是脾层和脾层相同,
[00:45:55] 所以这里边有隔离,
[00:45:56] 脾层下和中脑之间还多了一块,
[00:45:58] 这个毁损部位越接近脾层,
[00:46:01] 越接近新脾层,
[00:46:02] 那么患者临床残留下来的姿势就越复杂,
[00:46:07] 一匹一颗劲儿,
[00:46:08] 就是支配脊椎角,
[00:46:10] RF和Gamma是有的中枢越多,
[00:46:12] 婆婆妈妈领导干部是把工作岗位越多,
[00:46:15] 它的反射活动起来就更复杂,
[00:46:18] 反射弧内部就更丰富,
[00:46:20] 更丰富,
[00:46:21] 你看非常形象,
[00:46:22] ABCD四个小视野图,
[00:46:24] 第一图,
[00:46:25] 是去大脑僵直,
[00:46:27] 括弧特别标注,
[00:46:28] 上下肢均生殖,
[00:46:30] 收尾昂起,
[00:46:31] 脚弓反张,
[00:46:32] ABC三个图,
[00:46:33] 是所谓临床上的去脾层,
[00:46:35] 像发生黄绿腺脑膜炎,
[00:46:37] 病脑,
[00:46:38] 病毒性脑膜炎,
[00:46:39] 什么瘤脑,
[00:46:40] 这些东西,
[00:46:41] 在脾层下肢并别的时候,
[00:46:44] 它就表现一个去脾层僵直,
[00:46:46] 这个患者在平卧仰卧位的时候,
[00:46:49] 上肢是板曲,
[00:46:51] 下肢生殖,
[00:46:52] 在这个情况下,
[00:46:54] 你把病人脖子摆住掰一下,
[00:46:55] 你发现了没有,
[00:46:56] 这地方好多血,
[00:46:57] 大耳血管,
[00:46:58] 这很记住,
[00:46:59] 下颌,
[00:47:00] 下巴颌指向的一侧,
[00:47:01] 上肢生殖,
[00:47:03] 对侧更曲曲,
[00:47:04] 你掰了头来回头,
[00:47:05] 他一掰,
[00:47:06] 他会像咱们走路一样,
[00:47:07] 起步走,
[00:47:08] 一二一,
[00:47:09] 上下,
[00:47:10] 上肢会摆动,
[00:47:11] 下肢一直是直的,
[00:47:12] 所以你发现了没有,
[00:47:13] 去脾层的时候,
[00:47:15] 就有一个姿势改变的,
[00:47:16] 这么一个,
[00:47:17] 伴随着头部和躯干的位置变化,
[00:47:19] 刚才还在讲,
[00:47:20] 迷路紧张,
[00:47:21] 紧紧张,
[00:47:22] 就往反正反正这些活动,
[00:47:24] 这个地方它有调控,
[00:47:25] 它有一个姿势变化,
[00:47:27] 但是缺道的降值的时候,
[00:47:28] 就是硬邦邦的,
[00:47:29] 像一个东坡桥一样,
[00:47:31] 拱起来,
[00:47:32] 不会动,
[00:47:34] 所以拿这个视力图想说什么,
[00:47:35] 想说一下,
[00:47:36] 这个毁损部位,
[00:47:37] 损伤部位,
[00:47:38] 距离大脑皮层,
[00:47:39] 距离心皮层越近,
[00:47:41] 留在脊椎角,
[00:47:42] 阿尔法和伽马神经元,
[00:47:43] 这个调控的中枢,
[00:47:44] 结构就越丰富,
[00:47:46] 那么反射,
[00:47:47] 表现出来的反射活动,
[00:47:48] 就越丰富,
[00:47:49] 是这么个样子,
[00:47:51] 再往下走一下,
[00:47:53] 咱们刚才讲一样,
[00:47:54] 说慢慢通过切断脊椎后角,
[00:47:57] 切断切断反射的反射弧之后,
[00:48:00] 那么视野动物这个角弓反张,
[00:48:02] 缺道降值就消失了,
[00:48:04] 可见,
[00:48:05] 缺道的降值是毁损了视野动物的,
[00:48:07] 中脑上下胸之间,
[00:48:09] 从这把它离断以后,
[00:48:10] 造成伽马神经元异常放电,
[00:48:13] 而引发的一个,
[00:48:14] 降值的表现,
[00:48:16] 因此叫做伽马降值,
[00:48:18] 叫伽马,
[00:48:19] 这个降值怎么实现呢,
[00:48:20] 刚才看到了,
[00:48:21] 通过中脑脑干领和网状下行的机动系统,
[00:48:23] 网络线的抑制系统,
[00:48:24] 抑化抑制系统,
[00:48:25] 是通过网状脊髓术来实现的,
[00:48:28] 在生理学实验中,
[00:48:30] 进一步往下做视野发现挺有意思,
[00:48:32] 现在视野动物引脚弧反张了,
[00:48:34] 第一步,
[00:48:35] 拿一个动物过来,
[00:48:36] 中脑这儿拿了一段,
[00:48:37] 力大锤,
[00:48:38] 缺道脑降值,
[00:48:39] 第一步,
[00:48:40] 缺道脑降值,
[00:48:41] 第二步,
[00:48:42] 缺道脑降值发生以后,
[00:48:43] 再把相应脊髓后脚啪啪啪切断,
[00:48:45] 把切断反射反射弧的传入部分卡切断了,
[00:48:48] 没有反射弧了,
[00:48:49] 切断反射不能进行,
[00:48:51] 切断反射是基本的,
[00:48:52] 是标配,
[00:48:53] 那么这切断反射弧的完整基础之上,
[00:48:56] 刺激伽马是越渐渐刺激激缩,
[00:48:58] 造成一个延长的并且增强的切断反射,
[00:49:02] 表现缺道脑降值,
[00:49:03] 设想一下,
[00:49:04] 离开切断反射弧,
[00:49:06] 一切都是白扯了,
[00:49:08] 所以切到脊髓后脚以后,
[00:49:10] 反射弧给切断了,
[00:49:12] 脚弓反射就消失了,
[00:49:13] 这是第二步,
[00:49:14] 一,出现脚弓反胀,
[00:49:16] 二,消除脚弓反胀,
[00:49:20] 二,第三步,
[00:49:22] 已经没有切断反射存在了,
[00:49:24] 第三步,
[00:49:25] 我在毁损视野动物的小脑切叶的引部,
[00:49:29] 它重新有脚弓反胀了,
[00:49:31] 第二次,
[00:49:33] 降值,
[00:49:34] 是毁损小脑切叶的引部,
[00:49:38] 清理的引,
[00:49:39] 来实现的,
[00:49:40] 三步了,
[00:49:41] 第四步,
[00:49:42] 再切断第八朵卢生经,
[00:49:44] 降值重新消失,
[00:49:47] 四步,
[00:49:48] 第一步,
[00:49:49] 切断上下丘,
[00:49:50] 出现降值,
[00:49:51] 第二步,
[00:49:52] 切断后脚,
[00:49:53] 消除降值,
[00:49:54] 第三步,
[00:49:55] 毁损小脑切叶引部,
[00:49:56] 再出现降值,
[00:49:57] 第四步,
[00:49:58] 切断第八朵卢生经,
[00:49:59] 降值,
[00:50:00] 再重新消失,
[00:50:01] 四步,
[00:50:02] 听见一定把他打了弹幕上,
[00:50:04] 因为好的同学,
[00:50:05] 哎呀,
[00:50:06] 我说65%的同学没有耐心去听课,
[00:50:08] 你还别问,
[00:50:09] 就一听这个东西,
[00:50:10] 啥嘛呀,
[00:50:11] 就快进了,
[00:50:12] 我不再重复了,
[00:50:13] 刚才重复两遍,
[00:50:14] 没有听明白,
[00:50:15] 反过去就进行一二三四,
[00:50:16] 出现降值,
[00:50:17] 消除降值,
[00:50:18] 再出现降值,
[00:50:19] 再消除降值,
[00:50:20] 设想一下,
[00:50:21] 第四次降值怎么消失的,
[00:50:23] 切断第八朵卢生经,
[00:50:24] 第八朵,
[00:50:25] 未听神经,
[00:50:26] 依绣二十三洞眼,
[00:50:27] 四滑五察六外战,
[00:50:29] 七面八未听九十眼,
[00:50:30] 民俗佛神经十二海泉,
[00:50:31] 十二段,
[00:50:32] 切断第八朵,
[00:50:33] 未听神经以后,
[00:50:34] 降值第二次消失的,
[00:50:36] 因为这个事儿,
[00:50:37] 所以我创造了一句话出来,
[00:50:42] 但我们知道,
[00:50:43] 情终于此时,
[00:50:45] 第二次降值怎么实现的,
[00:50:47] 切断,
[00:50:50] 是毁损相当前人影步,
[00:50:51] 怎么消失的,
[00:50:52] 切断第八朵,
[00:50:53] 可见第二次降值,
[00:50:55] 与未听神经是有关系,
[00:50:57] 未听神经管谁的,
[00:50:58] 管潜听未知觉的,
[00:51:00] 所以慢慢通过科学实验发现,
[00:51:03] 实际上除了经过经典的,
[00:51:06] 注意啊,
[00:51:07] 经典的Classic,
[00:51:09] 网络几岁数,
[00:51:10] 引发降值以外,
[00:51:12] 在网络几岁数之外,
[00:51:13] 高位中枢也可以知的,
[00:51:15] 直接或通过几岁级中间神经元,
[00:51:17] 再有发,
[00:51:18] 降值出来,
[00:51:19] 这个情况,
[00:51:20] 咱们称之为,
[00:51:21] 前庭,
[00:51:22] 潜听几岁数,
[00:51:24] 你怎么知道前庭几岁数,
[00:51:27] 因为我切断第八朵额额神经,
[00:51:28] 未听神经以后就消失了,
[00:51:29] 可见,
[00:51:30] 前庭,
[00:51:31] 残,
[00:51:33] 因此这样体会一下,
[00:51:34] 总结,
[00:51:35] 伽玛降值,
[00:51:36] 是网状几岁数实现的,
[00:51:38] 阿尔法降值,
[00:51:39] 是前庭几岁数,
[00:51:41] 我并不知道源起于何处,
[00:51:43] 但我知道切断第八朵额额神经,
[00:51:45] 设想一下,
[00:51:47] 我在毁损小脑前院引部,
[00:51:49] 引发第二次降值的时候,
[00:51:51] 那么毁损小脑前院引部的时候,
[00:51:53] 还有没有可能,
[00:51:54] 通过伽玛神经元放电产生降值,
[00:51:57] 不可能,
[00:51:58] 为什么,
[00:51:59] 因为我把脊椎后脚给它切断了,
[00:52:01] 脊椎后脚是前站反射的散射弧,
[00:52:03] 传入的结构,
[00:52:05] 前站反射的反射弧都断了,
[00:52:07] 伽玛神经元引发降值可以,
[00:52:10] 前提是什么,
[00:52:11] 伽玛必须借前站反射的条路,
[00:52:14] 去引发降值,
[00:52:15] 我把路给你断了,
[00:52:17] 伽玛降值就不可能存在了,
[00:52:19] 在不能出现伽玛降值的时候,
[00:52:21] 我毁损小脑前院引部,
[00:52:23] 你还能出现降值,
[00:52:24] 它什么降值都可以,
[00:52:25] 偏偏不能是伽玛降值,
[00:52:28] 有没有,
[00:52:30] 毁损小脑前院引部这个手术,
[00:52:32] 是在毁损脊椎后脚之后开始来做的,
[00:52:37] 后脚就把前站反射的路给它打断了,
[00:52:39] 所以在这个情况之下,
[00:52:41] 我再造成视野动物降值,
[00:52:43] 什么降值都有可能,
[00:52:44] 唯独不可能是伽玛降值,
[00:52:46] 你把这句话听一下,
[00:52:47] 不行写出来,
[00:52:48] 那么最后这个降值,
[00:52:50] 设想一下,
[00:52:51] 跳到大陆铜锣马,
[00:52:52] 阿尔法及其穿着铜锣,
[00:52:53] 是运动穿着的最后公路,
[00:52:55] 设想一下,
[00:52:56] 伽玛升级越兴奋,
[00:52:58] 想引发肌肉降值,
[00:52:59] 阿尔法残余步,
[00:53:00] 必须得毕业,
[00:53:01] 阿尔法不降值,
[00:53:02] 索白基怎么收缩,
[00:53:03] 在这个意义上就能往下拼了,
[00:53:09] 临床发生脊髓损伤的时候,
[00:53:11] 咱们在上上节课讲过,
[00:53:13] 人在临床后表现为痙攣痰,
[00:53:16] 即硬痰,
[00:53:17] 传统名词叫硬痰,
[00:53:19] 现在我们专业数据叫静暖痰,
[00:53:21] 那也可以发生软痰,
[00:53:23] 吃缓痰,
[00:53:24] 为什么有患者吃缓痰,
[00:53:25] 又要静暖痰,
[00:53:26] 上脊髓损伤,
[00:53:27] 死脂硬,
[00:53:28] 下脊髓损伤,
[00:53:29] 上脂软下费,
[00:53:30] 为什么这样,
[00:53:31] 所以传统的时候叫上下运动生育液痰,
[00:53:33] 体会一下,
[00:53:34] 到这咱们终于能用了,
[00:53:35] 说到用时发恒时,
[00:53:37] 一个人为什么吃缓痰呢,
[00:53:39] 一旦损伤了阿尔法生育液以后,
[00:53:41] 一切肌肉输出的形式都不能出现,
[00:53:44] 就是软痰,
[00:53:45] 一旦一个患者,
[00:53:47] 一个视野动损害的是,
[00:53:49] 网络脊髓处前提脊髓处,
[00:53:51] 损害的是伽马生育液的基础紧张,
[00:53:53] 造成伽马生育液异常放电,
[00:53:55] 设想一下,
[00:53:56] 脊髓本身,
[00:53:57] 脑干和脊髓对于伽马生育液是异化为主的,
[00:54:00] 一旦脊髓和高脊中处离断了,
[00:54:03] 比如结痰,
[00:54:04] 我们前面专门把八年三百万和九百万人的截图给你搁那,
[00:54:08] 你还记不记得,
[00:54:09] 脊髓损伤,
[00:54:10] 脊胸壳恢复以后,
[00:54:12] 患者的双下肢,
[00:54:13] 腱反射抗击,
[00:54:14] 膝正软,
[00:54:16] 它那叫冰正软,
[00:54:17] 就是膝盖,
[00:54:18] 膝正软,
[00:54:19] 阳性,
[00:54:20] 你还记得吧,
[00:54:21] 你不信把壳脚我给你反复给你看一下,
[00:54:23] 就这个,
[00:54:28] 在这儿放着,
[00:54:30] 嗯,
[00:54:31] 在患者损伤以后呀,
[00:54:33] 损伤部位,
[00:54:34] 一下这是在损伤的时候,
[00:54:37] 这个前反射不能引出,
[00:54:38] 包括伏壁提高反射,
[00:54:40] 而膝间反射,
[00:54:41] 就是膝反射,
[00:54:43] 也就是咱们说,
[00:54:44] 肝间反射了,
[00:54:45] 更间反射,
[00:54:46] 活跃后抗击,
[00:54:47] 下肢脊张里敏血增高,
[00:54:49] 出现冰正软,
[00:54:50] 高倍,
[00:54:51] 神经损伤,
[00:54:53] 那么导致脊髓下的伽马神经元,
[00:54:55] 该接受的抑制,
[00:54:57] 信号传不下来,
[00:54:59] 残留在脊髓上来的,
[00:55:01] 支配伽马的信号,
[00:55:02] 就是抑化信号,
[00:55:03] 设想一下,
[00:55:04] 在脊髓损伤以后,
[00:55:06] 出现的下肢的脊张里抗击,
[00:55:08] 就是最典型的一个去大脑僵持,
[00:55:11] 所以这节课讲到的目的在哪里,
[00:55:13] 我们就要体会一下,
[00:55:14] 临床的硬瘫,
[00:55:16] 在外科学上叫硬瘫,
[00:55:18] 在生理学上叫去大脑僵持,
[00:55:24] 伽马僵持,
[00:55:26] 要不是在临床工作中这么重要,
[00:55:28] 我们也不会拿这么大篇幅,
[00:55:30] 去讲神经生理学,
[00:55:32] 到这为之脑干的脊张里调节,
[00:55:34] 我应该去,
[00:55:35] 可以告一段落,
[00:55:36] 再往下做点批评,
[00:55:37] 讲心理生理学和小脑的,
[00:55:39] 那么在这段内容结束之前,
[00:55:41] 我们总结了一下,
[00:55:43] 临床外科学看的的硬瘫,
[00:55:45] 就是,
[00:55:46] 生理学上所谓的伽马僵持,
[00:55:48] 伽马环路,
[00:55:49] 去大脑僵持,
[00:55:50] 损害阿尔法生经元之外的其他任何部位,
[00:55:55] 临床都会出现硬瘫,
[00:55:57] 而一旦损伤部位是在阿尔法生经元本身,
[00:56:00] 体会一下,
[00:56:01] 第一位颈髓损伤的时候,
[00:56:03] 损伤的是C5678,
[00:56:05] 就把支配胳膊的,
[00:56:06] C5678体移闭冲的,
[00:56:08] 这个中处生经元给它损伤掉了,
[00:56:10] 阿尔法生经元也损伤了,
[00:56:11] 所以患者出现的是软瘫,
[00:56:13] 是软瘫,
[00:56:16] 如果损伤的是C234,
[00:56:19] 支配胳膊是5678,
[00:56:20] 你损伤到颈部的C234了,
[00:56:22] 那么对5678来说是高位损伤,
[00:56:24] 留在5678上面的,
[00:56:26] 伽马是越下越放电,
[00:56:28] 这个时候上肢也是硬的,
[00:56:30] 颈髓损伤高位低位,
[00:56:36] 高位上肢硬,
[00:56:37] 低位上肢软,
[00:56:39] 颈髓损伤对腿来说,
[00:56:41] 腿是腰髓支配的,
[00:56:44] 那么颈部损伤永远是高位的,
[00:56:46] 所以颈髓损伤不管高位低位,
[00:56:48] 下肢硬,
[00:56:49] 还是永远是硬的,
[00:56:50] 下肢,
[00:56:51] 但是上肢一会儿,
[00:56:52] 一会儿硬,
[00:56:53] 就是咱们传统医学上一直在讲的,
[00:56:55] 上向运动生机元碳,
[00:56:58] 这个教材我们往这儿解,
[00:57:00] 这是八年三百教材的解图,
[00:57:02] 实际上你要找一本电子版,
[00:57:04] 八年三百的外科学你读一下,
[00:57:06] 就在脊椎损伤这儿,
[00:57:07] 我们在外科教材上,
[00:57:08] 依然保留着上向运动生机元碳的概念,
[00:57:12] 它有一个大的表格给你练出来,
[00:57:14] 回头不信我看看,
[00:57:15] 在暑期,
[00:57:16] 我要是讲个考研强化课的时候,
[00:57:18] 往外科学的课就尽可能往这儿解一下,
[00:57:20] 有同学反而说,
[00:57:21] 你讲生理学,
[00:57:22] 你老跟人讲外科老师,
[00:57:23] 作为老师,
[00:57:24] 你只讲一句话说,
[00:57:25] 他山之石坑公寓,
[00:57:27] 我们在学到硬磐软磐,
[00:57:29] 学到缺氮脑僵脂,
[00:57:30] 伽马僵脂,
[00:57:31] 延长并且增加前沙反射,
[00:57:33] 无不依微燃,
[00:57:34] 无一度度到外科学的脊椎损伤,
[00:57:36] 脊椎损伤的时候,
[00:57:37] 该怎么处理,
[00:57:38] 该怎么表现,
[00:57:39] 不懂了才发现,
[00:57:40] 不是外科学没学会,
[00:57:42] 是生理学没学会,
[00:57:43] 我不知道各位亲们,
[00:57:44] 你感觉到这个点没有,
[00:57:46] 这就叫他山之石坑公寓,
[00:57:49] 在伽马僵脂的通路被我手术打断,
[00:57:54] 切断脊椎后脚之后,
[00:57:56] 我重新毁损视野动物小脑切的引部,
[00:57:59] 它还能出现僵脂,
[00:58:01] 网络脊椎术已经把路切断了,
[00:58:03] 怎么出现的,
[00:58:04] 我就做实验观察,
[00:58:05] 我发现我这要切断第八条颅神经,
[00:58:07] 没听神经之后,
[00:58:08] 僵脂重新消失了,
[00:58:09] 可见第二次僵脂是未听神经引发的,
[00:58:13] 因为我切断了,
[00:58:14] 没有了,
[00:58:15] 那些人哪来的,
[00:58:16] 前庭位置就奇怪,
[00:58:17] 所以咱们认为,
[00:58:18] 阿尔法僵脂是前庭脊髓术有法的,
[00:58:23] 在这咱们用到了,
[00:58:24] 说这僵脂是阿尔法放电,
[00:58:26] 设想一下,
[00:58:27] 伽马圣经月放电,
[00:58:29] 缩内肌收缩,
[00:58:30] 肌缩兴奋,
[00:58:31] 感觉传入耶利和阿里切威,
[00:58:33] 脊髓后脚前脚阿尔法圣经月,
[00:58:35] 阿尔法圣经月通过神经肌肉节的喉,
[00:58:37] 让所谓肌收缩,
[00:58:38] 你发现了吗,
[00:58:39] 阿尔法圣经月就长在前站反射反射弧,
[00:58:42] 阿尔法圣经月就是前站反射的,
[00:58:44] 反射弧的传出部分,
[00:58:46] 不管是正常肌肉收缩,
[00:58:48] 通过大脑皮层指标皮层脊髓术,
[00:58:50] 还是伽马圣经月兴奋引发一个伽马僵脂,
[00:58:53] 也得借助于前站反射弧,
[00:58:57] 而阿尔法圣经月和它的传出节位,
[00:59:00] 就是前站反射反射弧的传出部分,
[00:59:03] 不管正常肌肉收缩产生动作,
[00:59:06] 还是伽马圣经月兴奋产生姿势,
[00:59:09] 都逃不开阿尔法有没有,
[00:59:12] 就连一个病态的硬瘫都得有阿尔法参与,
[00:59:18] 所以我们在这一节非常谨慎的把阿尔法及它的传出节位,
[00:59:23] 叫做运动传出的最后公路,
[00:59:27] 就只能开一,
[00:59:30] 所以学到这里,
[00:59:31] 这一节第四节有关脊髓和脑干对运动姿势调控,
[00:59:36] 就基本搞一段落了,
[00:59:37] 按照教材顺序一般情况下,
[00:59:39] 咱们讲完这个节目,
[00:59:40] 我们就来看看,
[00:59:41] 脑干以后,
[00:59:43] 在曲皮层讲这一而一,
[00:59:45] 起步走,
[00:59:46] 这个基础智商,
[00:59:47] 再往下走,
[00:59:49] 应该就是要学更高水平,
[00:59:51] 还有三个东西,
[00:59:53] 记得是音节,
[00:59:54] 小脑和大脑皮层,
[00:59:56] 然后咱们接着往下看。
