# 源音频：P22-生理学本科教学及考研基础课 p22 血管生理2.m4a
# 时长：3142s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好,同学们,承诺给大家很详细的讲一下本课的生理学教学的这么一个内容吧。
[00:44:50] 我的学生们都知道我讲这
[00:44:52] 一句话
[00:44:53] 所以这个地方是不是很谨慎改一下
[00:44:55] 重力
[00:44:56] 对静脉
[00:44:57] 血容量
[00:44:58] 血管容量的
[00:45:00] 影响
[00:45:01] 可能会准确一点
[00:45:03] 当然也会对回心血量影响
[00:45:05] 回心血量也会影响
[00:45:10] 那么接着往下听
[00:45:11] 哪些因素会影响静脉回心血量
[00:45:16] 就像刚才咱们说
[00:45:18] 哪些因素会影响动脉血压
[00:45:19] 实际上有很多因素
[00:45:20] 影响动脉血压很多因素也会影响静脉血压和血流
[00:45:24] 第一个是静脉血流的阻力
[00:45:26] 它这个中心静脉已经很低了
[00:45:29] 但即使这样的话血液往回流
[00:45:30] 它阻力是存在的
[00:45:31] 你比如说
[00:45:32] 你下着血液如果回流
[00:45:33] 你得克服海拔
[00:45:35] 海拔重力
[00:45:37] 第二个是
[00:45:38] 这个具体影响
[00:45:39] 你看第一条
[00:45:40] 体循环重力压
[00:45:42] 动脉血管内部的血液经过微循环
[00:45:45] 与后通路交换之后形成组织液
[00:45:47] 然后到静脉血管去了
[00:45:48] 不用问
[00:45:49] 如果动脉血管内部压力高一点
[00:45:51] 那么经过微循环消耗以后到静脉血管
[00:45:54] 流下液高一点
[00:45:55] 体会一下
[00:45:56] 静脉血液流动的直接动力
[00:45:58] 是右心房压力和周围静脉的差距
[00:46:02] 右心房压力越低
[00:46:03] 周围静脉消耗压力越高
[00:46:05] 回血量就越多
[00:46:07] 所以说如果体循环压力高一点
[00:46:09] 那么周围静脉血压
[00:46:11] 相对高一点
[00:46:12] 就容易回流
[00:46:14] 第二个
[00:46:16] 第一条听过就好
[00:46:17] 第二条叫
[00:46:18] 心脏收缩力
[00:46:19] 这个咱们说谁何时应该价格
[00:46:22] 扩乎右心室
[00:46:24] 所以这样一个最典型案例
[00:46:26] 就是呼吸内科有关
[00:46:28] 病叫肺型病
[00:46:29] 大概好同学到大二也听过这个名字
[00:46:31] 老年人老爷爷老奶奶
[00:46:33] 慢性肺炎心脏病
[00:46:34] COPD慢速肺
[00:46:36] 肺肌肿
[00:46:37] 肺型病
[00:46:38] 肺型病病
[00:46:39] 心脏出血问题了
[00:46:40] 右心室收缩能力不够
[00:46:42] 右心室如果收缩能力不够的话
[00:46:44] 那么右心室的血就没有泵走就留在室内
[00:46:47] 留在心室内部
[00:46:48] 右心房和右心室之间没有压力差距
[00:46:51] 右心房血液就不能回流
[00:46:53] 刚才专门背了什么东西地脉压呀
[00:46:55] 右心房活位于胸腔内
[00:46:58] 大脊脉压力
[00:46:59] 4到12个厘米水中
[00:47:00] 如果这个血就在这没有回流
[00:47:02] 女性房里边都慢了
[00:47:04] 血就回不去
[00:47:05] 下着血回不来下着就中了
[00:47:08] 如果是头面部血也回不来
[00:47:09] 血憋在脖子上
[00:47:11] 有个专业书
[00:47:12] 颈颈脉
[00:47:13] 怒张
[00:47:15] 出名
[00:47:16] 说明血憋着
[00:47:18] 即使有重力作用
[00:47:19] 他也回不去
[00:47:20] 右心室收缩不够
[00:47:23] 收缩不够
[00:47:24] 不能导致中心脊脉压下降
[00:47:26] 就没法产生够位
[00:47:27] 和中心
[00:47:28] 静脉压的差值
[00:47:30] 血流不动
[00:47:30] 所以
[00:47:31] 体育上出名一样
[00:47:32] 心脏收缩能力
[00:47:34] 这个意思
[00:47:34] 心脏收缩能力就不容易听懂了
[00:47:37] 变成幼时收缩能力
[00:47:38] 就容易听懂
[00:47:40] 所以我们要学分很清楚
[00:47:42] 第三条体位
[00:47:44] 支力的时候下肢血管挫败血流在
[00:47:46] 下肢就不回来
[00:47:47] 听我为的时候就回来了
[00:47:49] 这个比较好理解
[00:47:50] 第四条骨骼肌脊压也好理解
[00:47:53] 可以加速静脉回流
[00:47:54] 所以像这儿画了个很好的示意图
[00:47:56] 你走路的时候跑步的时候肌肉一收缩一起压
[00:47:59] 你看
[00:48:00] 他把血管压扁了压扁之后
[00:48:02] 加上下下静脉
[00:48:03] 他是长着静脉包的
[00:48:05] 解剖血血污
[00:48:06] 这一挤压血往两头跑
[00:48:07] 能反不反不了下面静脉包挡着回不去
[00:48:11] 那么只能挤压着血液单向
[00:48:14] 往回流
[00:48:14] 就像在主动脉回弹的时候
[00:48:17] 血液是往两头挤
[00:48:19] 但主动脉膜完整的时候血挡了回不到形式
[00:48:21] 只能挤着血液往外流走
[00:48:23] 所以体会一下
[00:48:24] 收缩期的时候
[00:48:25] 是心室推着血液走
[00:48:27] 舒张期的时候
[00:48:29] 是主动脉
[00:48:29] 推着血液走
[00:48:30] 就是这个概念
[00:48:32] 所以一旦自然坐到时间长了腿有点胀有点酸胀困
[00:48:36] 堵死得太累了
[00:48:37] 你可以站起来在教室门口打个水呀
[00:48:40] 在操场上散个步呀进入一个活动
[00:48:42] 促进血液汇率
[00:48:43] 下肢就不胀了
[00:48:45] 就这个原理
[00:48:46] 听过继续完了
[00:48:49] 还第五条呼吸运动
[00:48:51] 在大二的时候咱们就不认为呼吸运动有问题
[00:48:54] 一道大四大四发泄这一句话
[00:48:56] 贯穿着整个医学
[00:48:58] 生息期的时候咱们下一张血液
[00:49:01] 呼吸同学们现在听课
[00:49:02] 我录的比较晚呼吸早就学消化都学完了
[00:49:05] 吸气的这个动作
[00:49:07] 隔一下移内接外接收缩胸火容积增大
[00:49:10] 胸脉腔腹压增加
[00:49:12] 这样的话就导致
[00:49:13] 胸腔内部大经脉呀
[00:49:15] 心脏呀
[00:49:16] 就被周围组织肺脏呀中格外向牵引
[00:49:19] 血管拉粗了
[00:49:21] 注意地脉下降
[00:49:22] 呼吸血道增加
[00:49:23] 第九版生理学教材
[00:49:25] 是在123页
[00:49:27] 你反还是读一下教材说
[00:49:29] 吸气时
[00:49:30] 呼吸血道增加
[00:49:31] 但注意
[00:49:32] 在这个时候一定
[00:49:34] 你反还教材143页
[00:49:36] 我再说一遍啊
[00:49:37] 不教材怎么读
[00:49:39] 123
[00:49:40] 和143两页数同时读
[00:49:43] 你就发现了
[00:49:44] 吸气
[00:49:45] 对于左心
[00:49:46] 和右心的呼吸血道影响
[00:49:48] 刚好是相反的
[00:49:50] 吸气时候
[00:49:51] 123页数右心呼吸增加
[00:49:53] 143页数吸气时候
[00:49:54] 左心
[00:49:55] 呼吸減少
[00:49:56] 被咱们前面学过的
[00:49:58] 呼吸血道增加前腹和大
[00:50:00] 右心呼吸增加
[00:50:01] 多了右心是前腹和大
[00:50:03] 右是拨出量就多
[00:50:04] 血啪吸气时候
[00:50:05] 蹦到肺里边去了
[00:50:06] 但同时左心呼流又少
[00:50:09] 血道了肺后就没有走
[00:50:11] 在肺内了
[00:50:12] 到这终于改听一句话了
[00:50:14] 通过学习生理学第九版123页143页
[00:50:17] 学完之后发现
[00:50:18] 吸气时候
[00:50:20] 不但吸气
[00:50:22] 而且吸入血
[00:50:24] 肺脏内部气和血
[00:50:25] 是同时增加的
[00:50:27] 好处在哪里
[00:50:29] 就是呼吸里边那个
[00:50:30] 著名的
[00:50:31] VAQ比值
[00:50:32] 0.84
[00:50:35] 气血要交换
[00:50:37] 生理学教材上强调
[00:50:38] VAQ比值过大
[00:50:39] 或过小
[00:50:40] 都会影响
[00:50:41] 换气效率
[00:50:42] 到病生和内科学就要学
[00:50:44] 换气障碍的
[00:50:46] 在临床医学上
[00:50:47] 叫做一型呼吮
[00:50:49] 只有闭氧
[00:50:50] 而没有二氧化碳处理
[00:50:51] 为什么
[00:50:52] 因为呼吸人也讲了
[00:50:54] 二氧化碳的扩散系数
[00:50:56] 是氧气的
[00:50:57] 20倍
[00:50:59] 所以换气障碍时候
[00:51:00] 能障碍氧气
[00:51:01] 二氧化碳的交换
[00:51:02] 不能障碍
[00:51:03] 二氧化碳的交换
[00:51:04] 一个患者
[00:51:06] 一个病人体内
[00:51:07] 如果二氧化碳都发生变化
[00:51:09] 不用问
[00:51:10] 麻烦
[00:51:10] 一定不是换气障碍
[00:51:12] 而是通气障碍
[00:51:14] 比如说哮喘呀
[00:51:16] 肺吸肿呀
[00:51:18] 肺心病呀
[00:51:19] 这些病
[00:51:20] 对了
[00:51:20] 鞋盒子不要攻它了
[00:51:22] 嗯
[00:51:22] 这是呼吸运动
[00:51:23] 所以这样一听也很有意思你发现
[00:51:25] 动脉血压调节是五条因素
[00:51:27] 静脉血压调节也是五条因素
[00:51:29] 体气化重盈压
[00:51:31] 幼时的
[00:51:32] 收缩能力
[00:51:33] 肌肉活动
[00:51:34] 重力作用
[00:51:35] 和呼吸运动
[00:51:37] 也是五条
[00:51:38] 这里边咱们未来用的最多的
[00:51:40] 最容易用到的
[00:51:41] 就是呼吸运动
[00:51:42] 而且通过刚才讲的话你也发现
[00:51:45] 吸气这个动作
[00:51:46] 对两侧的心室
[00:51:47] 回流
[00:51:48] 影响是相反的
[00:51:49] 右室回流多
[00:51:50] 而左室
[00:51:51] 回流少
[00:51:53] 不一样
[00:51:56] 刚才就是有关静脉血管和静脉血流的一些话题
[00:51:59] 现在在血管生理学还有一块小问题
[00:52:01] 微循环
[00:52:02] 所以微循环稍稍一读书你发现
[00:52:04] 这里边有个核心词
[00:52:06] 哪个核心词
[00:52:07] 组织也生成的
[00:52:09] 你学着我呀
[00:52:10] 所以咱们接着往下读
