# 源音频：P55-生理学本科教学及考研基础课 p55 神经系统6-感觉传入.m4a
# 时长：2857s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好同学们,刚才咱们学了一下中数据的突出后意志,包括传入测试意志和回反式意志。
[00:46:48] 一些话题
[00:46:49] 但不管怎么样
[00:46:49] 这节可先讲到这儿
[00:46:51] 回头我再往下讲
[00:46:52] 这节可在这地方讲
[00:46:54] 在第三节
[00:46:55] 感觉传入这儿
[00:46:56] 至少学两个
[00:46:57] 一个是解剖学上的
[00:46:58] 感觉传入三级生育
[00:47:00] 你得让到第二级
[00:47:01] 生育
[00:47:01] 约在哪里
[00:47:01] 学会一个词
[00:47:02] 脊髓板切的情况下
[00:47:05] 那个临床线下角
[00:47:06] 感觉分离
[00:47:07] 第二个就生理学本身来说
[00:47:09] 一定在这儿学会两个东西
[00:47:11] 特异和非特异
[00:47:14] 投射系统
[00:47:15] 各自的结构
[00:47:17] 点和点对称
[00:47:19] 离散投射
[00:47:20] 产生特定感觉
[00:47:21] 比激发冲动
[00:47:22] 还是改变或维持皮森性
[00:47:23] 这个内容是咱们作为生理学
[00:47:26] 作为生理学
[00:47:27] 必须掌握的基本知识点
[00:47:30] 没有理由可言
[00:47:31] 好
[00:47:33] 这节课就先讲到这儿
