# 源音频：P15-生理学本科教学及考研基础课 p15 血液生理终章-血液凝固和血型.m4a
# 时长：4774s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课实际上咱们是谈了两个小话题,血小板的生理和生理性止血。
[00:45:38] 在吃上华发力之后
[00:45:40] 机体发生抗凝作用之前
[00:45:43] 打甘肃
[00:45:45] 甘肃在这我敢不敢说一下
[00:45:47] 在抗凝血酶的地方甘肃是戒戒作用,抗凝血直接作用
[00:45:51] 而到了机体里边
[00:45:52] 在病人急症抗凝,比如说
[00:45:54] 心肌梗塞
[00:45:55] 肺穿塞,这些要命的疾病的情况下
[00:45:57] 那么甘肃是直接产生抗凝效果的
[00:46:00] 华发力是戒凝的
[00:46:02] 华发力
[00:46:03] 以减少凝血因子的合成
[00:46:05] 而产生抗凝效果
[00:46:07] 威拉帕米同学小说比较快,这是他写出来的
[00:46:10] 甘肃
[00:46:11] 在抗凝血酶的
[00:46:12] 戒戒作用
[00:46:13] 在蛋白C者
[00:46:14] 变成什么了
[00:46:15] 直接作用
[00:46:17] 甘肃可以直接抗
[00:46:18] 而华发力
[00:46:19] 只能
[00:46:20] 戒戒抗凝
[00:46:21] 减少凝血因子的数量
[00:46:22] 一定记着打开900内克血因
[00:46:24] 应该是108也翻一下
[00:46:27] 一个肺穿塞病人我们要抗凝,抗凝的时候
[00:46:29] 华发力就很好
[00:46:30] 给他多少
[00:46:31] 华发力吃完之后测的PT
[00:46:33] 达到正常水平时间的2-3倍,我们叫INR
[00:46:38] 国际的
[00:46:40] International
[00:46:41] 国际Normal
[00:46:42] 标准化的一个比率
[00:46:43] 一个时间
[00:46:44] INR
[00:46:46] 2.0,3.0,什么意思呀
[00:46:47] 正常人测PT的话大概是12-14秒的样子
[00:46:51] 吃完华发力以后把
[00:46:53] 凝血的这个
[00:46:53] 凝血美元时间
[00:46:55] 控制在25-30
[00:46:57] 12-14
[00:46:58] 25的话大两倍
[00:46:59] 所以2-3倍
[00:47:01] INR2.0-3.0
[00:47:02] 这个意思
[00:47:03] 那么肺穿塞病人
[00:47:05] 在内克血肺穿塞治疗中写着
[00:47:07] 吃上华发力之后呀
[00:47:09] 同时还得打上甘素
[00:47:11] 那么甘素什么时候停药
[00:47:13] 吃完之后给他测INR
[00:47:15] INR达到2.0-3.0的时候说明体内的凝血因子
[00:47:18] 已经少到我能接受要求的地步了
[00:47:21] 那就把甘素撤掉
[00:47:22] 华发力只能减少
[00:47:25] 少了你当然就差了
[00:47:27] 可是一开始你多多怎么样甘素你歇压
[00:47:30] 在这个地方你发现
[00:47:31] 在急诊的时候
[00:47:32] 既要打
[00:47:34] 华发力
[00:47:35] 要吃华发力
[00:47:36] 还要打甘素
[00:47:37] 华发力
[00:47:38] 发挥作用之前
[00:47:39] 先靠甘素来维持
[00:47:41] 就像接力剤
[00:47:43] 得到华发力起效了
[00:47:44] 甘素撤掉
[00:47:45] 你打开内克血度
[00:47:46] 所以为什么刚才感慨说没有读过内克血的医学人士谈不完整
[00:47:50] 老师我要跟你吵架你别跟我吵架多得太少
[00:47:53] 一直说句话说我们总是
[00:47:54] 读的太少
[00:47:56] 想的妈的太多就这意思
[00:47:57] 读的多了
[00:47:58] 脑子里边就敞亮了
[00:48:00] 对了在我学会之前先往前走
[00:48:02] 所以这一篇我不讲也罢但你记住
[00:48:04] 维生素K在蛋白C这太重要了
[00:48:07] 接着往下读读就好了
[00:48:09] 蛋白C是一酶原型是存在于血浆中的
[00:48:11] 凝血酶是其天然的激活剂
[00:48:14] 所以这个蛋白C被谁激活的
[00:48:16] 为凝血酶二因子
[00:48:17] 二因子不但要启动
[00:48:19] 凝血系统
[00:48:20] 二因子还要启动
[00:48:22] 抗凝系统
[00:48:23] 凝血酶调节蛋白是凝血酶启动
[00:48:27] 或者激活蛋白C的副因子
[00:48:29] 在蛋白C这一系列里边
[00:48:31] 有一个叫
[00:48:32] 凝血酶特约蛋白
[00:48:34] 第三个
[00:48:35] 凝血酶离开血管受损的部位
[00:48:37] 与正常血管离开的凝血酶特约蛋白结合的时候
[00:48:40] 可以激活蛋白C
[00:48:41] 后者一灭活
[00:48:43] 这是
[00:48:44] 黄化的八因子和五因子
[00:48:46] 就把两个副因子给灭活了
[00:48:47] 而抑制
[00:48:48] 十因子及凝血酶的激活
[00:48:50] 这个作用是非常强大的一个20万倍
[00:48:53] 一个1万倍
[00:48:53] 把他灭活了
[00:48:54] 灭活之后也没法进行了
[00:48:55] 所以实际上你读到
[00:48:57] 第三条这句话你体会
[00:48:58] 为什么凝血既快速正反馈
[00:49:01] 又只发生在血管破损的局部
[00:49:03] 因为一旦离开血管破损部位的时候
[00:49:06] 凝血酶就不再叫凝血酶了
[00:49:08] 它本来被激活之后变成什么
[00:49:10] 抗凝酶了
[00:49:12] 所以在出血的地方
[00:49:13] 它叫凝血酶
[00:49:14] 离开出血的地方摇声一变
[00:49:16] 变脸了
[00:49:17] 变脸
[00:49:18] 脸儿的名字
[00:49:19] 变成抗凝血的作用了
[00:49:20] 对了
[00:49:21] 所以这样的话保证
[00:49:23] 凝血这个过程
[00:49:24] 快速
[00:49:25] 而有精准
[00:49:26] 锚定在
[00:49:26] 局部发挥作用
[00:49:29] 第四条
[00:49:29] 凝血酶铁蛋白
[00:49:31] 还可以引入凝血酶的促进作用
[00:49:32] 因此凝血酶铁蛋白
[00:49:34] 是将凝血酶
[00:49:35] 这个促进作用转变为抗凝作用的一个转换分子
[00:49:39] switch的开关
[00:49:40] 第五条
[00:49:41] 活化代白C还有促进纤维代白溶解的作用
[00:49:45] 直接促进溶解
[00:49:46] 所以不但有抗凝还有纤维溶解
[00:49:48] 这样的话
[00:49:49] 防止血凝块掉到血管里边
[00:49:50] 别人给你摔了或者堵了
[00:49:52] 所以血凝块在出血的时候
[00:49:54] 这个地方你就看了
[00:49:55] 离开之后就像清理肉借住垃圾一样
[00:49:57] 就放碎了拿走了
[00:49:58] 第六条
[00:49:59] 蛋白C如果出了问题
[00:50:01] 容易发生血栓
[00:50:02] 他就还得你说
[00:50:03] 前面说是凝血酶系统出了问题
[00:50:05] 血栓
[00:50:06] 蛋白C系统可能栓子到处飞吧
[00:50:08] 满天飞就栓子了
[00:50:09] 这个样子
[00:50:11] 第一个抗凝
[00:50:12] 同我思安酸这个蛋白没发挥作用
[00:50:15] 抗
[00:50:16] 维生素K不含7
[00:50:18] 第二个还是维生素K
[00:50:20] 所以扯了半天到处维生素K
[00:50:22] 为什么这一章咱们突然开始讲说
[00:50:23] 慢性胰泻炎脂肪泻
[00:50:26] 维生素K可以纠正到出血情向
[00:50:28] 和肝硬化
[00:50:29] 维生素K不能纠正出血情向
[00:50:31] 这些内容在学生理学的时候都应该有所认识
[00:50:34] 如果打3以后同学
[00:50:36] 要掌握而不是认识
[00:50:38] 就得打2
[00:50:40] 第三框
[00:50:41] TFPI
[00:50:42] 这是用糖蛋白
[00:50:43] 主要有血管内皮细胞产生
[00:50:45] 所以你看到处离不开内皮
[00:50:48] 酒瓣书在这一定要读读书
[00:50:49] 你们除了凝血抗凝泻溶以后呀
[00:50:52] 脚踩大屁股在弹
[00:50:54] 凝血肝
[00:50:54] 抗凝血液的
[00:50:55] 促进和移植作用
[00:50:57] 比如说钙离子
[00:50:58] 能促进凝血实现
[00:51:00] 离开钙什么都白折
[00:51:02] 此外这讲一句话TFPI
[00:51:04] 专门针对外围性途径
[00:51:07] 而发挥抗凝作用
[00:51:09] 你看上面这个蛋白C
[00:51:10] 它抑制的是8英子和
[00:51:13] 5英子
[00:51:14] 在内围性途径上
[00:51:15] 你还记不记得aptx8x内围性
[00:51:17] 对了
[00:51:18] 内围性
[00:51:19] 所以如果说是
[00:51:20] 第一个抗凝血酶系统
[00:51:22] 是从凝血酶这入手
[00:51:25] 全部运作
[00:51:26] 解剖掉不分内外通杀
[00:51:28] 那么蛋白C
[00:51:29] 杀的是
[00:51:30] 内围性
[00:51:31] TFPI
[00:51:32] 杀的是外围性
[00:51:33] 但是要强调
[00:51:34] 目前认为
[00:51:35] TFPI是体内主要的生理性抗凝物质
[00:51:38] 生理性化线
[00:51:40] 第二条是TFPI
[00:51:41] 虽然能够和10英子以及7和3英子复合物
[00:51:45] 结合抑制活性
[00:51:45] 但它只有在
[00:51:46] 结合活化的10英子以后
[00:51:49] 才能结合3和7的复合物
[00:51:51] 所以没有10
[00:51:52] 它就不发挥作用了
[00:51:53] 因此TFPI
[00:51:55] 并不阻断
[00:51:57] 外围性通讯的启动
[00:51:58] 就刚才讲的一个词
[00:51:59] 激出紧张性
[00:52:00] 启动可以
[00:52:01] 但是启动起来会在这呆着乖乖呆着你不能出来捣乱捣乱我把你灭了
[00:52:05] 所以TFPI
[00:52:06] 已经形成一定数量的10英子结合以后
[00:52:10] 再进一步
[00:52:11] 与3和7的复合物结合
[00:52:13] 形成一个
[00:52:14] 组织英子
[00:52:15] 7英子
[00:52:16] 这是两个了
[00:52:17] 就外围性的启动物
[00:52:18] TFPI
[00:52:19] 和活化10英子的一个4合体
[00:52:21] 4根连在一起打麻将
[00:52:23] 从而灭活3和7的组织复合物
[00:52:26] 复返馈意识外围性运学途径
[00:52:28] 所以实际上
[00:52:29] 监控的是谁啊
[00:52:30] 监控的不是3和7
[00:52:32] 监控的是10
[00:52:34] 对了
[00:52:35] 根本上讲
[00:52:36] 是TFPI与10英子之间
[00:52:39] 产生复返馈
[00:52:40] 而不是与3和7的复合物
[00:52:42] 咱们一直在不同的
[00:52:43] 场合讲这句话
[00:52:45] 就是它
[00:52:46] 第4个TFPI可以学过与内皮的
[00:52:49] 表面硫酸乙鲜甘素结合
[00:52:52] 引起结合于内皮细胞的TFPI的
[00:52:55] 释放
[00:52:56] 嗯
[00:52:57] 所以甘素就在这发挥作用
[00:52:59] 但是TFPI
[00:53:00] 还有这么一个
[00:53:01] 启动甘素发挥中的途径
[00:53:03] 二者这没有完
[00:53:05] 打开手读一下
[00:53:06] 甘素一会儿讲到
[00:53:07] 甘素一个是间接的通过抗击穴酶发挥抗击中
[00:53:10] 第二个
[00:53:11] 甘素在生理情况下
[00:53:13] 能够促进
[00:53:14] TFPI的
[00:53:16] 释放
[00:53:18] 所以这样你发现第1个环节抗击穴酶
[00:53:21] 第3个环节TFPI
[00:53:23] 甘素都有残余
[00:53:26] 这样的话甘素在生理情况下
[00:53:28] 能激活TFPI释放
[00:53:30] 体内
[00:53:32] 室内发挥作用的
[00:53:33] 在体外它又可以直接和银泵直接合
[00:53:36] 所以在体外
[00:53:37] 也能发挥作用
[00:53:39] 这就是咱们想强调说
[00:53:40] 花发铃只能在体内发挥作用
[00:53:43] 而甘素
[00:53:44] 体内体外
[00:53:45] 都可以
[00:53:46] 要不有时候想一想说如果你不抱着一点学习药理学和内科学的态度
[00:53:51] 而只是背生理学的一篇的话
[00:53:53] 那么你可以哭了
[00:53:55] 这一篇太难了
[00:53:58] 昨天晚上没事干
[00:53:59] 我打开脚下多多
[00:54:00] 罗子强先生写的这个学业生理学的一篇
[00:54:02] 我觉得那天讲话罗先生一直说
[00:54:05] 我们学习生理学呀
[00:54:06] 一切为了灵状
[00:54:08] 在他写的教材里你能读到
[00:54:10] 他的目的全是从这出发
[00:54:12] 什么叫apt
[00:54:13] 什么叫pt什么叫fdps什么叫dlgt
[00:54:16] 他全是为了这个环节出发的
[00:54:19] 所以八年三版
[00:54:20] 九版书也很好九版书在生理学
[00:54:22] 学业这一章
[00:54:23] 写的在这一块
[00:54:24] 非常到位
[00:54:25] 多读几本你读三段别抓不住你读十遍以上你能抓住一点
[00:54:29] 还能就着
[00:54:30] 老话书都千遍
[00:54:32] 其
[00:54:33] 子线
[00:54:34] tfci
[00:54:38] 然后就还有甘肃甘肃咱们打开读一下
[00:54:40] 上面的大白色鞋搁着不管他的甘肃
[00:54:43] 甘肃与一些体液抗凝物质结合以后增强抗凝血泌作用
[00:54:47] 这些些抗凝的
[00:54:48] 可以刺激血管内皮释放大量的tfci
[00:54:51] 和其他抗凝物质来抑制
[00:54:53] 凝血过程所以在天天是能挽回作用的
[00:54:56] 能增强代白质的火性和刺激血管内皮释放鲜肉酶热气火物
[00:55:01] 抑制
[00:55:01] 而增强线位代白溶解
[00:55:03] 抑制血管内皮的聚集
[00:55:05] 和释放
[00:55:07] 所以甘肃
[00:55:08] 世界上天天天外
[00:55:09] 都可以发挥作用
[00:55:10] 这样的
[00:55:13] 在下来世界上教材有时候会
[00:55:16] 讲得更细致一点
[00:55:17] 另外还有这是刚才谈的血液内部的体液内部的一些抗凝物质
[00:55:21] 此外还有细胞抗凝网上那批细胞就是个单核聚质细胞对于凝血因子组织因子是吧
[00:55:27] 包括凝血酶复合物等的就是吞噬作用
[00:55:30] 这样的话你要是采用一个墨水的方式
[00:55:32] 把单核聚质组织的细胞
[00:55:33] 封闭掉
[00:55:34] 它的
[00:55:36] 抗凝系统里的一些解割了
[00:55:37] 另外还有正常的血管内皮就不用说了抗凝
[00:55:40] 另外血液不断流动流动的话你知道它周流会残留的
[00:55:44] 这样的话能保证
[00:55:46] 血液里激活的凝血物质
[00:55:48] 轻易不和血管内皮接触
[00:55:50] 此外就是血液中存在的一定的
[00:55:52] 血液中系统的激活
[00:55:54] 有一点小的线位代白也会降级掉
[00:55:56] 嗯
[00:55:57] 就是说它的基础紧张
[00:55:59] 听过就好了
[00:56:00] 翻过去
[00:56:03] 所以慢慢慢慢咱们教程还会
[00:56:05] 简单谈
[00:56:05] 看一下影响血液凝固的因素包括血液凝素比如说
[00:56:09] 加速血凝的
[00:56:10] 该是不用蒙了
[00:56:11] 此外让血液切除一些粗糙的一些表面比如说手术工
[00:56:15] 给他用块大纱布
[00:56:17] 给他粘一粘
[00:56:18] 床面他就止血了
[00:56:20] 提供一个附点
[00:56:21] 瓶面
[00:56:22] 另外使用这个醋凝剂维生素K啊治血方酸啊
[00:56:25] 维生素K能促进肝脏合成泥菌在二七九时
[00:56:28] 加速凝血
[00:56:29] 还有局部失忆的加温
[00:56:32] 你要延缓凝血或者是抗凝的话
[00:56:34] 给它除钙剂
[00:56:35] 就是绝酸钠
[00:56:36] 刚才专门谈过
[00:56:37] 绝酸钠
[00:56:38] 另外降低血液温度
[00:56:40] 所以说想一想到外科学发现很麻烦
[00:56:43] 有些重症外科病人
[00:56:44] 需要急性大量输出成就的库存血
[00:56:47] 血液制品本身低温
[00:56:50] 不光是
[00:56:51] 凝血功能减退而且啊
[00:56:54] 低温以后养的血线还左移
[00:56:56] 加上又有减重度
[00:56:58] 所以说
[00:56:58] 将来在外科总论里面你只是读一下
[00:57:01] 输血这个词
[00:57:03] 就需要读很大篇幅
[00:57:05] 他这个总论
[00:57:06] 刚才东野在后台问这个事
[00:57:08] 其实一道血液制品质在另外一句
[00:57:10] 他是个综合体的文本身
[00:57:13] 咱们学过呼吸声力学
[00:57:14] 就会让血液作异
[00:57:16] 让组织
[00:57:17] 让血液释放一样的能力减退
[00:57:21] 下来你不是使用
[00:57:22] 抗凝剂甘素
[00:57:23] 包括抗凝血酶等等
[00:57:25] 这样来延缓
[00:57:26] 凝血
[00:57:28] 另外要保证血液接触面要光滑不光滑的话局部
[00:57:31] 冒血管
[00:57:33] 这个破损以后
[00:57:35] 导致血管把拒绝
[00:57:36] 导致凝血你自己火这样
[00:57:38] 这听过就好了
[00:57:39] 给你往大海读一读
[00:57:40] 有这个东西你背你死活背背不下来
[00:57:42] 你知道
[00:57:43] 有钙
[00:57:44] 有维生素K
[00:57:45] 关键词
[00:57:47] 切入以后再说
[00:57:49] 切入点
[00:57:50] 节点
[00:57:51] 凝血抗凝血液都不懂怎么办
[00:57:53] 你去读读化法里有维生素K相关的
[00:57:55] 好像你就有点线索
[00:57:58] 再听两个词
[00:57:59] 直接
[00:58:00] 和间接
[00:58:01] 对了
[00:58:02] 血液中还有第三个问题就是
[00:58:04] 纤绒和抗泄入
[00:58:06] 纤维蛋白在世界美的作用下溶解的过程叫纤绒
[00:58:10] 这样意识的
[00:58:12] 形成血液块以后的血管呀
[00:58:14] 重新再通
[00:58:15] 保持血液进行这个
[00:58:17] 流动
[00:58:18] 放置血液上形成
[00:58:19] 这里边存在几个东西一个就是激活物
[00:58:22] 包括纤绒媒液激活物
[00:58:24] 你知道还有这个体内主要的是
[00:58:26] TPA和UPA
[00:58:28] 组织通讯来源的抗这个纤绒媒液激活物是吧
[00:58:31] 还有这个
[00:58:32] 尿基酶
[00:58:33] TPA和
[00:58:35] UPA
[00:58:36] 这样一个话题
[00:58:38] 然后它就激活血绒媒液变成血绒媒
[00:58:41] 然后把纤维蛋白降解
[00:58:43] 下来
[00:58:43] 这是纤维蛋白的一些
[00:58:45] 碎片
[00:58:45] 这个碎片这个过程很简单咱们读读就好
[00:58:48] 在前面一直反复强调
[00:58:50] 除了TPA和UPA以外
[00:58:51] 实际上激活的12英子内液通进
[00:58:54] 也具有激活血绒媒液的
[00:58:56] 这么一个作用
[00:58:58] 身体情况下作用比较弱
[00:59:00] 但是一旦在体外循环这样一些接触义务的
[00:59:04] 附带表面的时候
[00:59:05] 12英子激活的突起线
[00:59:06] 就非常重要
[00:59:07] 这个样子
[00:59:08] 此外咱们这一回学到的地方的时候多点目的
[00:59:11] 多点什么目的呀
[00:59:12] 你会发现
[00:59:13] 纤维蛋白降解产物本身
[00:59:15] 是具有抗凝作用的
[00:59:17] 抗凝
[00:59:18] 那么这些物种我们统称为FDPS
[00:59:23] 在这个基础之上
[00:59:24] 这儿多了一个东西
[00:59:25] 在这一组目中有一个比较明显的叫
[00:59:27] DRGT
[00:59:29] 所以咱们在单纯学生命学没有强调
[00:59:31] 一旦学到诊断学以后就发现
[00:59:33] FDPS的检测水平高低反应和原发性的
[00:59:36] 凝血
[00:59:37] 和泄入系统的火性
[00:59:39] 但DRGT是特异性的
[00:59:41] 是激发性的
[00:59:43] 激发性
[00:59:44] 这样来反过来一个人如果得过心梗啊脑梗一些
[00:59:47] 血液高凝的情况下
[00:59:48] 那么抽血化验
[00:59:50] DRGT含量会增高
[00:59:52] 这四五年好了
[00:59:54] 我讲考验可有20年
[00:59:55] 20年
[00:59:56] 你发现在七八年前
[00:59:57] 这七八年突然没有了
[00:59:59] 七八年前那会儿临床的标准不统一
[01:00:01] 说老师你跟人讲这个肺穿塞那么要命的病
[01:00:03] 你讲说确诊是CTPA
[01:00:05] 你书上跟你写的我们老师讲DRGT
[01:00:06] 这就是说呀
[01:00:09] 这两天为啥不吵架了这是普及了
[01:00:12] DRGT
[01:00:14] 是泄溶之后的一个血凝块的产物
[01:00:19] 如果一个患者表现
[01:00:21] 高度疑似
[01:00:22] 是脑梗呀
[01:00:23] 肺穿塞呀心梗等等
[01:00:25] 我们查查DRGT看一看
[01:00:27] 如果DRGT增高的话
[01:00:29] 能提示我们
[01:00:30] 这可能是个高凝状态
[01:00:32] 泄溶了
[01:00:33] 如果不增高我连想也不想
[01:00:36] 所以设想一下
[01:00:37] DRGT不增高的话
[01:00:38] 一定不是肺穿塞
[01:00:40] 但DRGT增高的人也未必就是肺穿塞
[01:00:44] 可能是脑栓塞
[01:00:45] 可能是心梗等等
[01:00:46] 所以DRGT
[01:00:47] 只能排除
[01:00:49] 而不能确诊
[01:00:50] 所以我这多讲一点啊再看肺穿塞不也被他带沟里去
[01:00:53] 那么病人是不是肺穿塞
[01:00:55] 直接做CTPA
[01:00:57] 用CT的手段
[01:00:58] 做肺动脉噪音
[01:00:59] 肺血管这边有栓子的
[01:01:01] 肺穿塞没有没有就不是
[01:01:02] 没有DRGT怎么那么高老师
[01:01:05] 插脑CT
[01:01:07] 哎
[01:01:09] DRGT
[01:01:10] 能排除
[01:01:11] 而不能确诊
[01:01:13] 肺穿塞
[01:01:15] 你不能因为你学的知识的狭隘和局限性
[01:01:18] 来影响医学理论的推广
[01:01:20] 对了
[01:01:22] 确诊肺穿塞的是CTPA
[01:01:24] DRGT可以辅助
[01:01:26] 能排除是不是
[01:01:28] 不能定是不是
[01:01:29] 对了就这个意思
[01:01:31] 所以泄入系统这个我就不特别啰嗦了现在比较简单
[01:01:35] 现在实际上除了泄入之外还有
[01:01:37] PIR
[01:01:38] 就是泄入内液激活的抑制剂
[01:01:41] 有
[01:01:41] 有促进的
[01:01:42] 就有抑制的
[01:01:43] 这个大概读一下书我就不特别啰嗦了
[01:01:47] 这样的话咱们把血液系统这一章的第3节
[01:01:51] 生理性知识和血液凝固
[01:01:52] 这段血液凝固你发现是三个系统
[01:01:54] 你血抗凝合泄入
[01:01:55] 全不谈完了
[01:01:57] 剩下咱们还有一小块就这一章的最后一节
[01:01:59] 有关血型
[01:02:01] 和数学原则内容比较少了
[01:02:03] 咱们大家往下看一下
[01:02:07] 好同学们这样咱们就还剩下一点东西啊
[01:02:10] 来看看血液这章最后一个小的话题
[01:02:12] 有关血型和数学原则
[01:02:14] 这块实际上你要是读的话篇幅挺大
[01:02:17] 你要总结起来其实不复杂
[01:02:19] 咱们知道除了咱们已经熟知的ABU血型系统之外
[01:02:23] 实际上
[01:02:24] 人类在这里已经发现的还有RHR
[01:02:27] KLR包括
[01:02:29] 这个MNSS包括P等多个
[01:02:32] 血型系统
[01:02:33] 这些系统实际上与人体的或者是与临床医学
[01:02:37] 与医学系统关联度更大的
[01:02:40] 临床医
[01:02:41] 更大的
[01:02:42] 咱们从
[01:02:42] 除了ABU血型系统之外
[01:02:43] 也就是RHRH
[01:02:45] RHRH这一块
[01:02:47] 讲的有时候比较简单
[01:02:48] 咱们先读一下一会再说啊
[01:02:50] 那么在这些系统之外除了红细胞之外咱们发现人类白细胞是有抗原系统的
[01:02:55] HLA
[01:02:56] 人类白细胞抗原
[01:02:58] 这个主要是在和
[01:02:59] 器官移植的时候免于排反有关系
[01:03:02] 下面另外还有
[01:03:04] 人体自己的白细胞和血小板一些抗原
[01:03:07] 这样的话在
[01:03:08] 异形血输出的时候不叫异形血就这个
[01:03:10] 同种
[01:03:11] 一体血输出的
[01:03:12] 会发生一些所谓的
[01:03:14] 发热反应
[01:03:15] 这个内容
[01:03:16] 在生理学没有特别强调
[01:03:17] 到外科学上你读书学反应
[01:03:20] 有发热
[01:03:21] 有过敏
[01:03:23] 有抗速反应
[01:03:24] 这些话题
[01:03:25] 到那个系统咱们将来再说
[01:03:28] 外科总统里边
[01:03:29] 应该回头我也会干嘛讲到
[01:03:30] 那么总结一下你要多吻字太麻烦
[01:03:33] 你还不如静下来听一下得了
[01:03:35] 今天在这个里边咱们关心的血型系统是
[01:03:38] 除了ABU以后
[01:03:39] RH
[01:03:40] 这两个血型系统关心什么
[01:03:42] 大部分的血型系统是什么
[01:03:42] 打开书读一下
[01:03:43] 你读完这一篇以后发现ABU血型系统
[01:03:46] 它的抗体
[01:03:47] 成分是RGM
[01:03:49] 我们叫做天然抗体
[01:03:51] 那么RH血型系统你发现它的抗体成分
[01:03:53] 是RGG
[01:03:55] RG的要害在哪里
[01:03:57] 免疫球蛋白免疫抗体这个词还不要紧
[01:04:00] 关键在于RGG
[01:04:01] 我们把它专门叫做
[01:04:03] 胎盘球蛋白
[01:04:04] 母婴之间是可以交流
[01:04:07] 交通的要害在这
[01:04:08] RGM
[01:04:09] 没法通过胎盘
[01:04:12] 胎盘屏障
[01:04:12] 这样的话如果妈妈是A型血
[01:04:14] 孩子是B型血
[01:04:15] 它没任何问题
[01:04:17] 但是RH血型知道它的抗体是RGG
[01:04:20] 胎盘球蛋白
[01:04:21] 一旦妈妈是H
[01:04:22] 阴性
[01:04:23] 孩子是R是阳性
[01:04:25] 就会出来很多麻烦
[01:04:26] 所以这十多年了讲课一直说句话
[01:04:29] 说这一节学完之后你得
[01:04:30] 学会一个东西
[01:04:31] 叫做妈妈生孩子的小故事
[01:04:34] 当然还有其他一些细节
[01:04:36] 再往下读一下啊
[01:04:38] 内容就很简单
[01:04:40] 血型如何划分的
[01:04:42] 划分血型是按照
[01:04:43] 红细胞膜上的
[01:04:44] 凝聚元就是抗原的成分
[01:04:46] 来划分的
[01:04:47] 那么抗原成分
[01:04:48] 这按照成分划分的话ABO
[01:04:50] 是吧AB
[01:04:51] 看看红细胞膜本身有没有抗原
[01:04:54] A型抗原就是A型
[01:04:55] 但是A型你往下读一下有亚型
[01:04:57] 除了A1还有A2
[01:04:59] 那么A1的话它的红细胞上的凝聚元是A和A1
[01:05:02] A2型的就是A了
[01:05:04] 要这样的话你注意A型血里边呀
[01:05:06] 血型其实有两种
[01:05:08] 如果是A加A1的话血型能抗B
[01:05:10] 如果是A2型的话
[01:05:12] 因为只有A凝聚元
[01:05:13] 所以不但抗B
[01:05:15] 还抗A1
[01:05:17] 亚型
[01:05:18] 就是这样一个东西决定
[01:05:20] 数学怎么说呀
[01:05:21] 叫同型相疏
[01:05:23] 交叉配血
[01:05:24] 要没有A1这个小故事的话
[01:05:27] 那么同型相疏就完全没有问题了
[01:05:29] 同型都是A型为什么要交叉配一下血
[01:05:32] 交叉配一下原因是
[01:05:33] A分为A1和A2
[01:05:35] 你要设想一下
[01:05:37] 你这个A1和A2直接如果互相输血的话是有问题的
[01:05:41] 是有问题的
[01:05:41] 你比如说
[01:05:42] 这个
[01:05:44] A2型的
[01:05:45] 它不但
[01:05:46] 抗B
[01:05:47] 而且抗A1
[01:05:49] 你A1型输A2就不行
[01:05:51] A2输A1的话它们挺大
[01:05:54] 但是你如果是A1输A2
[01:05:56] 它就不行了
[01:05:57] 所以叫同型相疏
[01:05:59] 交叉配血
[01:06:00] 修到这儿的数难度不大
[01:06:02] 可是我把语速变慢你听一下
[01:06:04] 那么什么叫交叉配血
[01:06:06] 我们称之为
[01:06:07] 主侧和次侧
[01:06:08] 两个方向
[01:06:10] 共学着红细胞
[01:06:12] 和受血
[01:06:13] 和受血者血清
[01:06:14] 去配血
[01:06:15] 叫主侧
[01:06:16] 比如说
[01:06:17] 我想把O型血输给一个A型血的患者
[01:06:20] O型血
[01:06:20] 这叫共学者
[01:06:22] A型血的叫受血者
[01:06:24] 所以我拿共学这个O型血的红细胞和受血者A型血的血清
[01:06:30] 去配一下
[01:06:32] 因为O型血红细胞膜上它没有抗血
[01:06:34] 所以抗血它也无所谓
[01:06:36] 体会一下
[01:06:37] 把O型的红细胞输给谁都没有毛病
[01:06:41] 都没问题
[01:06:42] 但是如果是次次的话
[01:06:44] 我就拿
[01:06:45] A型的红细胞
[01:06:47] 细胞膜上有A抗原
[01:06:48] 和O型的血清
[01:06:50] O型血因为它
[01:06:52] 细胞膜上没有抗原
[01:06:53] 它的血清既抗A也抗B
[01:06:55] 所以你发现了
[01:06:56] 你要什么O型血输给A的时候呀
[01:06:59] 主侧是肯定不反应的
[01:07:01] 次侧是肯定反应
[01:07:03] 这边出了一个百年的悖论
[01:07:05] 哪个百年悖论呀
[01:07:07] 我们知道在专业领域内部或者是在业余生活中
[01:07:10] 我们喜欢把O型血叫做万能共学者
[01:07:13] 那么O型血
[01:07:14] 到底算不算万能共学者
[01:07:16] 你要从最苛刻的
[01:07:17] 理论意义上
[01:07:18] 它不能算
[01:07:19] 因为你刚才看到了
[01:07:21] O型不管输给谁
[01:07:22] 次侧都反应
[01:07:23] 但是我们读一下数据发现
[01:07:25] 在临床某些急性情况下
[01:07:28] 最好的配血原则可能是同子
[01:07:30] 这个主侧和次侧都不反应
[01:07:32] 次侧主侧不反应
[01:07:34] 它也不至于要命
[01:07:35] 例如是拿来救命是可以的
[01:07:37] O型输给别人的时候
[01:07:39] 主侧肯定不反应
[01:07:41] 次侧肯定反应
[01:07:42] 那么这样的话我要是给他
[01:07:44] 输一个O型的红细胞
[01:07:46] 洗涤的红细胞
[01:07:48] 那就安全了
[01:07:49] 所以某种意义上讲
[01:07:50] 把O型叫做万能共学者是可以的
[01:07:54] 这要主侧不反应
