# 源音频：P24-生理学本科教学及考研基础课 p24 循环-调节.m4a
# 时长：5777s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这样咱们就接下来安心的读一下心血管活动调节。
[00:45:18] 你走,
[00:45:19] 所以往下堵,
[00:45:19] 咽喉既有心的交感,
[00:45:22] 包括交感咽喉中枢和咽喉头段,
[00:45:25] 这个外侧部这一块,
[00:45:27] 或者说咽喉头段的副外侧部这一块,
[00:45:30] 存在的是心交感和咽喉中枢,
[00:45:33] 那么咽喉神经一合被合也在咽喉,
[00:45:36] 它是咱们所谓的心咽喉中枢,
[00:45:40] 差不太多心血管中枢啊,
[00:45:42] 是两块构成的,
[00:45:43] 一块咽喉区,
[00:45:44] 一块咽喉就是一直区,
[00:45:46] 但是咽喉区吧,
[00:45:48] 也在这存在着,
[00:45:49] 它一直咽喉,
[00:45:49] 所以它这样起一个协调的作用,
[00:45:52] 它主要位于咽喉副外侧的尾部,
[00:45:55] 你想这个,
[00:45:56] 所以我确实在咽喉头段副外侧,
[00:46:00] 你看它是尾端副外侧头段,
[00:46:02] 一个在头一个在尾,
[00:46:03] 它俩不一样,
[00:46:04] 此外属的地方也都存在于到了咽喉并不是最高种树,
[00:46:08] 所以这些活动还会进一步向高位种树传递,
[00:46:11] 这就被一些接替合,
[00:46:13] 主要是孤鼠合,
[00:46:14] 孤鼠合,
[00:46:15] 孤鼠合将来到神经系统这个咱们说到,
[00:46:17] 丘脑,
[00:46:18] 有三类神经合团,
[00:46:20] 还能重新看到孤鼠合,
[00:46:21] 这些不啰嗦,
[00:46:22] 结合着,
[00:46:23] 就是对于咽喉你有一个生命中枢,
[00:46:27] 地位脑干的概念,
[00:46:28] 如果可能的话,
[00:46:30] 我是说可能啊,
[00:46:31] 如果可能的话,
[00:46:32] 在这背回不要忘了,
[00:46:34] 咱们一般谈到弥祖中枢的时候,
[00:46:36] 就是两个合团,
[00:46:37] 咽喉的弥祖是你的一合,
[00:46:39] 和你就是你的背合,
[00:46:41] 一合背合,
[00:46:42] 所以刚才讲开讲的这两个合团了,
[00:46:43] 我还专门提了一嘴,
[00:46:45] 这看到了,
[00:46:46] 这是新生儿中枢,
[00:46:49] 咽喉以上,
[00:46:50] 你比如说孤鼠合,
[00:46:51] 往上冲,
[00:46:51] 所以还可以整合中枢,
[00:46:53] 下丘脑,
[00:46:54] 在十上十八合,
[00:46:55] 包括这些防御的反应区,
[00:46:57] 消耗还有顶合,
[00:46:58] 对了,
[00:46:58] 还有大脑边缘系统,
[00:47:00] 包括心轮,
[00:47:01] 包括这个口袋回,
[00:47:02] 这些地方心轮和口袋回,
[00:47:04] 就到这个基地生命界了,
[00:47:06] 到这一块,
[00:47:07] 它平层下,
[00:47:08] 这个地方咱们还不得能听懂,
[00:47:09] 你不用管它,
[00:47:10] 你就知道,
[00:47:11] 基本的心血管反射,
[00:47:12] 心血管活动是在咽喉实现的,
[00:47:14] 咽喉至少也有整合,
[00:47:16] 听过就完了,
[00:47:16] 不做深究,
[00:47:18] 往过翻,
[00:47:18] 所以整个的盐水心血管怎么样运作的,
[00:47:24] 这写了一个东西,
[00:47:24] 说你比如说,
[00:47:25] 外周神经传入,
[00:47:26] 你看斗宫神经,
[00:47:28] 到传入神经阶梯核,
[00:47:29] 就无负核,
[00:47:29] 然后到密宗神经一核被核,
[00:47:32] 然后密走就发出无冲动,
[00:47:33] 这儿没有写,
[00:47:34] 让心血管活动减弱,
[00:47:36] 或者是直接作用到缩血管区,
[00:47:38] 包括输血管区的抑制作用,
[00:47:41] 感觉传入之后,
[00:47:42] 如果血压太高了,
[00:47:44] 我就通过密宗中枢,
[00:47:45] 把血压降低,
[00:47:46] 如果血压太低了,
[00:47:47] 通过缩血管区,
[00:47:50] 以及心脏交感机结神经元,
[00:47:52] 这些地方,
[00:47:53] 换位之后,
[00:47:54] 变成心交感和交感宿血管结尾,
[00:47:57] 就让血压升高,
[00:47:59] 密走让血压降低,
[00:48:00] 交感让血压升高,
[00:48:02] 这么一个运作的一个路径,
[00:48:05] 结线结尾,
[00:48:06] 结后结尾,
[00:48:07] 盐水心血管中枢,
[00:48:08] 听过就完了,
[00:48:09] 不管它了,
[00:48:10] 所以到这个地方,
[00:48:13] 咱们讲的一个盐水,
[00:48:16] 就是低位脑干这一块,
[00:48:17] 是一个心血管和呼吸活动的基本中枢所在,
[00:48:21] 当然在盐水以上部位,
[00:48:22] 还有更高级的整合作用,
[00:48:24] 比方说,
[00:48:25] 看一个惊悚片,
[00:48:26] 本来身体受到一个精神刺激,
[00:48:29] 吓一跳,
[00:48:29] 血压也会升高,
[00:48:30] 所以人体显然这个心血管活动,
[00:48:32] 包括呼吸活动,
[00:48:33] 一想一会儿和它吵架,
[00:48:35] 我能吵过不,
[00:48:36] 就心慌气的,
[00:48:37] 气就不够用,
[00:48:38] 所以你设想,
[00:48:39] 感觉气不够用,
[00:48:40] 一定是缺氧,
[00:48:41] 那不一定,
[00:48:42] 我要害怕我缺氧的话,
[00:48:44] 我的气也不够用,
[00:48:46] 所以将来学医学久了,
[00:48:47] 才发现心慌气短这个词,
[00:48:49] 这不靠谱,
[00:48:50] 一想一会儿,
[00:48:51] 明天早上考六级,
[00:48:53] 我立即带四级,
[00:48:53] 还没背这个vocabulary,
[00:48:55] 就起个次金,
[00:48:56] 立即考九成,
[00:48:57] 五千八,
[00:48:58] 那么多呀,
[00:48:59] 我这中对了两千一呀,
[00:49:01] 一想气就不够用,
[00:49:03] 所以很多时候,
[00:49:04] 有很多活动是人的心理活动,
[00:49:06] 意识活动造成的,
[00:49:08] 人挺有意思,
[00:49:09] 先晚上走,
[00:49:10] 既然是神经调解,
[00:49:12] 那我肯定最感兴趣的是谁呀,
[00:49:14] 是反射,
[00:49:15] 反射有三个,
[00:49:16] 这个内容咱们听完之后,
[00:49:18] 哪怕,
[00:49:19] 细节不会,
[00:49:20] 起码基本内容你不要再忘了,
[00:49:22] 第一个就是著名的斗功反射,
[00:49:24] 全称叫情动脉动,
[00:49:25] 和主动脉功压力感受反射,
[00:49:27] 又叫解压反射,
[00:49:29] 还叫猛压反射,
[00:49:30] 就同学说,
[00:49:31] 我看见了啊,
[00:49:32] 斗功反射就解压反射,
[00:49:33] 这个血压太高讲一句,
[00:49:35] 你说血压低管用,
[00:49:37] 为什么呀,
[00:49:38] 因为斗功反射在生理学上,
[00:49:40] 是排名第一的负反馈,
[00:49:41] 什么叫负反馈,
[00:49:43] 血压太高是我降一降,
[00:49:45] 血压太低时候,
[00:49:46] 我生理上双向调节感,
[00:49:48] 不敢再搞进啊,
[00:49:50] 第二条叫做,
[00:49:51] 解动脉体和主动脉的化学感受反射,
[00:49:54] 也叫做生压反射,
[00:49:56] 有人还叫做潜水反射,
[00:49:57] 一会我解释,
[00:49:58] 第三条是心肺的容量感受反射,
[00:50:02] 所以心血管反射,
[00:50:03] 这儿讲了三个反射,
[00:50:05] 就像刚才咱们讲的血管支配一样,
[00:50:07] 说句话说,
[00:50:08] 天生我才必使用,
[00:50:09] 千经三经,
[00:50:10] 含附来,
[00:50:12] 每一个反射都有它的意义,
[00:50:14] 我说完一会解释,
[00:50:15] 解压反射,
[00:50:17] 刚才有句话你还记得,
[00:50:18] 咱们这样说的,
[00:50:19] 交感缩血管线位,
[00:50:21] 永远在放电,
[00:50:23] 交感输血管线位,
[00:50:25] 偶尔才放电,
[00:50:26] 其实解压反射和生压反射一样,
[00:50:29] 解压反射永远在起作用,
[00:50:32] 生压反射偶尔才起作用,
[00:50:35] 我要给考研同学讲个更狠的,
[00:50:37] 是这样听一下同学们,
[00:50:39] 一旦人体需要生压反射的时候,
[00:50:42] 人体就再也不需要生压反射了,
[00:50:45] 实际上生压反射,
[00:50:46] 你打开书读一下,
[00:50:47] 什么时候起作用的,
[00:50:48] 在严密的窒息,
[00:50:50] 被人掐入脖子,
[00:50:51] 要掐死了你的温柔,
[00:50:52] 那个时候会生压反射,
[00:50:55] 皮肤,
[00:50:56] 肾脏,
[00:50:56] 内脏,
[00:50:57] 包括骨骼基血管全都收缩,
[00:51:01] 身高百度阻力,
[00:51:03] 让血液只分布在心脏和脑血管,
[00:51:08] 其实就是到最后,
[00:51:10] 救命,
[00:51:10] 拼命的那一下,
[00:51:12] 等我需要生压反射的时候,
[00:51:14] 我再也不需要生压了,
[00:51:17] 灵死了,
[00:51:19] 但是动工反射可不是,
[00:51:21] 平时要考研,
[00:51:21] 你一会咱们要读到,
[00:51:23] 我蹲下站起来,
[00:51:24] 平躺,
[00:51:24] 早上要起床了,
[00:51:26] 体位变化,
[00:51:26] 这样一个血压的波动,
[00:51:29] 就是依靠动工反射,
[00:51:30] 在调整的,
[00:51:31] 起个缓冲作用,
[00:51:32] 所以动工反射在一天里边,
[00:51:34] 在一辈子,
[00:51:34] 一直在发挥作用,
[00:51:36] 生压反射,
[00:51:37] 养兵千日,
[00:51:38] 用兵一时,
[00:51:39] 偶尔起个作用,
[00:51:40] 那么心肺容量感受,
[00:51:42] 感受容量,
[00:51:43] 这个肺里边,
[00:51:43] 心房里边怎么会有血,
[00:51:45] 血还那么多呀,
[00:51:46] 一般是淤血造成的,
[00:51:48] 所以说,
[00:51:48] 你可以简单体会一下,
[00:51:50] 容量感受反射,
[00:51:51] 是属于心衰,
[00:51:53] 属于灵狂,
[00:51:54] 心衰的,
[00:51:55] 生压反射,
[00:51:56] 是属于危急情况的,
[00:51:58] 只有减压反射,
[00:52:00] 动工反射,
[00:52:01] 才属于生理情况,
[00:52:02] 生理情况,
[00:52:04] 极端情况,
[00:52:06] 病理情况,
[00:52:07] 人体这一辈子,
[00:52:09] 不知道什么时候,
[00:52:10] 遭遇额外打击,
[00:52:11] 所以在长的时候,
[00:52:12] 不但长了一个最经典的动工反射,
[00:52:14] 另外还长了一个生压反射,
[00:52:16] 还长了一个容量反射,
[00:52:18] 一倍,
[00:52:18] 不时之需,
[00:52:21] 所以在这个地方学习,
[00:52:22] 咱们主要讲减压反射了,
[00:52:24] 这俩东西你听一下,
[00:52:25] 一会儿自己再读一读,
[00:52:26] 难度不大,
[00:52:27] 心衰容量,
[00:52:29] 因为这样的话,
[00:52:29] 在心血管里边,
[00:52:31] 你比如说动脉血压180,
[00:52:33] 平均动脉压100毫米公左右,
[00:52:35] 所以动脉系统的血压还高一点,
[00:52:37] 要是肺循环的话,
[00:52:38] 只有十来个毫米公,
[00:52:39] 压力很低,
[00:52:40] 所以有人把容量感受反射,
[00:52:43] 第三条,
[00:52:43] 也叫做低压力感受器,
[00:52:46] 那么把减多的主动半功,
[00:52:48] 也叫做,
[00:52:48] 高压力感受器,
[00:52:50] 它是换个说法的,
[00:52:52] 但意思没有啥问题,
[00:52:53] 很简单,
[00:52:54] 往下走,
[00:52:55] 咱们这块血压主要学动功反射,
[00:52:56] 也就是减压反射了,
[00:52:59] 那么动功反射,
[00:53:00] 作为一个最精准的反射,
[00:53:01] 它的反射会什么样子,
[00:53:02] 咱们说,
[00:53:03] 有位于这个颈动脉,
[00:53:06] 分支为颈外和颈内动脉,
[00:53:08] 分支的时候,
[00:53:09] 在这个分叉的,
[00:53:10] 叫血管基,
[00:53:11] 在这找这个所谓的颈动脉豆,
[00:53:13] 颈动脉豆,
[00:53:14] 在这画了,
[00:53:14] 颈动脉豆,
[00:53:15] 旁边还有一个颈动脉体,
[00:53:19] 主动脉上也有这个主动脉功,
[00:53:22] 主动脉体,
[00:53:23] 主动脉体是在血管之外的,
[00:53:25] 不管怎么样吧,
[00:53:26] 这叫动功,
[00:53:27] 那么动功反射,
[00:53:29] 颈动脉豆这个小感受器,
[00:53:31] 传入神经叫动神经,
[00:53:33] 动神经再往上涨,
[00:53:34] 就进入舌液神经了,
[00:53:36] 而主动脉功这个压力感受器,
[00:53:38] 叫主动脉神经这一段,
[00:53:40] 主动神经再往上涨,
[00:53:41] 就叫做离走神经了,
[00:53:43] 所以,
[00:53:44] 这两个地方,
[00:53:45] 颈动脉豆,
[00:53:46] 在这颈动脉豆和主动脉功,
[00:53:49] 这是感受器,
[00:53:51] 舌液神经和密族神经,
[00:53:53] 是传入神经,
[00:53:54] 去哪里了,
[00:53:55] 去延遂心血管中枢,
[00:53:56] 刚才学过,
[00:53:57] 延遂心血管中枢,
[00:53:58] 再通过心交感,
[00:54:00] 心弥走,
[00:54:01] 和交感宿血管纤维,
[00:54:03] 这些纤维再传出,
[00:54:04] 效应器,
[00:54:05] 就是心脏和血管,
[00:54:07] 这是一个完整的反射弧结构,
[00:54:09] 感受器,
[00:54:10] 传入纤维,
[00:54:12] 反射中枢,
[00:54:13] 传出纤维和效应器,
[00:54:14] 其中这个密族神经和舌液神经,
[00:54:16] 也叫做主动脉神经和痘神经,
[00:54:19] 这一块,
[00:54:20] 你知道抖功反射,
[00:54:22] 是在体位变化,
[00:54:23] 血压波动时候,
[00:54:24] 它来恢复的,
[00:54:26] 是来缓冲一下,
[00:54:28] 由于体位改变,
[00:54:29] 呼吸运动,
[00:54:30] 造成血压波动太大,
[00:54:32] 它起一个缓冲作用,
[00:54:34] 所以教材上经常,
[00:54:35] 把抖神经,
[00:54:36] 舌液神经,
[00:54:37] 主动脉神经和密族神经,
[00:54:39] 又称之为缓冲神经,
[00:54:42] 九板数这我没有翻,
[00:54:44] 但是八板数也好,
[00:54:45] 八年三板数也罢,
[00:54:46] 缓冲神经这四个字,
[00:54:48] 九板数应该也存在,
[00:54:49] 叫,
[00:54:49] 八分,
[00:54:50] 缓冲神经,
[00:54:52] 抖功反射目的,
[00:54:53] 不是生压,
[00:54:54] 降压,
[00:54:54] 更大的是,
[00:54:55] 血压,
[00:54:55] 不要发生剧烈波动,
[00:54:58] 更大目的在这儿,
[00:55:00] 一个短暂条件,
[00:55:03] 所以刚才讲过,
[00:55:04] 感受器,
[00:55:04] 那么多主动脉功,
[00:55:06] 那么它具体是一个,
[00:55:07] 血管外膜下游的,
[00:55:08] 一个神经末梢,
[00:55:10] 它本质上属于什么呀,
[00:55:11] 张力感受器,
[00:55:12] 所以说是说,
[00:55:13] 这个,
[00:55:14] 几多个都不能感受,
[00:55:15] 不是血压,
[00:55:16] 生压,
[00:55:16] 降压吗,
[00:55:17] 要注意,
[00:55:19] 这个感受器感受的,
[00:55:20] 不是,
[00:55:20] 是血压本身,
[00:55:23] 它是感受的是,
[00:55:24] 血管壁的机械扩张程度,
[00:55:26] 对波动性的变化,
[00:55:28] 更敏感,
[00:55:28] 因为血压,
[00:55:29] 收缩完,
[00:55:29] 收缩完,
[00:55:29] 收缩完,
[00:55:30] 它就跳了,
[00:55:31] 所以你持续拉住不动,
[00:55:32] 它反应不明显,
[00:55:33] 你抖一抖,
[00:55:34] 它更敏感,
[00:55:35] 它就波动性感应,
[00:55:36] 更敏感,
[00:55:38] 感应的不是血压本身,
[00:55:41] 而是它长在那条血管上,
[00:55:43] 那个血管,
[00:55:44] 管壁的,
[00:55:44] 紧张程度,
[00:55:47] 作为一个负反馈,
[00:55:48] 在虚论里边,
[00:55:49] 应该就血压,
[00:55:50] 负反馈活动,
[00:55:51] 总是有一个调节范围的,
[00:55:54] 另外,
[00:55:54] 负反馈的话,
[00:55:55] 于某一个位置,
[00:55:57] 反应最敏感,
[00:55:58] 我们称之为调定点,
[00:56:01] 这是负反馈的一个共同特征,
[00:56:03] 负反馈具有两大特征,
[00:56:04] 一,
[00:56:05] 最敏感的位置叫调定点,
[00:56:06] 第二个,
[00:56:08] 在一定范围内部才发挥作用,
[00:56:10] 叫调节范围,
[00:56:11] 调节范围,
[00:56:12] 在某些病理情况下,
[00:56:14] 抖音反射,
[00:56:15] 这么一个近代的反射活动,
[00:56:16] 调定点会上移,
[00:56:18] 咱们正常调定点,
[00:56:19] 在100毫米公左右,
[00:56:20] 每个人血压在100左右,
[00:56:22] 就不要紧,
[00:56:23] 超过100了,
[00:56:23] 我降一降,
[00:56:24] 低于100,
[00:56:24] 我升一升,
[00:56:25] 一旦,
[00:56:26] 不管什么原因,
[00:56:27] 我的调定点比如不是100,
[00:56:28] 别成150了,
[00:56:29] 现在血压只有100,
[00:56:30] 我说怎么这么低,
[00:56:31] 我升一升,
[00:56:32] 反而会造成血压升高,
[00:56:34] 所以从最苛刻的意义上讲,
[00:56:36] 每个人都长着抖音反射,
[00:56:39] 为什么临床还有那么多高血压患者,
[00:56:41] 咱们说,
[00:56:42] 往往因为这个病人呀,
[00:56:44] 他的抖音反射调定点,
[00:56:46] 上移了,
[00:56:47] 我要不把血压涨到高一点,
[00:56:49] 我都对不起,
[00:56:50] 我这抖音反射,
[00:56:51] 就这意思,
[00:56:52] 所以你想真正恢复血压,
[00:56:53] 你需要变得不是降压,
[00:56:55] 是把调定点调回来,
[00:56:58] 但这可就太难了,
[00:56:59] 太难了,
[00:57:00] 嗯,
[00:57:00] 先往下翻,
[00:57:02] 所以这张小图片应该是反映一下,
[00:57:05] 抖音反射过程,
[00:57:06] 经过主动脉功压的感受,
[00:57:08] 感受到以后呀,
[00:57:08] 通过抖神经,
[00:57:09] 舌液神经,
[00:57:10] 减压上去,
[00:57:11] 这是这样的抖,
[00:57:12] 主动脉神经,
[00:57:12] 抖密素神经,
[00:57:13] 传到咽衰,
[00:57:14] 呼吸核,
[00:57:16] 解体核而外,
[00:57:17] 呼吸核,
[00:57:18] 第一个传到咽衰的腹外侧,
[00:57:20] 吸血管中,
[00:57:20] 也可以传到,
[00:57:22] 咽衰一核被核,
[00:57:23] 然后通过咽衰,
[00:57:25] 交感,
[00:57:26] 共同来调节心脏活动,
[00:57:28] 再通过交感缩血管纤维呀,
[00:57:30] 调节维度血管活动,
[00:57:32] 这样达到一个血压调节,
[00:57:34] 这个过程堵一下,
[00:57:35] 没人讲究这事,
[00:57:36] 翻过去,
[00:57:37] 调节过程堵堵就完了,
[00:57:38] 嗯,
[00:57:39] 不啰嗦了,
[00:57:40] 那么这个小图很有意思,
[00:57:42] 这个小图是那圈比较规矩,
[00:57:43] 我们名字叫做游厘豆实验,
[00:57:45] 什么意思呀,
[00:57:46] 巴尔扎蒙做学生实验,
[00:57:48] 做加图动脉血压调节,
[00:57:50] 你就发现,
[00:57:51] 在实验中,
[00:57:52] 你不用改变图的动脉血压,
[00:57:54] 你就是拿根棉线,
[00:57:56] 拉住图的这个颈部的精神动脉,
[00:57:58] 你拿手轻轻拉一拉,
[00:57:59] 把血管拉紧,
[00:58:01] 它血压啪啪就降,
[00:58:02] 你拿个小动脉夹子把血压,
[00:58:04] 血管一夹,
[00:58:06] 夹到精神动脉,
[00:58:07] 你知道,
[00:58:08] 颈动脉豆,
[00:58:09] 是长在颈内和颈脉动脉,
[00:58:10] 它峰之这个血管积职,
[00:58:12] 你拿夹子从这一夹,
[00:58:13] 血管里不没有血液了,
[00:58:15] 没有血液,
[00:58:15] 血管就变了呗,
[00:58:17] 那么它这样的精神动脉豆,
[00:58:18] 就没有一个机械前拉机械刺激作用,
[00:58:20] 你一夹住它,
[00:58:22] 它精神动脉豆不信风,
[00:58:24] 它还以为血压低,
[00:58:25] 它就要生牙,
[00:58:26] 你拿小拉子的血管拉一拉,
[00:58:28] 拉紧了,
[00:58:29] 它就以为血压高,
[00:58:30] 它就要降牙,
[00:58:32] 所以你发现,
[00:58:33] 你要启动,
[00:58:34] 启动这个失业动物的动物反射,
[00:58:37] 你并不需要改变血压,
[00:58:39] 你改变一下血管,
[00:58:41] 它就变了,
[00:58:42] 所以咱们拿这个事业来证明啊,
[00:58:44] 来证明一下,
[00:58:45] 解脱脉豆和中毒脉工,
[00:58:47] 感受的并不是血压,
[00:58:49] 而是感受器,
[00:58:50] 这个尤利神经末梢,
[00:58:51] 所在的血管壁,
[00:58:54] 机械紧张,
[00:58:55] 机械扩张程度,
[00:58:57] 感受的不是血压,
[00:58:58] 是血管,
[00:58:59] 对了,
[00:59:00] 这个内容咱们听过就好了,
[00:59:02] 所以就像这张课就要说了,
[00:59:04] 十一次去,
[00:59:05] 到底解脱脉豆感受什么呀,
[00:59:06] 感受管壁的机械前张,
[00:59:09] 而不是血压,
[00:59:09] 血压本身,
[00:59:10] 缓冲范围,
[00:59:12] 在动脉血压100毫米公众上下范围里,
[00:59:14] 最敏感,
[00:59:15] 所以这个100毫米公众,
[00:59:17] 也叫做复返会的调定点,
[00:59:20] 意义在哪里,
[00:59:21] 刚才讲过,
[00:59:22] 就像这个石头花子,
[00:59:23] 躺下站起来,
[00:59:24] 站起来躺下,
[00:59:25] 在体位变化时候,
[00:59:27] 一个短暂的,
[00:59:28] 快速的,
[00:59:29] 波动性调节,
[00:59:31] 让血压不至于变化范围太大,
[00:59:34] 所以永远在方便,
[00:59:35] 你站起来坐下,
[00:59:36] 说话,
[00:59:36] 咳嗽,
[00:59:37] 呼吸运动等等,
[00:59:38] 血压都有点变化,
[00:59:39] 随时调一下,
[00:59:40] 就完事了,
[00:59:41] 动功反射,
[00:59:42] 永远在放电,
[00:59:43] 生涯反射,
[00:59:44] 偶尔才放电,
[00:59:47] 心肺容量感受反射,
[00:59:48] 心衰时候才放电,
[00:59:49] 它不一样,
[00:59:50] 刚才专门讲过了,
[00:59:52] 这个小图看过去,
[00:59:53] 我就翻过去了,
[00:59:55] 所以几多么都好主动卖功,
[00:59:57] 这是一个生理性的一个紧张性调节,
[00:59:59] 紧张性永远在放电,
[01:00:02] 几多么挑主动问题,
[01:00:02] 刚才说了,
[01:00:03] 在极端的窒息,
[01:00:05] 缺氧,
[01:00:05] 要命,
[01:00:06] 还是那句话,
[01:00:07] 等我需要生涯反射的时候,
[01:00:09] 我再也生不了涯了,
[01:00:11] 就完了,
[01:00:12] 容量感受反射也是一样,
[01:00:13] 低压力感受器,
[01:00:15] 在心衰,
[01:00:16] 肺炎中淤血的时候,
[01:00:17] 才发挥作用,
[01:00:19] 所以在心血管反射着,
[01:00:20] 咱们本科阶段,
[01:00:21] 主要学的是谁啊,
[01:00:22] 是减压反射,
[01:00:23] 另外两个读一读,
[01:00:24] 但要注意,
[01:00:25] 另外两个反射活动,
[01:00:27] 在什么,
[01:00:27] 何种情况下发挥作用,
[01:00:30] 得有个大概印象,
[01:00:31] 心中的感受兴奋以后,
[01:00:32] 甚至通过AMC,
[01:00:33] 心脑态啊,
[01:00:34] 一些体验,
[01:00:34] 包括ADH,
[01:00:37] 辆尿量,
[01:00:39] 减轻肺的淤血,
[01:00:41] 减轻肺血管的容量,
[01:00:43] 它有这样一些活动,
[01:00:44] 更多是一个神经体液的反应,
[01:00:47] 听过就完了,
[01:00:48] 嗯,
[01:00:50] 所以这是刚才说的这个化学感受反射,
[01:00:53] 化学感受,
[01:00:54] 咱们就先不啰嗦了,
[01:00:55] 但是这个反射咱们说,
[01:00:57] 就叫生涯反射,
[01:00:58] 还有叫潜水反射,
[01:00:59] 这是什么意思,
[01:01:00] 在续论咱们有时候会讲,
[01:01:02] 你发现一个实验动物,
[01:01:04] 要是呼吸改变之后,
[01:01:07] 它的血液中二氧,
[01:01:08] 它风压一氧,
[01:01:08] 风压变二氧,
[01:01:09] 变化了,
[01:01:09] 那么特别是二氧化它风压,
[01:01:11] 升高之后,
[01:01:12] 呼吸功能有障碍,
[01:01:13] 二氧化它呼不出去,
[01:01:15] 那么血压会升高,
[01:01:16] 我就会思考,
[01:01:18] 二氧化它风压,
[01:01:19] 会刺激血压升高吗,
[01:01:20] 所以就能把这个实验变了一下,
[01:01:23] 你拿一个完整动物过来,
[01:01:25] 你给它吸入比较高浓度二氧化,
[01:01:27] 它一吸,
[01:01:28] 它血压就升高了,
[01:01:29] 这是第一次实验,
[01:01:30] 还是这个小动物,
[01:01:31] 第二次,
[01:01:32] 给它插个气管插管,
[01:01:34] 插上插管之后,
[01:01:36] 那么它呼吸不呼吸,
[01:01:38] 它自己说了不算,
[01:01:39] 我给它插上插管之后,
[01:01:40] 带个呼吸机,
[01:01:42] 我打一回气,
[01:01:43] 你吸一口,
[01:01:44] 我抽一回气,
[01:01:45] 你呼一口,
[01:01:46] 把实验动物的呼吸运动,
[01:01:48] 呼吸运动,
[01:01:50] 用呼吸机控制下来,
[01:01:52] 那么在这个情况下,
[01:01:53] 给它吸点二氧化碳,
[01:01:54] 就发现,
[01:01:55] 吸入较温度二氧化碳以后,
[01:01:57] 如果呼吸不再变得兴奋,
[01:02:00] 它被机器控制了,
[01:02:01] 这不说实验动物,
[01:02:02] 血压不但不升高,
[01:02:04] 还降低,
[01:02:06] 如果你不控制呼吸,
[01:02:07] 给它吸二氧化碳,
[01:02:08] 一吸,
[01:02:08] 一吸,
[01:02:09] 它血压就升高,
[01:02:10] 如果把呼吸用呼吸机控制住,
[01:02:13] 还同样吸二氧化碳,
[01:02:14] 它就不升压,
[01:02:16] 反而是降压,
[01:02:17] 所以来证明二氧化碳风压有可能,
[01:02:19] 对于实验动物的血压本身,
[01:02:22] 直接作用是降压的,
[01:02:24] 那么可是一吸氧气,
[01:02:25] 一吸二氧化碳,
[01:02:27] 呼吸一改变,
[01:02:27] 为啥就升压老实了?
[01:02:30] 呼吸运动变化,
[01:02:32] 是二氧化碳的直接刺激,
[01:02:34] 直接作用,
[01:02:36] 心血管血压的变化,
[01:02:37] 是呼吸兴奋以后的,
[01:02:39] 间接作用,
[01:02:41] 对了,
[01:02:42] 呼吸改变是直接的,
[01:02:44] 血压改变是间接的,
[01:02:47] 所以一个人如果长时间在水下潜水,
[01:02:50] 也没有带潜水器,
[01:02:51] 然后没带头盔,
[01:02:53] 就在憋着气在水底下潜,
[01:02:54] 憋的时间越久,
[01:02:55] 体内一直耗氧,
[01:02:57] 氧分压低,
[01:02:57] 二氧化碳分压高了,
[01:02:58] 那么在水下憋气的情况下,
[01:03:01] 其实血压并不升高,
[01:03:02] 而是微微降低的,
[01:03:04] 血压越低,
[01:03:05] 心跳越慢,
[01:03:06] 是吧,
[01:03:07] 这样我的机体耗氧越少,
[01:03:09] 我在水下,
[01:03:09] 能存活的时间就越长,
[01:03:13] 其实它不矛盾,
[01:03:15] 这个小事业内容愿意多读一读,
[01:03:17] 反正化学感受反射,
[01:03:18] 又称之为,
[01:03:20] 生涯反射,
[01:03:21] 寒叫做潜水反射,
[01:03:24] 它是有道理的,
[01:03:25] 有这样一个补充部分以后,
[01:03:27] 差不多咱们把这个,
[01:03:30] 就这个地方先读完咱们再说吧,
[01:03:33] 正常生理范围,
[01:03:34] 血压范围内部,
[01:03:35] 化学感受对血压没有任何消息,
[01:03:37] 仅仅是在一下情况才发挥作用,
[01:03:40] 血压过低,
[01:03:41] 低度超弥补,
[01:03:42] 化学感受器明显缺氧,
[01:03:44] 或者低氧环境,
[01:03:45] 或者窒息被人掐入脖子了,
[01:03:46] 所以它是极端情况下发挥作用的,
[01:03:48] 刚才也讲过了,
[01:03:51] 另外,
[01:03:51] 酸重度这一回事呢,
[01:03:52] 脾脂小,
[01:03:53] 脾气能能够高,
[01:03:55] 极端情况,
[01:03:57] 那么容量感受反射,
[01:03:58] 刚才也讲过,
[01:03:59] 在心衰的时候,
[01:04:00] 所以低压力感受器,
[01:04:01] 是吧,
[01:04:02] 化学感受器,
[01:04:03] 叫把心肝积降低,
[01:04:04] 在血压增高,
[01:04:04] 血液量增大,
[01:04:06] 这样的情况下,
[01:04:07] 脊心交感紧张性低,
[01:04:09] 剩血液量增加,
[01:04:10] 肾素采放减少,
[01:04:11] 加压素增加,
[01:04:12] 包括NP等等,
[01:04:14] 它这样,
[01:04:14] 这个活动就不专门研究了,
[01:04:16] 容量感受反射,
[01:04:17] 实际情况下,
[01:04:18] 不发挥作用,
[01:04:19] 什么时候呀,
[01:04:20] 心衰时候,
[01:04:21] 通过增加尿量,
[01:04:22] 减少机体的血容量,
[01:04:24] 来达到一个心血管活动的平衡,
[01:04:27] 所以在临床才发挥作用,
