# 源音频：P04-生理学本科教学及考研基础课 p04 细胞3.m4a
# 时长：2812s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这个细胞的功能第二节,跨膜信号转导,我做了一个概述。
[00:41:43] 我也是个死
[00:41:44] 去它不学了
[00:41:45] 类似于这样
[00:41:46] 学而不思则忘
[00:41:48] 学而不思则败
[00:41:50] 思而不学则忘
[00:41:52] 就迷茫了
[00:41:53] 细胞膜表面一共是三大类
[00:41:57] 四小类受体
[00:41:58] 刚才我们详细阐述一下
[00:41:59] 最大的一块
[00:42:00] G代白欧联受体
[00:42:01] 按照可见数据
[00:42:02] 不说教材了
[00:42:03] 第二大类应该叫做
[00:42:05] Mai欧联受体了
[00:42:06] 你还记得两类
[00:42:08] 一类是所谓的
[00:42:09] 鸟肝脏黄明受体
[00:42:11] 一类是卵胺酸基铭受体
[00:42:13] 这两类我们大概看一下
[00:42:16] 它和G代白比一下
[00:42:18] G代白欧联受体
[00:42:19] 你还记得是七次夸膜
[00:42:20] 而这一类没有来受体的
[00:42:22] 分子结构要简单
[00:42:23] 一次夸膜
[00:42:24] 第二个分子
[00:42:26] 受体分子的膜外侧部分
[00:42:28] 有胚体结合位点
[00:42:29] 你稍微回忆一下
[00:42:31] 和G代白欧联受体一样
[00:42:32] 膜内侧结构于本身
[00:42:34] 就具有霉的活性了
[00:42:36] 咱们刚才G代白欧联受体膜内
[00:42:38] 是什么样子的
[00:42:39] 膜内是具有G代白的结合位点
[00:42:41] 而它这个
[00:42:42] G代白欧联受体
[00:42:43] 没有来受体
[00:42:44] 受体本身你发现了吗
[00:42:46] 一半是受体
[00:42:47] 另一半是霉
[00:42:49] 或者可以直接和霉分子直接结合
[00:42:54] 所以你这样看的话
[00:42:56] 没有来分是有两种
[00:42:57] 一种是一半是受体
[00:42:58] 一半是霉
[00:42:59] 一种是受体还是受体
[00:43:00] 它受体直接就和霉结合了
[00:43:03] 而不像咱们前面学过的
[00:43:04] G代白的受体
[00:43:05] 需要G代白
[00:43:06] 中介
[00:43:07] 黑中介
[00:43:08] 不需要
[00:43:09] 少了一道东介
[00:43:10] 就等于是在网上说
[00:43:12] 哥们你房子卖不卖多钱
[00:43:13] 便宜点了
[00:43:14] 那个地方说
[00:43:15] 你给我说
[00:43:16] 你和中介说去
[00:43:17] 就说你先给我交两个月房租再说
[00:43:18] 交三口二
[00:43:21] 所以它少了一道东介
[00:43:23] 就更简单了
[00:43:24] 从进化学上看到的话
[00:43:26] 人体的进化方向
[00:43:28] 让人体结构越来越简单
[00:43:30] 为什么要进化
[00:43:31] 目的是效率越来越高
[00:43:33] 能耗越来越低
[00:43:35] 所以我一直说
[00:43:36] 进化的唯一方向
[00:43:37] 是让人体的结构越来越简单
[00:43:39] 因为只有简单的才可靠
[00:43:42] 那么进化的唯一动力
[00:43:44] 使人体越来越节能
[00:43:46] 就像鸡蛋白欧莲兽体
[00:43:48] 鸡蛋白的欧莲兽体
[00:43:49] 有一大串的过程去完成
[00:43:52] 第二性是鸡蛋白
[00:43:53] 是吧
[00:43:54] AC PLC很啰嗦
[00:43:55] 那么煤油那是对简单
[00:43:57] 粗暴
[00:43:58] 一步倒地
[00:43:59] 我就是煤
[00:44:01] 过来吧
[00:44:02] 注意这个煤相当于谁
[00:44:03] 这个地方的煤
[00:44:04] 相当于鸡蛋白欧莲兽体里边那个谁
[00:44:06] 那个AC或PLC
[00:44:09] 可不是鸡煤
[00:44:11] 对了
[00:44:12] 只相当于那个AC或PLC
[00:44:14] 那么你还上一页
[00:44:15] 你还记得
[00:44:16] 这个地方的这个煤
[00:44:17] 就把ATP还还到CMP
[00:44:18] PLC就把PIP2分解为DG和IP3
[00:44:22] 这个地方这个煤就这个意思
[00:44:25] 这个煤加了下去再往下走
[00:44:27] 第二性是再往下走
[00:44:28] 代为鸡再往下走
[00:44:29] MAPK就能产生生物学效应
[00:44:33] 所以这个分类有两种
[00:44:35] 一种是卵氨酸鸡鸣受体
[00:44:36] 教材写的
[00:44:37] 我们非常两瞎的是
[00:44:39] 胰岛素这么一个最新链激素
[00:44:41] 它的受体就是卵氨酸鸡鸣受体
[00:44:44] 谨慎建议同学们在这儿
[00:44:46] 把课停下来
[00:44:47] 打开内蜂蜜
[00:44:48] 翻开胰岛的内蜂蜜
[00:44:50] 大概读一下胰岛素体是个什么鬼
[00:44:52] 还有IRS胰岛素体顶部物
[00:44:55] 类似于这样一些话题
[00:44:56] 打开书读一读
[00:44:58] 穿插开互相借鉴
[00:45:00] 他山之石可以公牧
[00:45:02] 另外还有人体主要的重要的生长素
[00:45:05] Gross factor
[00:45:06] Hormone
[00:45:07] 这个东西受体是卵氨酸鸡鸣的
[00:45:09] 还有一些细胞表面的
[00:45:11] 细胞因子的受体
[00:45:13] 都属于卵氨酸鸡鸣受体
[00:45:15] 这个内容房的内蜂蜜
[00:45:16] 咱们详细探讨
[00:45:17] 这东西不啰嗦了
[00:45:18] 另一类就是著名的
[00:45:21] 鸟肝酸黄化酶受体
[00:45:22] GC
[00:45:23] 我们有一个非常重要的激素
[00:45:25] 在心脏这儿你能学到
[00:45:26] 辛达泰
[00:45:27] AMC
[00:45:28] 这里边还有
[00:45:29] 囊囊钛BMP
[00:45:30] 整个这个系列
[00:45:31] 一个是辛达泰的受体
[00:45:33] 一个是著名的
[00:45:34] 一氧化氮
[00:45:35] NO一氧化氮受体
[00:45:38] 都属于鸟肝酸黄化酶受体
[00:45:41] 打开书看一下
[00:45:42] GC这个小受体
[00:45:43] 经常不是长在膜上
[00:45:45] 是漂浮在泡浆中
[00:45:47] 所以很重要
[00:45:49] 很有意思
[00:45:50] 加拿大的通过
[00:45:51] 这个GC激活之后
[00:45:52] 产生CDMP第二形式的进一步发挥作用
[00:45:55] 这个地方打开书再读一读
[00:45:57] 在本科教学里边
[00:45:58] 幸好转到这一块
[00:46:00] 最大一块内容
[00:46:01] 这一节
[00:46:02] 再寄来把握点
[00:46:03] 没有脸受体
[00:46:04] 有个教学要求和安排
[00:46:06] 你能在这举出例子来
[00:46:08] 哪些受体是没有脸受体
[00:46:11] 就OK
[00:46:12] 这个内容你要学明白
[00:46:13] 想学明白
[00:46:14] 这儿学不明白
[00:46:15] 去哪里
[00:46:16] 打开内蜂蜜的一章
[00:46:17] 所以我们一定是前后贯
[00:46:18] 我们一定是前后贯
[00:46:19] 传起来
[00:46:20] 贯穿起来
[00:46:21] 不同学科贯穿起来
[00:46:22] 这样去学习
[00:46:23] 一直想让我学生明白
[00:46:25] 学习有一个基本的手段和思考
[00:46:27] 叫他山之石可以公寓
[00:46:31] 幸好转到第二块
[00:46:33] 没有脸
[00:46:34] 先放着
[00:46:36] 还有第三块内容
[00:46:37] 就是通道偶脸性受体
[00:46:39] 咱们接着往下看
