# 源音频：P02-生理学本科教学及考研基础课 p02 细胞1.m4a
# 时长：6441s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,咱们接下来看生理学的本科教学这一块的内容,第二章,细胞的基本功能。
[00:42:12] 相当于咱们从一楼到八楼
[00:42:14] 你要上要么你出一身臭汗
[00:42:16] 爬上去
[00:42:17] 要么坐电梯
[00:42:18] 坐电梯老师坐电梯我不累
[00:42:19] 你是不累
[00:42:20] 电梯累不是
[00:42:21] 电梯得消耗电能不是
[00:42:23] 额外消耗能量了
[00:42:25] 这个叫主动转运
[00:42:27] 一会咱们往下学
[00:42:28] 所以在这建立这张课
[00:42:29] 叫什么概念
[00:42:31] 什么叫被动扩散
[00:42:33] 利用自己的能量
[00:42:34] 什么叫主动转运
[00:42:35] 利用别人的能量
[00:42:37] 别人的能量是谁
[00:42:38] 人体能量一般
[00:42:39] 是一种形式
[00:42:40] ATP
[00:42:41] 三磷酸线杆
[00:42:42] 它一般利用里边第三个高磷酸键
[00:42:45] 所以ATP把能量
[00:42:46] ATP把能量释放完以后
[00:42:48] 就变成二磷酸线杆
[00:42:50] 就变成ADP
[00:42:51] 然后将来咱们吃完饭之后
[00:42:53] 细胞内部通过这个
[00:42:55] 这个呼吸量
[00:42:56] 通过
[00:42:58] 限定体
[00:42:59] 重新再给你来一个电子的转移
[00:43:01] 再重新给你组装一个
[00:43:03] 高磷酸键
[00:43:04] 所以在体内的能量物质
[00:43:05] 是ATP和ATP直接转化的
[00:43:07] ATP具有能量
[00:43:09] 具有第三个高磷酸键
[00:43:10] 释放完之后变成ADP了
[00:43:12] 就没有没有
[00:43:13] 回家再拿一个再来
[00:43:14] 提供能量
[00:43:15] 人体一般是谁提供能量的
[00:43:17] 都是ATP
[00:43:18] 能量一般提供给谁了
[00:43:20] 这一节学班体会一下
[00:43:21] 能量一般都提
[00:43:23] 提供给
[00:43:24] 细胞膜上的
[00:43:25] 钠钾问了
[00:43:27] 钠钾
[00:43:28] ATP没
[00:43:29] 所以从细胞这张开始
[00:43:32] 慢慢咱们正式的就切入医学体系了
[00:43:34] 有好多数据需要建立
[00:43:36] 水溶性的
[00:43:37] 脂溶性的
[00:43:38] 小分子的
[00:43:39] 大分子的
[00:43:40] 主动的
[00:43:41] 被动的
[00:43:41] 载体的
[00:43:42] 通道的
[00:43:43] 这些名词你都要用
[00:43:45] 所以好多学生老师这个医学不是理解就好了
[00:43:48] 你连载体俩字都不会写
[00:43:50] 你理解什么呀
[00:43:51] 我就老开玩笑说
[00:43:52] 你老以为你是理解了
[00:43:54] 其实你不过是背的鼠
[00:43:56] 比方说这一张你已经学过了
[00:43:58] 我录的课比大学里边
[00:43:59] 九天进读要稍微晚一点
[00:44:01] 设想一下
[00:44:02] 一个通道怎么打开的
[00:44:03] 你学过了吧
[00:44:04] 有些通道是被电压刺激一下打开
[00:44:06] 叫电压门口
[00:44:07] 有些通道是结合一个滑稽物质才打开
[00:44:10] 化学门口
[00:44:11] 还行
[00:44:11] 通道比较简单
[00:44:12] 小锤子一砸就开了
[00:44:13] 叫机械门口
[00:44:15] 你见没见过
[00:44:16] 不需要人刺激开放
[00:44:17] 有呀
[00:44:18] 非门口
[00:44:19] 非门口
[00:44:20] 所以学了通道才把通道还有内容要学习
[00:44:24] 通道的门口特性如何
[00:44:26] 通道的离子选择性怎么样
[00:44:29] 这些话题
[00:44:30] 所以在这张课就要如果
[00:44:32] 对我学生有个要求说你掌握个什么
[00:44:35] 你掌握一句话
[00:44:36] 哪怕你记不住理解不了
[00:44:38] 你先背一遍
[00:44:39] 一个物质
[00:44:40] 相对
[00:44:40] 想完成跨模转运的话
[00:44:42] 既得具有驱动力
[00:44:43] 还得具有通透性
[00:44:46] 而小锤子脂溶性物质
[00:44:47] 是两个同时具备的
[00:44:49] 小锤子水溶性物质只有驱动力
[00:44:51] 而没有通透性
[00:44:52] 通透性不够
[00:44:54] 蛋白质来凑
[00:44:57] 给你找个载体
[00:44:58] 给你找个通道
[00:44:59] 干嘛的
[00:45:00] 让这个物质
[00:45:01] 具有通透性
[00:45:02] 对了
[00:45:03] 浓度茶你不是有吗
[00:45:04] 你带着
[00:45:04] 来通透性我给你个蛋白质
[00:45:06] 帮你
[00:45:06] 进不去进不去找人帮你带进去
[00:45:09] 考试帮你做个病
[00:45:10] 所以这样
[00:45:11] 行啦我下班
[00:45:13] 咱们先看第一大类物质转运
[00:45:16] 叫单纯扩散
[00:45:17] 叫Sympathetic failure
[00:45:19] 脂溶性高而分子量小的物质
[00:45:22] 刚才查试过
[00:45:23] 这样的物质因为膜本身双次内质结构
[00:45:25] 所以脂溶性高我不担心通透性
[00:45:27] 分子量小
[00:45:28] 是配合通透性的
[00:45:30] 大分子的话
[00:45:31] 就是脂溶性高你也不行
[00:45:32] 膜长得很执迷
[00:45:34] 个子太大转不进去了
[00:45:36] 那么这样一类物质
[00:45:38] 单纯扩散怎么扩散
[00:45:39] 这是一个简单的物理扩散现象
[00:45:41] 就是物理现象
[00:45:43] 所以你们这代孩子们一般记笔记上课用的是中性笔
[00:45:47] 探索笔
[00:45:48] 很少用圆珠笔
[00:45:50] 我们在小时候那个时代比较匮乏
[00:45:52] 实际上到今天为止我印象中咱们的工业生产
[00:45:56] 都没法造出来圆珠笔前面那个小珠子
[00:45:59] 到今天为止
[00:46:00] 21世纪了
[00:46:01] 咱们有些技术工业都要薄弱
[00:46:04] 所以国家
[00:46:05] 比如什么这个余大刀同学在网上一直唱道说
[00:46:08] 大力发展我们的工业文化
[00:46:09] 中国咱们有一些高晶电技术
[00:46:11] 已经掌握了
[00:46:12] 但有些基础工业
[00:46:13] 还是很薄弱的
[00:46:15] 国家的机械制造
[00:46:16] 还需要大力发展
[00:46:18] 咱们制造一个汽车发动机的钢筒呀
[00:46:21] 一个活塞呀
[00:46:22] 一个气缸垫子一个弹簧等等
[00:46:26] 咱们的钢材
[00:46:27] 咱们的铸造工艺
[00:46:28] 和欧洲国家确实还是差一些
[00:46:31] 你非得说咱们造的K车
[00:46:33] 比奔驰还好
[00:46:34] 这话你不信
[00:46:35] 只能说按照目前的家庭收入
[00:46:37] 目前的消费的能力
[00:46:39] 和消费的理念
[00:46:40] 消费的方式
[00:46:41] 来说
[00:46:42] 买个K车还不错
[00:46:43] 条件好谁还不想买四个圈呗
[00:46:45] 奥迪不是
[00:46:46] 他是这样
[00:46:48] 所以这个要认识到差距
[00:46:49] 迎头赶上
[00:46:50] 对了
[00:46:51] 但咱有一些技术很好了
[00:46:53] 所以里边假这么啰嗦干了
[00:46:54] 我们在小时候用的是
[00:46:56] 钢笔
[00:46:57] 也叫墨水笔
[00:46:58] 挂点墨水写字
[00:47:00] 你就发现有时候
[00:47:01] 这个墨水你时间长了
[00:47:02] 那个墨水质量不高
[00:47:04] 你买好墨水没事
[00:47:05] 我还记得初中学的单词
[00:47:07] INK墨水
[00:47:08] 其实这个单词你们都很少背了
[00:47:10] 所以这个钢笔
[00:47:11] 你用的几个字
[00:47:11] 几天没有好好用
[00:47:12] 这当然这是一个中性笔
[00:47:14] 如果钢笔时间长不用以后
[00:47:16] 笔尖的墨水
[00:47:18] 干枯了
[00:47:19] 就粘到笔尖了
[00:47:20] 写不下来了
[00:47:21] 所以经常需要洗
[00:47:22] 你把它放到自来水脸盆里边
[00:47:25] 洗它的时候
[00:47:26] 你拿手后面一捏
[00:47:27] 把墨水往外挤
[00:47:28] 再一吸水吸进去
[00:47:29] 你发现
[00:47:30] 白白的
[00:47:31] 不讲白美的
[00:47:32] 透明的自来水里边
[00:47:33] 你啪啪啪滴上来
[00:47:34] 那墨水
[00:47:34] 这个墨水哗
[00:47:35] 就往外飘
[00:47:36] 还挺漂亮
[00:47:37] 你要把脸盆一晃
[00:47:38] 它飘得这个自然的
[00:47:40] 晕染吧
[00:47:41] 就像咱们说
[00:47:42] 这个国画
[00:47:44] 这个笔
[00:47:45] 浓墨
[00:47:46] 是吧
[00:47:47] 浓状淡墨
[00:47:48] 总像一网
[00:47:48] 这个白色的宣纸上
[00:47:50] 啪啪啪一笔
[00:47:50] 然后它利用
[00:47:51] 这个宣纸的渗透性
[00:47:53] 这个墨就一层层层
[00:47:54] 往开晕
[00:47:55] 生前交替
[00:47:57] 雾蒙蒙
[00:47:58] 情深的雾蒙蒙
[00:47:58] 就出来了
[00:47:59] 单纯扩散
[00:48:00] 单纯扩散
[00:48:02] 就是一滴墨水
[00:48:03] 滴到脸盆以后
[00:48:04] 那个蓝色红色
[00:48:06] 往周围一个
[00:48:07] 播散的过程
[00:48:08] 它就是这个物理现象
[00:48:09] 从高度到低度
[00:48:10] 这里边
[00:48:11] 听一句话
[00:48:12] 那么一个物质
[00:48:14] 狂摩转运的时候
[00:48:15] 转运的方向和速度
[00:48:18] 取决于
[00:48:19] 摩两侧的
[00:48:20] 该动物质浓度差
[00:48:21] 以及摩对该物质
[00:48:23] 通透性
[00:48:24] 小蜂子止溶性物质
[00:48:26] 一般通透性度
[00:48:27] 是比较高的
[00:48:28] 不太担心通透性
[00:48:29] 那就是浓度差越大
[00:48:31] 扩散越快
[00:48:32] 但是注意
[00:48:33] 它只能从浓度高的一侧
[00:48:34] 向浓度低的一侧
[00:48:36] 去扩散
[00:48:36] 一旦要需要
[00:48:37] 逆浓度提供
[00:48:38] 那恐怕就要消耗能量了
[00:48:41] 所以这就是
[00:48:41] 主动和被动的概念
[00:48:43] 生理学学习
[00:48:45] 最忌讳的是
[00:48:47] 被玩感觉不管了
[00:48:48] 所以你知道
[00:48:49] 咱们这一章
[00:48:50] 一开始说句话
[00:48:51] 说什么叫做
[00:48:52] 把生理学学会了
[00:48:53] 学好了
[00:48:54] 就是我能够把
[00:48:55] 每个名词底下
[00:48:56] 每个概念底下
[00:48:57] 都找出很丰富的案例了
[00:48:59] 来举例子
[00:49:01] 这就学得就入门了
[00:49:02] 那么哪些物质
[00:49:03] 在人体上是单纯扩散的
[00:49:05] 最经典的
[00:49:06] 就是到第五章
[00:49:08] 胡锡这儿学的
[00:49:09] 废换器
[00:49:09] 气体的扩散
[00:49:12] 是
[00:49:13] 郎气二氧化的氮气
[00:49:13] 在我们的医学体系中
[00:49:16] 关心的比较多的
[00:49:17] 就是氧气
[00:49:18] 二氧化碳
[00:49:19] 氮气
[00:49:20] 因为氮气
[00:49:21] 是空气的基本构成
[00:49:22] 占百分之七十八的
[00:49:24] 氧气百分之二十多一点
[00:49:26] 剩下来的二氧化碳
[00:49:27] 还叫多性气体
[00:49:28] 有时候开玩笑说
[00:49:29] 还叫贫二带五
[00:49:30] 灰尘
[00:49:30] 我在开玩笑
[00:49:31] 在气体里边
[00:49:32] 不说灰尘
[00:49:33] 不说二带五
[00:49:33] 不好
[00:49:34] 这样的话
[00:49:35] 氧气二氧化的氮气
[00:49:37] 在胡锡那一章你学习
[00:49:39] 都是典型的单纯扩散
[00:49:41] 另外还有一串
[00:49:43] 就酒精
[00:49:44] 这个使用性很高
[00:49:45] 有时候衣服上沾点油
[00:49:47] 抹点酒精
[00:49:48] 浓度比较高的酒精
[00:49:49] 你抹
[00:49:50] 拿手一搓
[00:49:50] 或者洗洁镜一洗
[00:49:52] 把它洗掉
[00:49:53] 另外有一个东西叫尿素
[00:49:55] 尿素是我们听的学生话
[00:49:58] 我发现一个代谢微产物
[00:50:00] 尿素叫素氮
[00:50:01] 这样一些东西
[00:50:03] 代表着的风节产物
[00:50:05] 将来在听的降节产物
[00:50:07] 尿素是单纯扩散的
[00:50:11] 所以其实我也是这两年
[00:50:13] 你们一直这十多年
[00:50:14] 讲内科外科内科诊断
[00:50:15] 讲临床血科
[00:50:16] 讲的久了才突然发现
[00:50:18] 尿素这个单纯扩散
[00:50:20] 在临床医学中
[00:50:21] 特别实用
[00:50:22] 今天在这儿
[00:50:24] 咱们就不过多举例子了
[00:50:25] 所以这一节课
[00:50:26] 一开始为什么说
[00:50:27] 这个基础课
[00:50:28] 还有大二的生理基础课
[00:50:30] 和考研基础课
[00:50:31] 到考研基础课
[00:50:33] 这种东西我就多举案例了
[00:50:34] 在本科阶段的时候
[00:50:35] 能知道肺换气
[00:50:37] 就是点击单纯扩散
[00:50:38] 就很OK了
[00:50:39] 就很OK
[00:50:40] 你要首先搁这儿
[00:50:41] 到学业内章再说
[00:50:42] 那么水分子
[00:50:43] 水尽管水溶性
[00:50:45] 但是风险太小了
[00:50:47] 所以实际上
[00:50:47] 纸质的膜结构
[00:50:49] 挡不住水
[00:50:50] 它挡不住
[00:50:51] 但是人体在很多时候
[00:50:53] 需要水
[00:50:54] 快速的跨膜引出
[00:50:56] 那么这样利用水
[00:50:57] 这么一个渗透作用也好
[00:50:59] 扩散能力也好
[00:51:00] 去自由的
[00:51:01] simple difference
[00:51:03] 单纯扩散
[00:51:03] 它的速度
[00:51:05] 改不上我们的需求
[00:51:07] 能扩散
[00:51:08] 能
[00:51:09] 太慢
[00:51:10] 所以这儿
[00:51:11] 尼玛玛特别特别
[00:51:12] 是个圣诞的印象
[00:51:13] 你发现
[00:51:14] 水除了单纯扩散以后
[00:51:16] 是能以通道方式进行的
[00:51:18] 就刚才我还专门举了个例子
[00:51:20] 比如说
[00:51:20] 到内核
[00:51:21] 到这个内的这个圣诞
[00:51:22] 内蜂蜜者会学一个激素
[00:51:24] 叫ADH抗利尿激素
[00:51:27] 那个东西
[00:51:27] 就会快速的给集合果上皮
[00:51:30] 组装一个水通道蛋白质
[00:51:32] 帮助水快速运输
[00:51:33] 所以这是个特殊的
[00:51:36] 水既可以单纯扩散
[00:51:38] 也可以通道方式
[00:51:40] 一化扩散
[00:51:41] 这个水比较有意思
[00:51:43] 先翻过去
[00:51:44] 实际上
[00:51:45] 慢慢你会发现
[00:51:46] 气体分子里边
[00:51:47] 出客界了
[00:51:48] 写的氧气二氧化的氮气以外
[00:51:50] 在这个地方
[00:51:51] 如果你感兴趣
[00:51:52] 你其实也不要被注意一下
[00:51:53] 到圣诞
[00:51:54] 我们会专门学一个气体
[00:51:56] 氨气
[00:51:57] NH3
[00:51:58] 氨气生化学也是重要
[00:52:01] 在体内
[00:52:02] 氨气分子是以氧氨酸
[00:52:04] 和骨氨鲜氨形式
[00:52:06] 储存的
[00:52:07] 氨气因为它含一个N
[00:52:09] 含一个氮元素
[00:52:10] 所以不用问
[00:52:11] 它和代表质的合成酱气
[00:52:13] 是直接相关的
[00:52:14] 对了
[00:52:15] 氨气在圣诞
[00:52:16] 又写的尤为重要
[00:52:17] 能帮助气体排酸保减
[00:52:19] 帮助气体的酸碱平衡
[00:52:22] 内环境不是得稳态吗
[00:52:23] 氨的作用很大
[00:52:25] 先放这不动了
[00:52:26] 那么有了单纯扩散的概念之后
[00:52:31] 小夫的脂溶性物质
[00:52:32] 第二大框
[00:52:33] 小夫的水溶性物质怎么办
[00:52:35] 所以刚才在第一张课件看过
[00:52:37] 有一化扩散的
[00:52:38] 有主动转运的
[00:52:40] 按照顺序吧
[00:52:41] 教材有时候在一化扩散的时候
[00:52:42] 歇歇载体
[00:52:43] 用歇歇通道
[00:52:44] 这倒无所谓
[00:52:44] 这里边注意
[00:52:45] 排名不分先后
[00:52:47] 不分先后
[00:52:49] 都重要
[00:52:50] 嗯
[00:52:50] 先往下走
[00:52:51] 那么接下来咱们就按照可见的顺序吧
[00:52:56] 先看一下载体的一化扩散
[00:52:58] 所以从英文里边看这个
[00:53:00] Facilitated Deferred
[00:53:02] 实际上它是更方便
[00:53:03] 更快捷的
[00:53:04] 为什么更方便
[00:53:05] 实际上它是帮助水溶性的物质
[00:53:08] 因此说一说一化扩散
[00:53:10] 主动转运
[00:53:10] 为什么要强调一个膜代表制界道
[00:53:12] 就是你慢慢脑子里边
[00:53:14] 你也知道
[00:53:15] 这个细胞膜是
[00:53:16] 双层质质结构
[00:53:18] 但是一谈到物质转运
[00:53:19] 所以说咱们时间久了会发现
[00:53:21] 我背的东西
[00:53:22] 在学习和物理中用的时候
[00:53:24] 是另一个层次
[00:53:26] 就背也背回来
[00:53:28] 但背回后经常
[00:53:29] 你背的这句话用的时候
[00:53:30] 你老忘掉能拿来这样用
[00:53:32] 所以你实际上要学到第二组
[00:53:34] 膜代表制
[00:53:35] 界道跨膜转运
[00:53:36] 前提就是针对谁的
[00:53:38] 水溶性的
[00:53:39] 水溶性膜本身不通透
[00:53:42] 那么这还有一些水溶性的小分子物质
[00:53:44] 特别重要
[00:53:44] 比如葡萄糖
[00:53:45] 氨基酸
[00:53:46] 这是人体必需
[00:53:47] 涉险糖要出现问题
[00:53:49] 你起码知道一个东西
[00:53:50] 糖尿病吧
[00:53:51] 这个样子
[00:53:52] 所以这么一个重要的物质
[00:53:53] 它怎么样跨膜转运
[00:53:55] 怎么样从膜内进膜内的
[00:53:58] 所以这种转运方式
[00:53:59] 咱们说有一个蛋白质界道
[00:54:02] 这个蛋白质叫载体
[00:54:03] 你学这一节慢慢会发现
[00:54:06] 实际上这样一个蛋白质
[00:54:07] 有两个不同名字
[00:54:09] 一种叫载体
[00:54:10] 一种叫转运体
[00:54:12] 那么这一块专门给个解释
[00:54:15] 一个膜蛋白质
[00:54:16] 什么时候叫载体
[00:54:17] 什么时候叫转运体
[00:54:18] 你要看这个蛋白质
[00:54:19] 它的结合位点的多少
[00:54:21] 如果你想这个葡萄糖
[00:54:23] 或者氨基酸这样载体的话
[00:54:24] 一个蛋白质上面就一个结合位点
[00:54:26] 那么这样蛋白质通过共享变化一次
[00:54:29] 只转运一个分子
[00:54:30] 就叫载体
[00:54:31] 假如说一会儿在这一节里边
[00:54:33] 能看到钠甲崩的
[00:54:34] 钠该交换这样一些蛋白质
[00:54:36] 它转运成钠甲崩一次的话
[00:54:38] 转运三个钠
[00:54:39] 同时还转运两个甲
[00:54:41] 它有五个结合位点
[00:54:42] 那么这两个或两个以上的
[00:54:45] 这种结合位的蛋白质
[00:54:47] 就不叫载体了
[00:54:48] 就改名字了
[00:54:49] 就转运体
[00:54:50] 它是这样
[00:54:51] 所以实际上是同一个东西
[00:54:53] 那么作为一个蛋白质
[00:54:54] 它怎么把物质给转进去的
[00:54:56] 就才给了一个很形象的说法
[00:54:58] 我讲课老开玩笑
[00:54:59] 就像很早
[00:55:00] 你们年龄小
[00:55:01] 再早一点
[00:55:01] 年龄再大点
[00:55:02] 孩子知道
[00:55:03] 当年有个喜剧的大师
[00:55:05] 赵本山先生和宋丹丹女士
[00:55:08] 有个非常著名的一个
[00:55:09] 春晚上的一个
[00:55:11] 一个叫喜剧小品
[00:55:13] 小品
[00:55:14] 宋丹丹和赵本山说
[00:55:16] 问
[00:55:16] 把大象关进冰箱里
[00:55:18] 要几步
[00:55:19] 大家有同学看过这个小品
[00:55:21] 要三步
[00:55:22] 开门
[00:55:22] 串进去
[00:55:23] 关门
[00:55:24] 为什么这样讲
[00:55:25] 实际上通过一个载体蛋白质
[00:55:27] 转运一个葡萄糖
[00:55:28] 从膜外转进去
[00:55:29] 需要几步
[00:55:30] 三步
[00:55:31] 开门
[00:55:32] 串进去
[00:55:32] 关门
[00:55:33] 这个地方叫结合
[00:55:35] 首先把葡萄糖和蛋白质
[00:55:37] 这个结合位得结合起来
[00:55:39] 结合起来以后
[00:55:40] 蛋白质一看
[00:55:41] 你仔细看一下视频图
[00:55:42] 在没有结合糖的时候
[00:55:45] 这蛋白质像一个小豆芽
[00:55:46] 两瓣
[00:55:47] 开口
[00:55:48] 指向膜外
[00:55:49] 结合以后
[00:55:50] 通过某一种生化
[00:55:52] 构像的变化
[00:55:54] 那么这开口就指向膜内了
[00:55:56] 结合
[00:55:57] 然后构像从外朝内开口
[00:55:59] 然后再把葡萄糖从上面掉下来
[00:56:02] 结合
[00:56:03] 变构
[00:56:03] 结离
[00:56:04] 三步
[00:56:05] 和它比起来不用问
[00:56:07] 你看这个通道一号活塞
[00:56:08] 这右边画的视力图
[00:56:09] B图
[00:56:10] 通道一号活塞
[00:56:11] 它实际上就是膜上有一个蛋白质
[00:56:13] 蛋白质
[00:56:14] 膜本身
[00:56:15] 纸质的
[00:56:16] 它在这边
[00:56:16] 对水溶性的物质不通透
[00:56:18] 那么这样的话
[00:56:19] 给它上面装了个蛋白质
[00:56:20] 蛋白质里边形成一个孔道
[00:56:22] 就像这个墙壁本身不透光
[00:56:25] 挖个洞
[00:56:26] 挖个洞上面装块玻璃
[00:56:27] 叫窗户
[00:56:28] 透光了
[00:56:29] 所以这样的话
[00:56:30] 通道内部是水溶性的
[00:56:32] 那么这样一些物质
[00:56:33] 就可以通过通道内部
[00:56:34] 这个水溶性的孔道
[00:56:35] 一个小像隧道一样
[00:56:37] 直接往过流
[00:56:38] 你再听一会儿
[00:56:39] 我们说需要三步
[00:56:41] 结合
[00:56:41] 变构
[00:56:42] 结离
[00:56:43] 通道只需要打开以后
[00:56:44] 化流进去
[00:56:45] 不用问
[00:56:46] 想要通道内部的水溶性的物质
[00:56:46] 大家都想象得出来
[00:56:47] 通道一化扩散
[00:56:49] 比载体一化扩散速度要快
[00:56:51] 教材一般给数字
[00:56:53] 教材数字一般给你通道一化扩散的数量级
[00:56:56] 大概是载体一化扩散的一千倍
[00:56:58] 十到三次方倍
[00:57:00] 速度要快得多
[00:57:01] 所以我们在早期学生理学的时候
[00:57:03] 这些细节
[00:57:04] 能多把握就多把握
[00:57:06] 因为实际上
[00:57:07] 你在还没有学别的学科之前
[00:57:08] 你以为生理学就是上上的位
[00:57:10] 你学的学科越多越发现
[00:57:13] 生理学知识是无处不在
[00:57:15] 到处在拥挡
[00:57:16] 嗯
[00:57:17] 这我先不强调
[00:57:18] 反正你记录一句话
[00:57:19] 输到用时方横射
[00:57:21] 到大五的时候
[00:57:22] 你恨不得把生理学再被扒遍
[00:57:25] 对了
[00:57:26] 现在跟你说
[00:57:26] 你就说
[00:57:27] 你就骗我吧老师
[00:57:28] 反正你是讲生理学
[00:57:29] 你说生理学重要
[00:57:30] 到某一天博士毕业才发现
[00:57:32] 玩了一辈子
[00:57:33] 玩了一半生理学
[00:57:34] 对了
[00:57:34] 生理学开始
[00:57:35] 到生理学结束
[00:57:37] 孙诺贝尔医学奖全程
[00:57:39] 叫诺贝尔生理学或医学奖
[00:57:42] 你就懂了
[00:57:43] 先翻过去啊
[00:57:44] 这个图咱们
[00:57:46] 九
[00:57:47] 九
[00:57:47] 九
[00:57:47] 这一本版的生理学教材
[00:57:48] 还没有
[00:57:48] 这是采自于
[00:57:50] 八年第二版的生理学教材
[00:57:53] 因为这款内容
[00:57:54] 一直是我的
[00:57:55] 这个二导
[00:57:57] 就是硕士博士系列的二导
[00:57:58] 欧威教授
[00:57:59] 他写书
[00:58:00] 教材副主编
[00:58:01] 他在写这个书
[00:58:02] 他专门往这儿
[00:58:02] 引用了一个外蒙版的
[00:58:04] 这么一个试语图
[00:58:06] 做了很大的修正
[00:58:07] 算原创了
[00:58:08] 所以吴老师
[00:58:09] 他拿这个图过来
[00:58:10] 你把这个图
[00:58:11] 和咱们教材这个图比较一下
[00:58:12] 和这个图比较
[00:58:13] 这个图就很粗糙
[00:58:14] 但是到这个图就很精细
[00:58:16] 说话这么细
[00:58:17] 这有什么意思
[00:58:17] 老师不是美术科
[00:58:18] 不是
[00:58:19] 这是一个葡萄牌分子
[00:58:20] 所以我就老开玩笑
[00:58:22] 就想一块生日蛋糕
[00:58:24] 生日蛋糕
[00:58:24] 小朋友过生日
[00:58:25] 是吧
[00:58:25] Happy birthday to you
[00:58:27] 插完了
[00:58:28] 也吃饱饭了
[00:58:28] 哪一块蛋糕吃了
[00:58:29] 吃不了
[00:58:30] 他就玩呗
[00:58:31] 这水果蛋糕挺好
[00:58:32] 上面插了很多棒棒糖
[00:58:33] 小朋友吃饱了
[00:58:34] 反正不想吃
[00:58:35] 他就淘气
[00:58:36] 就把这个棒棒糖
[00:58:37] 上面这个糖
[00:58:38] 抠下来
[00:58:39] 摁到这儿去了
[00:58:40] 你看这边
[00:58:41] 还是个完整棒棒糖
[00:58:42] 这么硬
[00:58:43] 不要你再看
[00:58:44] 这个蛋白质
[00:58:45] 你发现
[00:58:45] 这是个放棒棒糖
[00:58:47] 棒棒的地方
[00:58:47] 这是个放糖的地方
[00:58:49] 这是连棒棒带糖
[00:58:50] 你看这儿
[00:58:52] 你要不把这个球
[00:58:53] 从这儿抠下来
[00:58:54] 搁这儿去
[00:58:54] 你还真就把它装不进去
[00:58:56] 这个视野图
[00:58:58] 非常完美的阐述了一下
[00:58:59] 蛋白质
[00:59:00] 在转运一个物质的时候
[00:59:02] 这个载体啊
[00:59:03] 和被转运物质之间
[00:59:05] 必须有完美的空间构像
[00:59:07] 长得差一点
[00:59:09] 你就结合不上去
[00:59:10] 结合变构
[00:59:11] 结得听起来很容易
[00:59:12] 但长得不像
[00:59:13] 别结合
[00:59:13] 结合不了
[00:59:14] 就结合不上去
[00:59:14] 就像一把钥匙
[00:59:16] 开一把锁一样
[00:59:17] 医学上
[00:59:18] 把这样一个
[00:59:19] 严格的空间构像关系
[00:59:21] 叫做锁石关系
[00:59:23] lock key
[00:59:23] 一把钥匙
[00:59:25] 开一把锁
[00:59:26] 所以一会儿强调
[00:59:27] 载体化
[00:59:28] 有三大特征
[00:59:29] 第一个就叫
[00:59:30] 特异性结合
[00:59:31] 空间构像的特异性
[00:59:33] 所以在这儿讲
[00:59:34] 后面比较啰嗦
[00:59:35] 说你慢慢读生化
[00:59:36] 你再学学生化的媒学
[00:59:38] 你会发现
[00:59:39] 一旦生物化学里边
[00:59:40] 一个媒去催化
[00:59:42] 一个化学物质
[00:59:43] 这个构像不太一样的时候
[00:59:44] 怎么办
[00:59:44] 媒能迎合
[00:59:46] 这个物质长得有点扁
[00:59:48] 是吧
[00:59:48] 我这个媒也扁一点
[00:59:49] 你圆我也圆一点
[00:59:50] 那个叫诱导契合原则
[00:59:53] 这个作用
[00:59:54] 我和底物之间
[00:59:55] 媒和底物之间
[00:59:56] 可以互相通过共享的变化
[00:59:58] 结合的更融洽一点
[01:00:01] 生理学它比较死板
[01:00:03] 你长得像就像
[01:00:04] 不像就不像
[01:00:05] 不像滚
[01:00:06] 化下一个像的
[01:00:07] 再进来
[01:00:08] 这样得保证载体的特异性
[01:00:10] 糖的载体
[01:00:11] 转用糖
[01:00:12] 氨基酸载体
[01:00:13] 转用氨基酸
[01:00:14] 长得差一点
[01:00:15] 转用氨基酸
[01:00:15] 转用不了
[01:00:15] 它是这样
[01:00:17] 所以结合过程
[01:00:19] 结合
[01:00:20] 是吧
[01:00:21] 结构
[01:00:22] 然后解离
[01:00:22] 嗯
[01:00:23] 解离了
[01:00:24] 在这里
[01:00:25] 你看结合
[01:00:26] 变购
[01:00:27] 解离
[01:00:28] 怎么样
[01:00:30] 一开始
[01:00:32] 它的开口朝向膜外
[01:00:34] 到这里看
[01:00:35] 上面卡一锁
[01:00:36] 下一锁
[01:00:37] 一边
[01:00:38] 朝内了
[01:00:39] 结合变购解离
[01:00:40] 过去了
[01:00:41] 就这样
[01:00:42] 晚上运输了
[01:00:43] 从膜外抓到膜内去了
[01:00:45] 所以这个过程
[01:00:46] 不分
[01:00:46] 一点都不复杂
[01:00:46] 嗯
[01:00:47] 一点都不复杂
[01:00:48] 往下看
[01:00:48] 那么作为这么一个
[01:00:51] 叫载体化扩散
[01:00:53] 它有哪些特征
[01:00:55] 咱们说这个非常重要
[01:00:56] 世界上在课件上写着
[01:00:58] 莫威老师
[01:00:59] 当年所的课件
[01:01:00] 我拿来直接用了
[01:01:01] 我懒得没改
[01:01:01] 那自己导师的拿来用吧
[01:01:03] 第一个你看
[01:01:03] 刚才是速率啊
[01:01:05] 速率
[01:01:06] 10的三次方到五次方
[01:01:07] 你要是这会儿
[01:01:08] 你把这停下来
[01:01:09] 打开教材读一下
